episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-21.0,-21.0,-21.0,1009.0,1,2,4000,False,1,1,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_00-01-57,1612911717,1531.4741349220276,1531.4741349220276,15250,esfinge,147.96.71.224,1531.4741349220276,0,1,[-21.0],[1009],1.7521262228459136,0.28698197726545666,5.411705811103542,0.10748936616439095,15817.766,252.88,2278.081,1755.863,1513182.764,2.643,14.838,4000,4000,74.2813186813187,8.406822344322345,0.20000000298023224,4.999999873689376e-05,0.4170553,0.0081317965,0.27362356,0.5778397,0.67649966,2.8860911e-06,0.0
-21.0,-21.0,-21.0,1020.2,4,2,8000,False,5,2,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_00-27-24,1612913244,1526.530431985855,3058.0045669078827,15250,esfinge,147.96.71.224,3058.0045669078827,0,2,"[-21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1020, 1020, 1036, 1009]",1.7377940281362303,0.2618308224679807,5.432469040483687,0.10727338160340519,15732.319,254.254,1411.739,2833.386,1511683.186,2.646,14.361,8000,8000,74.31565656565657,9.352157943067034,0.30000001192092896,4.999999873689376e-05,0.07083854,-0.0011504473,0.07198899,0.7628522,0.0,0.0,0.0
-21.0,-21.0,-21.0,1020.3333333333334,4,2,12000,False,9,3,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_00-52-52,1612914772,1526.412127494812,4584.416694402695,15250,esfinge,147.96.71.224,4584.416694402695,0,3,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1013, 1030, 1023, 1009, 1016, 1020, 1020, 1036]",1.7360812320168464,0.25775552248593336,5.425129237674253,0.1070034929815963,15666.385,255.324,1122.912,3562.167,1511179.348,2.647,14.242,12000,12000,74.31414141414142,9.656703397612487,0.15000000596046448,4.999999873689376e-05,0.04892084,0.0009379256,0.04798291,0.86144316,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.6923076923077,4,2,16000,False,13,4,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_01-18-19,1612916299,1526.5000474452972,6110.916741847992,15250,esfinge,147.96.71.224,6110.916741847992,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1020, 1009, 1015, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023]",1.7347504009895034,0.25488055602201126,5.425322275391357,0.10685061944443831,15662.64,255.385,977.856,4090.58,1510920.224,2.647,13.968,16000,16000,74.28976124885216,9.974012855831038,0.07500000298023224,4.999999873689376e-05,0.056201972,0.0008049004,0.055397067,0.8483984,0.0,0.0,0.0
-21.0,-21.0,-21.0,1019.0,3,2,20000,False,16,5,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_01-43-47,1612917827,1526.729284286499,7637.646026134491,15250,esfinge,147.96.71.224,7637.646026134491,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1029, 1020, 1012, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015]",1.7339052564924855,0.2527336993327761,5.424160077223531,0.10677950196064867,15624.77,256.004,895.43,4467.13,1510842.599,2.648,13.881,20000,20000,74.3092703074805,9.612253327214319,0.03750000149011612,4.999999873689376e-05,0.88266134,-0.000469354,0.8831308,0.7347661,0.0,0.0,0.0
-21.0,-21.0,-21.0,1019.45,4,2,24000,False,20,6,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_02-09-15,1612919355,1527.1013407707214,9164.747366905212,15250,esfinge,147.96.71.224,9164.747366905212,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1031, 1018, 1018, 1018, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012]",1.7331663513609918,0.25131245706027816,5.424809579501597,0.10669213212244047,15627.174,255.964,837.507,4776.079,1510828.175,2.648,13.669,24000,24000,74.32918770078017,9.86264341441028,0.01875000074505806,4.999999873689376e-05,0.025602806,-9.620863e-05,0.025699018,0.8987657,0.0,0.0,0.0
-21.0,-21.0,-21.0,1019.7083333333334,4,2,28000,False,24,7,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_02-34-43,1612920883,1526.8979985713959,10691.645365476608,15250,esfinge,147.96.71.224,10691.645365476608,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1021, 1034, 1016, 1013, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018]",1.7327563084449789,0.2503024706078147,5.4245203783835585,0.10662721790433183,15610.886,256.231,798.223,5011.132,1510803.686,2.648,14.073,28000,28000,74.21707205139973,10.174483708122992,0.00937500037252903,4.999999873689376e-05,0.017535206,-0.0005780454,0.018113254,0.91974866,0.0,0.0,0.0
-21.0,-21.0,-21.0,1019.1785714285714,4,2,32000,False,28,8,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_03-00-12,1612922412,1527.5356028079987,12219.180968284607,15250,esfinge,147.96.71.224,12219.180968284607,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1027, 1008, 1027, 1002, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018, 1021, 1034, 1016, 1013]",1.7325526326143097,0.2494601088772875,5.425182792742196,0.10657955272438321,15615.933,256.149,767.442,5212.12,1510849.454,2.648,13.978,32000,32000,74.38596330275229,9.73711009174312,0.004687500186264515,4.999999873689376e-05,0.021510508,0.00015200314,0.021358501,0.9395328,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.90625,4,2,36000,False,32,9,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_03-25-39,1612923939,1526.2073407173157,13745.388309001923,15250,esfinge,147.96.71.224,13745.388309001923,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1009, 1031, 1018, 1010, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018, 1021, 1034, 1016, 1013, 1027, 1008, 1027, 1002]",1.7324954224170814,0.24880158881395048,5.424978408418863,0.10653229660736087,15598.929,256.428,744.247,5374.56,1510757.563,2.648,14.049,36000,36000,74.22062471290766,9.94120349104272,0.0023437500931322575,4.999999873689376e-05,0.015467351,-0.0039743073,0.019441659,0.91561335,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.0833333333334,4,2,40000,False,36,10,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_03-51-06,1612925466,1526.02614402771,15271.414453029633,15250,esfinge,147.96.71.224,15271.414453029633,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1002, 1012, 1017, 1015, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018, 1021, 1034, 1016, 1013, 1027, 1008, 1027, 1002, 1009, 1031, 1018, 1010]",1.7324335039469512,0.24837521899066495,5.425262265617702,0.1064961043777513,15603.554,256.352,723.648,5527.553,1510649.923,2.648,14.156,40000,40000,74.21225895316803,10.111340679522497,0.0011718750465661287,4.999999873689376e-05,0.021118542,0.0006050876,0.02051346,0.9360731,0.0,0.0,0.0
