episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,16,6400,False,0,1,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-31-42,1617474702,67.11489248275757,67.11489248275757,33274,volta1,147.96.21.176,67.11489248275757,0,1,[],[],23025.841,277.949,3792.771,1687.421,40156.418,159.377,16.906,6400,6400,13.138461538461538,49.04871794871797,0.13282051282051283,0.6491042334952012,0.06628205128205128,0.2843487999747612,0.20000000298023224,4.999999873689376e-05,6.9381585,-0.015142683,6.946405,0.69366765,0.03448289,0.39021012,0.0
nan,nan,nan,nan,0,16,12800,False,0,2,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-32-03,1617474723,20.415832996368408,87.53072547912598,33274,volta1,147.96.21.176,87.53072547912598,0,2,[],[],13559.505,471.994,2932.131,2182.713,27181.009,235.459,18.23,12800,12800,11.123999999999999,52.696,0.33480000000000004,0.7532553156419977,0.122,0.3013534297139342,0.30000001192092896,4.999999873689376e-05,1.8778347,-0.009340113,1.8812006,0.63225037,0.01991456,0.28642458,0.0
nan,nan,nan,nan,0,16,19200,False,0,3,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-32-23,1617474743,20.267241716384888,107.79796719551086,33274,volta1,147.96.21.176,107.79796719551086,0,3,[],[],10406.64,614.992,2579.407,2481.19,22871.92,279.819,17.3,19200,19200,11.25,52.72083333333334,0.35916666666666663,0.7532553156419977,0.12458333333333334,0.3013534297139342,0.30000001192092896,4.999999873689376e-05,0.3574234,-0.025775952,0.37535325,0.4681683,0.026153488,0.33146685,0.0
nan,nan,nan,nan,0,16,25600,False,0,4,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-32-44,1617474764,19.887003898620605,127.68497109413147,33274,volta1,147.96.21.176,127.68497109413147,0,4,[],[],8819.374,725.675,2332.221,2744.165,20702.782,309.137,17.98,25600,25600,11.1,52.791666666666664,0.3491666666666667,0.7532553156419977,0.13541666666666666,0.3013534297139342,0.44999998807907104,4.999999873689376e-05,0.28157628,-0.014227322,0.28935778,0.5070638,0.014324042,0.3669978,0.0
-21.0,-21.0,-21.0,1014.0,4,16,32000,False,4,5,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-33-04,1617474784,19.80628776550293,147.4912588596344,33274,volta1,147.96.21.176,147.4912588596344,0,5,"[-21.0, -21.0, -21.0, -21.0]","[1015, 1018, 1010, 1013]",7863.849,813.851,2179.256,2936.781,19392.64,330.022,18.46,32000,32000,11.46521739130435,52.782608695652165,0.391304347826087,0.7532553156419975,0.14304347826086958,0.30135342971393425,0.44999998807907104,4.999999873689376e-05,0.057725083,-0.030189717,0.07780296,0.6660456,0.02247075,0.41070732,0.0
-20.0,-21.0,-20.9375,1027.9375,12,16,38400,False,16,6,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-33-24,1617474804,19.91050672531128,167.40176558494568,33274,volta1,147.96.21.176,167.40176558494568,0,6,"[-21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1033, 1021, 1021, 1140, 1014, 1024, 1029, 1019, 1014, 1025, 1022, 1029, 1015, 1018, 1010, 1013]",7233.626,884.757,2070.802,3090.59,18536.726,345.261,18.01,38400,38400,11.52173913043478,52.79130434782607,0.37434782608695644,0.7532553156419975,0.1291304347826087,0.30135342971393425,0.675000011920929,4.999999873689376e-05,0.10321505,-0.041700386,0.13085364,0.59489596,0.020832306,0.36354977,0.0
-20.0,-21.0,-20.9375,1027.9375,0,16,44800,False,16,7,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-33-44,1617474824,19.92966341972351,187.3314290046692,33274,volta1,147.96.21.176,187.3314290046692,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1015, 1018, 1010, 1013, 1033, 1021, 1021, 1140, 1014, 1024, 1029, 1019, 1014, 1025, 1022, 1029]",6774.169,944.765,1997.18,3204.519,17933.421,356.876,17.932,44800,44800,11.326086956521738,52.795652173913034,0.3695652173913043,0.7532553156419975,0.1291304347826087,0.30135342971393425,1.0125000476837158,4.999999873689376e-05,0.09400014,-0.03985441,0.12191072,0.53954,0.011796364,0.4333511,0.0
-20.0,-21.0,-20.892857142857142,1032.0,12,16,51200,False,28,8,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-34-05,1617474845,19.959627628326416,207.2910566329956,33274,volta1,147.96.21.176,207.2910566329956,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1053, 1027, 1008, 1026, 1008, 1004, 1023, 1113, 1022, 1020, 1124, 1021, 1015, 1018, 1010, 1013, 1033, 1021, 1021, 1140, 1014, 1024, 1029, 1019, 1014, 1025, 1022, 1029]",6444.744,993.057,1950.691,3280.889,17454.656,366.664,17.132,51200,51200,11.1625,52.79999999999999,0.3566666666666667,0.7532553156419977,0.14125,0.3013534297139342,1.0125000476837158,4.999999873689376e-05,0.04049047,-0.041113757,0.06942979,0.75412107,0.012024134,0.47096297,0.0
-20.0,-21.0,-20.84375,1040.0625,4,16,57600,False,32,9,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-34-25,1617474865,20.02401089668274,227.31506752967834,33274,volta1,147.96.21.176,227.31506752967834,0,9,"[-20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0]","[1174, 1011, 1126, 1075, 1015, 1018, 1010, 1013, 1033, 1021, 1021, 1140, 1014, 1024, 1029, 1019, 1014, 1025, 1022, 1029, 1053, 1027, 1008, 1026, 1008, 1004, 1023, 1113, 1022, 1020, 1124, 1021]",6180.31,1035.547,1925.47,3323.864,17092.396,374.436,16.967,57600,57600,11.382608695652175,52.760869565217384,0.3904347826086956,0.7532553156419975,0.14304347826086958,0.30135342971393425,1.0125000476837158,4.999999873689376e-05,0.12395906,-0.05135791,0.16462502,0.55351466,0.010559947,0.5038688,0.0
-20.0,-21.0,-20.84375,1040.0625,0,16,64000,False,32,10,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-34-46,1617474886,20.09212565422058,247.40719318389893,33274,volta1,147.96.21.176,247.40719318389893,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0]","[1015, 1018, 1010, 1013, 1033, 1021, 1021, 1140, 1014, 1024, 1029, 1019, 1014, 1025, 1022, 1029, 1053, 1027, 1008, 1026, 1008, 1004, 1023, 1113, 1022, 1020, 1124, 1021, 1174, 1011, 1126, 1075]",5970.249,1071.982,1913.812,3344.111,16799.035,380.974,16.598,64000,64000,11.116666666666665,52.7875,0.355,0.7532553156419977,0.13791666666666666,0.3013534297139342,1.0125000476837158,4.999999873689376e-05,-0.0031103622,-0.057116117,0.04231601,0.762948,0.011545431,0.5094861,0.0
-20.0,-21.0,-20.708333333333332,1064.3541666666667,16,16,70400,False,48,11,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-35-06,1617474906,19.886769771575928,267.29396295547485,33274,volta1,147.96.21.176,267.29396295547485,0,11,"[-20.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0]","[1151, 1169, 1120, 1042, 1130, 1089, 1135, 1124, 1046, 1126, 1103, 1053, 1183, 1121, 1093, 1122, 1015, 1018, 1010, 1013, 1033, 1021, 1021, 1140, 1014, 1024, 1029, 1019, 1014, 1025, 1022, 1029, 1053, 1027, 1008, 1026, 1008, 1004, 1023, 1113, 1022, 1020, 1124, 1021, 1174, 1011, 1126, 1075]",4077.171,1569.716,1691.328,3784.009,14201.919,450.643,16.287,70400,70400,11.54782608695652,52.760869565217384,0.3769565217391304,0.7532553156419975,0.14608695652173911,0.30135342971393425,1.0125000476837158,4.999999873689376e-05,0.03130908,-0.05049339,0.07011566,0.79388237,0.01154252,0.4508528,0.0
-20.0,-21.0,-20.708333333333332,1064.3541666666667,0,16,76800,False,48,12,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-35-26,1617474926,19.84063959121704,287.1346025466919,33274,volta1,147.96.21.176,287.1346025466919,0,12,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0]","[1015, 1018, 1010, 1013, 1033, 1021, 1021, 1140, 1014, 1024, 1029, 1019, 1014, 1025, 1022, 1029, 1053, 1027, 1008, 1026, 1008, 1004, 1023, 1113, 1022, 1020, 1124, 1021, 1174, 1011, 1126, 1075, 1151, 1169, 1120, 1042, 1130, 1089, 1135, 1124, 1046, 1126, 1103, 1053, 1183, 1121, 1093, 1122]",4069.757,1572.575,1639.952,3902.553,14203.617,450.589,15.992,76800,76800,11.334782608695651,52.760869565217384,0.40217391304347827,0.7532553156419975,0.14478260869565218,0.30135342971393425,1.0125000476837158,4.999999873689376e-05,0.016079957,-0.06683407,0.063830495,0.72839135,0.018847935,0.5355497,0.0
-20.0,-21.0,-20.72,1064.0,2,16,83200,False,50,13,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-35-47,1617474947,20.27870273590088,307.4133052825928,33274,volta1,147.96.21.176,307.4133052825928,0,13,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0]","[1060, 1051, 1015, 1018, 1010, 1013, 1033, 1021, 1021, 1140, 1014, 1024, 1029, 1019, 1014, 1025, 1022, 1029, 1053, 1027, 1008, 1026, 1008, 1004, 1023, 1113, 1022, 1020, 1124, 1021, 1174, 1011, 1126, 1075, 1151, 1169, 1120, 1042, 1130, 1089, 1135, 1124, 1046, 1126, 1103, 1053, 1183, 1121, 1093, 1122]",4070.316,1572.36,1629.934,3926.54,14213.898,450.264,15.99,83200,83200,11.26086956521739,52.76956521739129,0.3430434782608696,0.7532553156419975,0.1291304347826087,0.30135342971393425,1.0125000476837158,4.999999873689376e-05,-0.010538535,-0.048029643,0.026030721,0.85106856,0.011318909,0.49905917,0.0
-20.0,-21.0,-20.65625,1073.59375,14,16,89600,False,64,14,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-36-07,1617474967,19.679277658462524,327.0925829410553,33274,volta1,147.96.21.176,327.0925829410553,0,14,"[-20.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0]","[1135, 1131, 1105, 1055, 1058, 1119, 1130, 1124, 1108, 1070, 1108, 1131, 1134, 1102, 1015, 1018, 1010, 1013, 1033, 1021, 1021, 1140, 1014, 1024, 1029, 1019, 1014, 1025, 1022, 1029, 1053, 1027, 1008, 1026, 1008, 1004, 1023, 1113, 1022, 1020, 1124, 1021, 1174, 1011, 1126, 1075, 1151, 1169, 1120, 1042, 1130, 1089, 1135, 1124, 1046, 1126, 1103, 1053, 1183, 1121, 1093, 1122, 1060, 1051]",4058.873,1576.792,1614.26,3964.664,14220.304,450.061,15.718,89600,89600,11.116666666666667,52.8125,0.36375,0.7532553156419977,0.12374999999999999,0.3013534297139342,1.0125000476837158,4.999999873689376e-05,0.06400269,-0.067443036,0.11576486,0.6974158,0.015487287,0.4978693,0.0
-20.0,-21.0,-20.65625,1073.59375,0,16,96000,False,64,15,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-36-27,1617474987,19.752012252807617,346.8445951938629,33274,volta1,147.96.21.176,346.8445951938629,0,15,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0]","[1015, 1018, 1010, 1013, 1033, 1021, 1021, 1140, 1014, 1024, 1029, 1019, 1014, 1025, 1022, 1029, 1053, 1027, 1008, 1026, 1008, 1004, 1023, 1113, 1022, 1020, 1124, 1021, 1174, 1011, 1126, 1075, 1151, 1169, 1120, 1042, 1130, 1089, 1135, 1124, 1046, 1126, 1103, 1053, 1183, 1121, 1093, 1122, 1060, 1051, 1135, 1131, 1105, 1055, 1058, 1119, 1130, 1124, 1108, 1070, 1108, 1131, 1134, 1102]",4053.503,1578.881,1600.954,3997.616,14233.995,449.628,15.031,96000,96000,11.3,52.804347826086946,0.3917391304347826,0.7532553156419975,0.12999999999999998,0.30135342971393425,1.0125000476837158,4.999999873689376e-05,-0.03623406,-0.07232638,0.02061758,0.87379456,0.015283691,0.662198,0.0
-20.0,-21.0,-20.635135135135137,1075.8783783783783,10,16,102400,False,74,16,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-36-47,1617475007,19.737562894821167,366.5821580886841,33274,volta1,147.96.21.176,366.5821580886841,0,16,"[-21.0, -21.0, -21.0, -20.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0]","[1061, 1064, 1051, 1127, 1107, 1111, 1062, 1136, 1055, 1131, 1015, 1018, 1010, 1013, 1033, 1021, 1021, 1140, 1014, 1024, 1029, 1019, 1014, 1025, 1022, 1029, 1053, 1027, 1008, 1026, 1008, 1004, 1023, 1113, 1022, 1020, 1124, 1021, 1174, 1011, 1126, 1075, 1151, 1169, 1120, 1042, 1130, 1089, 1135, 1124, 1046, 1126, 1103, 1053, 1183, 1121, 1093, 1122, 1060, 1051, 1135, 1131, 1105, 1055, 1058, 1119, 1130, 1124, 1108, 1070, 1108, 1131, 1134, 1102]",4039.678,1584.285,1591.855,4020.467,14239.76,449.446,14.797,102400,102400,11.42608695652174,52.76521739130433,0.39869565217391306,0.7532553156419975,0.13999999999999999,0.30135342971393425,1.0125000476837158,4.999999873689376e-05,-0.04308862,-0.07941226,0.019817622,0.92379844,0.016302243,0.6502956,0.0
-20.0,-21.0,-20.6125,1078.375,6,16,108800,False,80,17,b21e834b6b4244a6b29d69e6468c3a98,2021-04-03_20-37-07,1617475027,19.74012780189514,386.3222858905792,33274,volta1,147.96.21.176,386.3222858905792,0,17,"[-21.0, -20.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0]","[1059, 1107, 1102, 1127, 1141, 1119, 1015, 1018, 1010, 1013, 1033, 1021, 1021, 1140, 1014, 1024, 1029, 1019, 1014, 1025, 1022, 1029, 1053, 1027, 1008, 1026, 1008, 1004, 1023, 1113, 1022, 1020, 1124, 1021, 1174, 1011, 1126, 1075, 1151, 1169, 1120, 1042, 1130, 1089, 1135, 1124, 1046, 1126, 1103, 1053, 1183, 1121, 1093, 1122, 1060, 1051, 1135, 1131, 1105, 1055, 1058, 1119, 1130, 1124, 1108, 1070, 1108, 1131, 1134, 1102, 1061, 1064, 1051, 1127, 1107, 1111, 1062, 1136, 1055, 1131]",4040.11,1584.115,1583.241,4042.34,14228.869,449.79,14.657,108800,108800,11.158333333333333,52.81666666666666,0.3666666666666667,0.7532553156419977,0.13166666666666668,0.3013534297139342,1.0125000476837158,4.999999873689376e-05,0.031009186,-0.08149998,0.08977821,0.78182864,0.02245033,0.5738324,0.0
