episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4800,False,0,1,b3c8f641dc694e368796d7159dfa5994,2021-04-28_16-34-07,1619620447,36.425755739212036,36.425755739212036,2160,volta1,147.96.21.176,36.425755739212036,0,1,[],[],5757.004,833.767,824.966,5818.419,29557.524,162.395,6.757,4800,4800,6.104347826086957,28.82608695652175,0.15847826086956524,0.3696977949133229,0.06304347826086956,0.1744386342663795,0.20000000298023224,4.999999873689376e-05,216.74326,-0.0037151675,216.74066,0.030832905,0.03156632,0.31294432,0.0
nan,nan,nan,nan,0,8,9600,False,0,2,b3c8f641dc694e368796d7159dfa5994,2021-04-28_16-34-22,1619620462,14.306843042373657,50.73259878158569,2160,volta1,147.96.21.176,50.73259878158569,0,2,[],[],5032.845,953.735,513.479,9347.992,19562.196,245.371,6.926,9600,9600,8.161111111111111,28.983333333333334,0.4066666666666666,0.38437448491841114,0.15166666666666667,0.1744386342663796,0.30000001192092896,4.999999873689376e-05,106.90349,-0.015358751,106.91423,0.013964114,0.015423061,0.37185654,0.0
nan,nan,nan,nan,0,8,14400,False,0,3,b3c8f641dc694e368796d7159dfa5994,2021-04-28_16-34-36,1619620476,14.173282146453857,64.90588092803955,2160,volta1,147.96.21.176,64.90588092803955,0,3,[],[],4768.407,1006.625,393.626,12194.317,16242.791,295.516,7.094,14400,14400,8.258823529411766,28.970588235294116,0.44352941176470595,0.3843744849184111,0.1723529411764706,0.17443863426637957,0.30000001192092896,4.999999873689376e-05,14.835334,-0.018090062,14.84906,0.12444452,0.014540233,0.47598782,0.0
-20.0,-21.0,-20.75,1102.5,8,8,19200,False,8,4,b3c8f641dc694e368796d7159dfa5994,2021-04-28_16-34-51,1619620491,14.182112455368042,79.08799338340759,2160,volta1,147.96.21.176,79.08799338340759,0,4,"[-21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0]","[1137, 1086, 1128, 1046, 1100, 1109, 1086, 1128]",4634.038,1035.814,333.99,14371.673,14585.767,329.088,7.156,19200,19200,8.1,29.044444444444448,0.43500000000000005,0.38437448491841114,0.1638888888888889,0.1744386342663796,0.30000001192092896,4.999999873689376e-05,3.8364358,-0.037387762,3.8668954,0.24712309,0.023093034,0.47406378,0.0
-20.0,-21.0,-20.75,1102.5,0,8,24000,False,8,5,b3c8f641dc694e368796d7159dfa5994,2021-04-28_16-35-05,1619620505,14.238435983657837,93.32642936706543,2160,volta1,147.96.21.176,93.32642936706543,0,5,"[-21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0]","[1137, 1086, 1128, 1046, 1100, 1109, 1086, 1128]",4558.22,1053.043,297.671,16125.212,13598.515,352.98,7.141,24000,24000,8.044444444444444,29.050000000000004,0.4361111111111111,0.38437448491841114,0.1711111111111111,0.1744386342663796,0.44999998807907104,4.999999873689376e-05,1.1269954,-0.032832857,1.1540846,0.28357157,0.012763594,0.5134245,0.0
-20.0,-21.0,-20.5,1114.0625,8,8,28800,False,16,6,b3c8f641dc694e368796d7159dfa5994,2021-04-28_16-35-20,1619620520,14.183689594268799,107.51011896133423,2160,volta1,147.96.21.176,107.51011896133423,0,6,"[-20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0]","[1232, 1127, 1049, 1203, 1115, 1027, 1121, 1131, 1137, 1086, 1128, 1046, 1100, 1109, 1086, 1128]",4513.465,1063.484,274.051,17514.991,12923.753,371.409,7.64,28800,28800,8.133333333333333,29.050000000000004,0.4277777777777778,0.38437448491841114,0.16944444444444443,0.1744386342663796,0.44999998807907104,4.999999873689376e-05,0.26516154,-0.052634753,0.3099012,0.43297932,0.017544555,0.5139353,0.0
-20.0,-21.0,-20.5,1114.0625,0,8,33600,False,16,7,b3c8f641dc694e368796d7159dfa5994,2021-04-28_16-35-34,1619620534,14.252609729766846,121.76272869110107,2160,volta1,147.96.21.176,121.76272869110107,0,7,"[-21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0]","[1137, 1086, 1128, 1046, 1100, 1109, 1086, 1128, 1232, 1127, 1049, 1203, 1115, 1027, 1121, 1131]",4476.495,1072.267,265.166,18101.879,12439.631,385.864,7.539,33600,33600,8.2,29.061111111111114,0.41666666666666674,0.38437448491841114,0.15055555555555558,0.1744386342663796,0.44999998807907104,4.999999873689376e-05,0.129015,-0.04303447,0.16337736,0.48446506,0.019271329,0.56088644,0.0
-20.0,-21.0,-20.5,1128.8333333333333,8,8,38400,False,24,8,b3c8f641dc694e368796d7159dfa5994,2021-04-28_16-35-49,1619620549,14.184621810913086,135.94735050201416,2160,volta1,147.96.21.176,135.94735050201416,0,8,"[-20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0]","[1127, 1115, 1335, 1099, 1236, 1040, 1126, 1189, 1137, 1086, 1128, 1046, 1100, 1109, 1086, 1128, 1232, 1127, 1049, 1203, 1115, 1027, 1121, 1131]",4444.777,1079.919,251.496,19085.794,12085.112,397.183,7.552,38400,38400,8.229411764705883,29.05294117647059,0.4452941176470589,0.3843744849184111,0.1758823529411765,0.17443863426637957,0.44999998807907104,4.999999873689376e-05,0.105061695,-0.055673,0.15211464,0.4893872,0.019155648,0.57339144,0.0
-20.0,-21.0,-20.5,1128.8333333333333,0,8,43200,False,24,9,b3c8f641dc694e368796d7159dfa5994,2021-04-28_16-36-03,1619620563,14.167767524719238,150.1151180267334,2160,volta1,147.96.21.176,150.1151180267334,0,9,"[-21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -20.0]","[1137, 1086, 1128, 1046, 1100, 1109, 1086, 1128, 1232, 1127, 1049, 1203, 1115, 1027, 1121, 1131, 1127, 1115, 1335, 1099, 1236, 1040, 1126, 1189]",4419.774,1086.028,244.03,19669.724,11805.966,406.574,7.527,43200,43200,8.1,29.050000000000004,0.43777777777777777,0.38437448491841114,0.1727777777777778,0.1744386342663796,0.44999998807907104,4.999999873689376e-05,0.015065337,-0.052282978,0.060011484,0.6673027,0.016304096,0.6012467,0.0
-20.0,-21.0,-20.53125,1126.3125,8,8,48000,False,32,10,b3c8f641dc694e368796d7159dfa5994,2021-04-28_16-36-18,1619620578,14.247243642807007,164.3623616695404,2160,volta1,147.96.21.176,164.3623616695404,0,10,"[-21.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -20.0]","[1129, 1114, 1054, 1143, 1065, 1241, 1069, 1135, 1137, 1086, 1128, 1046, 1100, 1109, 1086, 1128, 1232, 1127, 1049, 1203, 1115, 1027, 1121, 1131, 1127, 1115, 1335, 1099, 1236, 1040, 1126, 1189]",4409.407,1088.582,235.111,20415.907,11584.213,414.357,7.586,48000,48000,8.244444444444445,29.050000000000004,0.435,0.38437448491841114,0.17944444444444446,0.1744386342663796,0.44999998807907104,4.999999873689376e-05,0.12594576,-0.08037517,0.19685152,0.49973863,0.021043127,0.6342915,0.0
