episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4800,False,0,1,8f4883b1ffd24d1094b7790be1c7694f,2021-04-29_00-32-31,1619649151,48.69882035255432,48.69882035255432,25114,volta1,147.96.21.176,48.69882035255432,0,1,[],[],6113.393,785.161,3112.026,1542.404,39133.461,122.657,8.21,4800,4800,5.388524590163935,30.550819672131148,0.20508196721311478,0.3595046570130807,0.054754098360655735,0.17247000922792982,0.20000000298023224,4.999999873689376e-05,0.34001186,0.0010755545,0.33724338,0.64361143,0.00846459,0.06748978,0.0
nan,nan,nan,nan,0,8,9600,False,0,2,8f4883b1ffd24d1094b7790be1c7694f,2021-04-29_00-32-53,1619649173,21.796460151672363,70.49528050422668,25114,volta1,147.96.21.176,70.49528050422668,0,2,[],[],5292.676,906.914,1826.171,2628.45,27852.263,172.338,8.429,9600,9600,6.9,31.337037037037035,0.46629629629629626,0.3731663095434317,0.10666666666666666,0.1724700092279299,0.20000000298023224,4.999999873689376e-05,0.20817454,0.0009906223,0.16946302,0.6413166,0.1886044,3.6280163e-29,0.0
nan,nan,nan,nan,0,8,14400,False,0,3,8f4883b1ffd24d1094b7790be1c7694f,2021-04-29_00-33-15,1619649195,21.859092950820923,92.35437345504761,25114,volta1,147.96.21.176,92.35437345504761,0,3,[],[],5013.42,957.43,1418.879,3382.952,24095.496,199.207,8.649,14400,14400,6.92962962962963,31.329629629629625,0.43740740740740736,0.3731663095434317,0.11666666666666667,0.1724700092279299,0.30000001192092896,4.999999873689376e-05,0.053565282,-0.00034742127,0.0539127,0.7829058,-3.563432e-29,2.5068667e-26,0.0
-21.0,-21.0,-21.0,1022.5,8,8,19200,False,8,4,8f4883b1ffd24d1094b7790be1c7694f,2021-04-29_00-33-37,1619649217,21.797310829162598,114.1516842842102,25114,volta1,147.96.21.176,114.1516842842102,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1019, 1019, 1019, 1032, 1018, 1023, 1021, 1029]",4857.896,988.082,1212.988,3957.169,22218.97,216.032,8.447,19200,19200,6.892592592592592,31.35185185185185,0.44925925925925914,0.3731663095434317,0.11925925925925925,0.1724700092279299,0.15000000596046448,4.999999873689376e-05,0.042698894,0.0007610953,0.041937795,0.7736715,-2.888137e-34,2.4524236e-26,0.0
-21.0,-21.0,-21.0,1019.5454545454545,3,8,24000,False,11,5,8f4883b1ffd24d1094b7790be1c7694f,2021-04-29_00-33-59,1619649239,21.86298418045044,136.01466846466064,25114,volta1,147.96.21.176,136.01466846466064,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1017, 1016, 1002, 1019, 1019, 1019, 1032, 1018, 1023, 1021, 1029]",4754.96,1009.472,1090.9,4400.036,21105.405,227.43,8.946,24000,24000,6.955555555555555,31.24444444444444,0.48444444444444446,0.3731663095434317,0.12518518518518518,0.1724700092279299,0.07500000298023224,4.999999873689376e-05,0.02607731,0.00154905,0.02452826,0.89594865,-3.4572324e-34,2.7848408e-26,0.0
-21.0,-21.0,-21.0,1020.5625,5,8,28800,False,16,6,8f4883b1ffd24d1094b7790be1c7694f,2021-04-29_00-34-21,1619649261,21.934144020080566,157.9488124847412,25114,volta1,147.96.21.176,157.9488124847412,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1015, 1022, 1028, 1027, 1022, 1019, 1019, 1019, 1032, 1018, 1023, 1021, 1029, 1017, 1016, 1002]",4695.589,1022.236,1009.6,4754.356,20370.534,235.634,9.179,28800,28800,6.764285714285714,31.357142857142858,0.47214285714285714,0.3731663095434317,0.11392857142857145,0.1724700092279299,0.03750000149011612,4.999999873689376e-05,0.0130058415,0.0021748177,0.010831024,0.9243444,-2.8677358e-34,2.315332e-26,0.0
-21.0,-21.0,-21.0,1019.0833333333334,8,8,33600,False,24,7,8f4883b1ffd24d1094b7790be1c7694f,2021-04-29_00-34-44,1619649284,21.944023370742798,179.892835855484,25114,volta1,147.96.21.176,179.892835855484,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1007, 1019, 1016, 1025, 1015, 1020, 1009, 1018, 1019, 1019, 1019, 1032, 1018, 1023, 1021, 1029, 1017, 1016, 1002, 1015, 1022, 1028, 1027, 1022]",4659.207,1030.218,955.927,5021.304,19835.432,241.991,9.259,33600,33600,6.948148148148149,31.159259259259265,0.46259259259259267,0.3731663095434317,0.11925925925925925,0.1724700092279299,0.01875000074505806,4.999999873689376e-05,0.0113056395,-0.0013726318,0.01267827,0.9614656,-3.1198235e-34,2.6555086e-26,0.0
-21.0,-21.0,-21.0,1019.0833333333334,0,8,38400,False,24,8,8f4883b1ffd24d1094b7790be1c7694f,2021-04-29_00-35-06,1619649306,21.982504844665527,201.87534070014954,25114,volta1,147.96.21.176,201.87534070014954,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1019, 1019, 1019, 1032, 1018, 1023, 1021, 1029, 1017, 1016, 1002, 1015, 1022, 1028, 1027, 1022, 1007, 1019, 1016, 1025, 1015, 1020, 1009, 1018]",4628.992,1036.943,911.149,5268.073,19438.395,246.934,9.309,38400,38400,6.892857142857143,31.385714285714283,0.4525,0.3731663095434317,0.10107142857142856,0.1724700092279299,0.00937500037252903,4.999999873689376e-05,0.008901238,0.0027191422,0.006182094,0.9348272,-3.0499404e-34,2.5191564e-26,0.0
-21.0,-21.0,-21.0,1019.46875,8,8,43200,False,32,9,8f4883b1ffd24d1094b7790be1c7694f,2021-04-29_00-35-28,1619649328,21.852972984313965,223.7283136844635,25114,volta1,147.96.21.176,223.7283136844635,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1027, 1018, 1024, 1014, 1015, 1029, 1013, 1025, 1019, 1019, 1019, 1032, 1018, 1023, 1021, 1029, 1017, 1016, 1002, 1015, 1022, 1028, 1027, 1022, 1007, 1019, 1016, 1025, 1015, 1020, 1009, 1018]",4599.071,1043.689,876.043,5479.185,19128.738,250.931,9.257,43200,43200,6.985185185185185,31.37777777777778,0.45851851851851855,0.3731663095434317,0.11666666666666668,0.1724700092279299,0.004687500186264515,4.999999873689376e-05,0.010370594,0.0004407711,0.009929825,0.94811237,-3.3915124e-34,2.4451901e-26,0.0
-21.0,-21.0,-21.0,1019.1212121212121,1,8,48000,False,33,10,8f4883b1ffd24d1094b7790be1c7694f,2021-04-29_00-35-50,1619649350,21.871630907058716,245.59994459152222,25114,volta1,147.96.21.176,245.59994459152222,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1008, 1019, 1019, 1019, 1032, 1018, 1023, 1021, 1029, 1017, 1016, 1002, 1015, 1022, 1028, 1027, 1022, 1007, 1019, 1016, 1025, 1015, 1020, 1009, 1018, 1027, 1018, 1024, 1014, 1015, 1029, 1013, 1025]",4580.752,1047.863,849.388,5651.127,18877.923,254.265,9.245,48000,48000,6.925925925925925,31.41111111111111,0.45888888888888885,0.3731663095434317,0.11888888888888889,0.1724700092279299,0.0023437500931322575,4.999999873689376e-05,0.013808416,0.0011070428,0.012701373,0.9360976,-4.0441795e-34,2.7760524e-26,0.0
