episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4800,False,0,1,85ffbbeb68be47a9a4599031342e1ac8,2021-04-19_00-47-19,1618786039,48.160744428634644,48.160744428634644,19054,volta1,147.96.21.176,48.160744428634644,0,1,[],[],6055.865,792.62,3102.408,1547.185,38732.683,123.926,8.149,4800,4800,6.566101694915254,31.7864406779661,0.2105084745762712,0.3591239632018728,0.05457627118644068,0.17247000922792985,0.20000000298023224,4.999999873689376e-05,1.8363464,-0.0010713382,1.8363408,0.36726412,0.0053858813,0.116067536,0.0
nan,nan,nan,nan,0,8,9600,False,0,2,85ffbbeb68be47a9a4599031342e1ac8,2021-04-19_00-47-38,1618786058,18.806383848190308,66.96712827682495,19054,volta1,147.96.21.176,66.96712827682495,0,2,[],[],5209.956,921.313,1848.694,2596.427,26180.978,183.339,8.316,9600,9600,8.233333333333333,32.604166666666664,0.515,0.37324872259765945,0.11791666666666667,0.17247000922792988,0.20000000298023224,4.999999873689376e-05,0.6606779,-0.096546076,0.72993195,0.3704758,0.1364602,0.3348341,0.0
nan,nan,nan,nan,0,8,14400,False,0,3,85ffbbeb68be47a9a4599031342e1ac8,2021-04-19_00-47-58,1618786078,19.29343581199646,86.26056408882141,19054,volta1,147.96.21.176,86.26056408882141,0,3,[],[],4914.192,976.763,1418.664,3383.466,22185.685,216.356,8.758,14400,14400,8.229166666666666,32.62083333333333,0.5145833333333333,0.37324872259765945,0.12583333333333332,0.17247000922792988,0.30000001192092896,4.999999873689376e-05,0.29029283,-0.018723596,0.3034932,0.3406125,0.018410565,0.2830433,0.0
-20.0,-21.0,-20.625,1056.75,8,8,19200,False,8,4,85ffbbeb68be47a9a4599031342e1ac8,2021-04-19_00-48-18,1618786098,19.81302261352539,106.0735867023468,19054,volta1,147.96.21.176,106.0735867023468,0,4,"[-21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0]","[1029, 1018, 1011, 1130, 1108, 1029, 1111, 1018]",4773.731,1005.503,1215.937,3947.572,20296.2,236.497,8.724,19200,19200,8.004,32.504,0.4864,0.37324872259765945,0.10959999999999999,0.17247000922792988,0.30000001192092896,4.999999873689376e-05,0.18118754,-0.0260754,0.19829561,0.36099005,0.029891063,0.22711015,0.0
-20.0,-21.0,-20.625,1056.75,0,8,24000,False,8,5,85ffbbeb68be47a9a4599031342e1ac8,2021-04-19_00-48-38,1618786118,19.971145391464233,126.04473209381104,19054,volta1,147.96.21.176,126.04473209381104,0,5,"[-21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0]","[1029, 1018, 1011, 1130, 1108, 1029, 1111, 1018]",4671.231,1027.566,1084.178,4427.316,19223.243,249.698,8.946,24000,24000,8.196,32.596000000000004,0.4892,0.37324872259765945,0.11080000000000002,0.17247000922792988,0.44999998807907104,4.999999873689376e-05,0.07204857,-0.049704637,0.11397475,0.45460624,0.017285455,0.47683567,0.0
-20.0,-21.0,-20.6875,1063.875,8,8,28800,False,16,6,85ffbbeb68be47a9a4599031342e1ac8,2021-04-19_00-49-00,1618786140,20.846282482147217,146.89101457595825,19054,volta1,147.96.21.176,146.89101457595825,0,6,"[-21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0]","[1018, 1050, 1061, 1097, 1127, 1040, 1053, 1122, 1029, 1018, 1011, 1130, 1108, 1029, 1111, 1018]",4615.747,1039.918,1003.678,4782.412,18633.85,257.596,8.882,28800,28800,8.142307692307693,32.5923076923077,0.4869230769230769,0.3732487225976595,0.1096153846153846,0.1724700092279299,0.44999998807907104,4.999999873689376e-05,0.12081922,-0.030231936,0.14520799,0.547871,0.012984799,0.2577743,0.0
-20.0,-21.0,-20.705882352941178,1063.0588235294117,1,8,33600,False,17,7,85ffbbeb68be47a9a4599031342e1ac8,2021-04-19_00-49-21,1618786161,21.499960899353027,168.39097547531128,19054,volta1,147.96.21.176,168.39097547531128,0,7,"[-21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0]","[1050, 1029, 1018, 1011, 1130, 1108, 1029, 1111, 1018, 1018, 1050, 1061, 1097, 1127, 1040, 1053, 1122]",4566.882,1051.045,947.205,5067.543,18314.241,262.091,8.771,33600,33600,7.888888888888889,32.62222222222223,0.427037037037037,0.3732487225976595,0.10074074074074074,0.1724700092279299,0.44999998807907104,4.999999873689376e-05,0.009835011,-0.06685565,0.066769786,0.75911206,0.02204637,0.46537012,0.0
-20.0,-21.0,-20.666666666666668,1075.7916666666667,7,8,38400,False,24,8,85ffbbeb68be47a9a4599031342e1ac8,2021-04-19_00-49-44,1618786184,21.705885887145996,190.09686136245728,19054,volta1,147.96.21.176,190.09686136245728,0,8,"[-21.0, -20.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0]","[1110, 1123, 1051, 1117, 1132, 1132, 1082, 1029, 1018, 1011, 1130, 1108, 1029, 1111, 1018, 1018, 1050, 1061, 1097, 1127, 1040, 1053, 1122, 1050]",4538.78,1057.553,898.748,5340.763,18091.819,265.313,8.828,38400,38400,8.018518518518519,32.56666666666667,0.4303703703703704,0.3732487225976595,0.10888888888888888,0.1724700092279299,0.675000011920929,4.999999873689376e-05,0.09859819,-0.025643867,0.11684047,0.69723934,0.010965314,0.19818628,0.0
-20.0,-21.0,-20.620689655172413,1080.0689655172414,5,8,43200,False,29,9,85ffbbeb68be47a9a4599031342e1ac8,2021-04-19_00-50-05,1618786205,21.491265535354614,211.5881268978119,19054,volta1,147.96.21.176,211.5881268978119,0,9,"[-21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -20.0, -21.0]","[1040, 1133, 1091, 1116, 1123, 1029, 1018, 1011, 1130, 1108, 1029, 1111, 1018, 1018, 1050, 1061, 1097, 1127, 1040, 1053, 1122, 1050, 1110, 1123, 1051, 1117, 1132, 1132, 1082]",4511.622,1063.919,866.966,5536.552,17898.606,268.177,8.728,43200,43200,7.933333333333334,32.455555555555556,0.43962962962962965,0.3732487225976595,0.10185185185185185,0.1724700092279299,0.675000011920929,4.999999873689376e-05,-0.02825273,-0.071240485,0.02851164,0.8955508,0.021446094,0.43190196,0.0
-20.0,-21.0,-20.5625,1086.3125,3,8,48000,False,32,10,85ffbbeb68be47a9a4599031342e1ac8,2021-04-19_00-50-27,1618786227,21.51006269454956,233.09818959236145,19054,volta1,147.96.21.176,233.09818959236145,0,10,"[-20.0, -20.0, -20.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -20.0, -20.0]","[1134, 1134, 1172, 1029, 1018, 1011, 1130, 1108, 1029, 1111, 1018, 1018, 1050, 1061, 1097, 1127, 1040, 1053, 1122, 1050, 1110, 1123, 1051, 1117, 1132, 1132, 1082, 1040, 1133, 1091, 1116, 1123]",4483.28,1070.645,835.373,5745.937,17757.643,270.306,8.826,48000,48000,7.9185185185185185,32.58148148148149,0.46,0.3732487225976595,0.10037037037037037,0.1724700092279299,1.0125000476837158,4.999999873689376e-05,0.05321092,-0.034581978,0.078443505,0.81115764,0.0092339665,0.23449187,0.0
