episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4800,False,0,1,3cb6f55d164944ea866a11e9a19c71db,2021-04-28_19-11-28,1619629888,47.40342116355896,47.40342116355896,33890,volta1,147.96.21.176,47.40342116355896,0,1,[],[],7868.99,609.989,3077.661,1559.626,36189.043,132.637,9.055,4800,4800,6.033333333333333,34.37833333333333,0.25533333333333336,0.6278336355145323,0.0,0.0,0.20000000298023224,4.999999873689376e-05,0.16478813,-0.00054401363,0.13571471,0.62730193,0.14808713,0.0036959848,0.0
nan,nan,nan,nan,0,8,9600,False,0,2,3cb6f55d164944ea866a11e9a19c71db,2021-04-28_19-11-52,1619629912,23.59148859977722,70.99490976333618,33890,volta1,147.96.21.176,70.99490976333618,0,2,[],[],6933.977,692.243,1840.614,2607.826,26481.864,181.256,8.473,9600,9600,7.073333333333332,35.23666666666666,0.5156666666666667,0.6421625185429369,0.0,0.0,0.30000001192092896,4.999999873689376e-05,0.18647729,0.00022786604,0.18366238,0.53162843,0.008623467,2.8037836e-09,0.0
nan,nan,nan,nan,0,8,14400,False,0,3,3cb6f55d164944ea866a11e9a19c71db,2021-04-28_19-12-16,1619629936,23.740551471710205,94.73546123504639,33890,volta1,147.96.21.176,94.73546123504639,0,3,[],[],6644.74,722.376,1428.43,3360.332,23270.474,206.27,9.354,14400,14400,6.966666666666667,35.29999999999999,0.5346666666666666,0.6421625185429369,0.0,0.0,0.30000001192092896,4.999999873689376e-05,0.033663798,0.0019352883,0.031728502,0.7943059,-2.2427868e-09,1.5277162e-07,0.0
-21.0,-21.0,-21.0,1023.5,8,8,19200,False,8,4,3cb6f55d164944ea866a11e9a19c71db,2021-04-28_19-12-40,1619629960,23.57767653465271,118.3131377696991,33890,volta1,147.96.21.176,118.3131377696991,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1015, 1023, 1022, 1031, 1013, 1034, 1021, 1029]",6488.126,739.813,1216.927,3944.363,21640.874,221.803,9.396,19200,19200,7.03,35.23333333333333,0.5319999999999999,0.6421625185429369,0.0,0.0,0.15000000596046448,4.999999873689376e-05,0.053575195,0.00056665816,0.053008545,0.7656488,5.066165e-11,1.5762393e-07,0.0
-21.0,-21.0,-21.0,1023.7777777777778,1,8,24000,False,9,5,3cb6f55d164944ea866a11e9a19c71db,2021-04-28_19-13-04,1619629984,23.66641068458557,141.97954845428467,33890,volta1,147.96.21.176,141.97954845428467,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1026, 1015, 1023, 1022, 1031, 1013, 1034, 1021, 1029]",6401.414,749.834,1093.107,4391.153,20671.674,232.202,9.3,24000,24000,7.0233333333333325,35.239999999999995,0.5256666666666666,0.6421625185429369,0.0,0.0,0.07500000298023224,4.999999873689376e-05,0.019038696,-0.00052166416,0.019560363,0.90166986,4.602694e-11,1.4805228e-07,0.0
-21.0,-21.0,-21.0,1022.5,7,8,28800,False,16,6,3cb6f55d164944ea866a11e9a19c71db,2021-04-28_19-13-28,1619630008,23.685279846191406,165.66482830047607,33890,volta1,147.96.21.176,165.66482830047607,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1012, 1022, 1018, 1035, 1019, 1022, 1018, 1015, 1023, 1022, 1031, 1013, 1034, 1021, 1029, 1026]",6340.889,756.992,1010.893,4748.275,20031.019,239.628,9.192,28800,28800,7.166666666666668,35.239999999999995,0.5319999999999999,0.6421625185429369,0.0,0.0,0.03750000149011612,4.999999873689376e-05,0.028017454,-0.00046906798,0.028486516,0.8616575,5.1342007e-11,1.5908513e-07,0.0
-21.0,-21.0,-21.0,1021.5833333333334,8,8,33600,False,24,7,3cb6f55d164944ea866a11e9a19c71db,2021-04-28_19-13-52,1619630032,23.670288562774658,189.33511686325073,33890,volta1,147.96.21.176,189.33511686325073,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1023, 1014, 1029, 1019, 1031, 1012, 1011, 1019, 1015, 1023, 1022, 1031, 1013, 1034, 1021, 1029, 1026, 1012, 1022, 1018, 1035, 1019, 1022, 1018]",6297.675,762.186,952.093,5041.526,19571.536,245.254,9.039,33600,33600,7.096666666666666,35.02666666666667,0.5219999999999999,0.6421625185429369,0.0,0.0,0.01875000074505806,4.999999873689376e-05,0.013056816,-0.0014514581,0.014508272,0.950132,4.189854e-11,1.5410997e-07,0.0
-21.0,-21.0,-21.0,1021.5833333333334,0,8,38400,False,24,8,3cb6f55d164944ea866a11e9a19c71db,2021-04-28_19-14-16,1619630056,23.622823238372803,212.95794010162354,33890,volta1,147.96.21.176,212.95794010162354,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1015, 1023, 1022, 1031, 1013, 1034, 1021, 1029, 1026, 1012, 1022, 1018, 1035, 1019, 1022, 1018, 1023, 1014, 1029, 1019, 1031, 1012, 1011, 1019]",6269.55,765.605,906.994,5292.209,19217.753,249.769,8.959,38400,38400,7.046666666666668,35.26333333333333,0.5366666666666667,0.6421625185429369,0.0,0.0,0.00937500037252903,4.999999873689376e-05,0.025934368,0.0038751774,0.022059191,0.8248017,4.9826945e-11,1.5293973e-07,0.0
-21.0,-21.0,-21.0,1021.53125,8,8,43200,False,32,9,3cb6f55d164944ea866a11e9a19c71db,2021-04-28_19-14-39,1619630079,23.078050136566162,236.0359902381897,33890,volta1,147.96.21.176,236.0359902381897,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1012, 1020, 1032, 1005, 1032, 1014, 1038, 1018, 1015, 1023, 1022, 1031, 1013, 1034, 1021, 1029, 1026, 1012, 1022, 1018, 1035, 1019, 1022, 1018, 1023, 1014, 1029, 1019, 1031, 1012, 1011, 1019]",6248.636,768.168,871.498,5507.758,18881.663,254.215,8.862,43200,43200,7.155172413793104,35.231034482758616,0.5575862068965518,0.6421625185429369,0.0,0.0,0.004687500186264515,4.999999873689376e-05,0.018201286,0.00037986544,0.017821424,0.92112195,4.0693896e-11,1.5831964e-07,0.0
-21.0,-21.0,-21.0,1021.6060606060606,1,8,48000,False,33,10,3cb6f55d164944ea866a11e9a19c71db,2021-04-28_19-15-03,1619630103,23.529327392578125,259.5653176307678,33890,volta1,147.96.21.176,259.5653176307678,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1024, 1015, 1023, 1022, 1031, 1013, 1034, 1021, 1029, 1026, 1012, 1022, 1018, 1035, 1019, 1022, 1018, 1023, 1014, 1029, 1019, 1031, 1012, 1011, 1019, 1012, 1020, 1032, 1005, 1032, 1014, 1038, 1018]",6226.673,770.877,843.692,5689.279,18662.094,257.206,8.874,48000,48000,7.003333333333333,35.30333333333333,0.515,0.6421625185429369,0.0,0.0,0.0023437500931322575,4.999999873689376e-05,0.015213999,-0.00043602992,0.015650028,0.9077095,4.5041935e-11,1.4743196e-07,0.0
