episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4800,False,0,1,313c5b4dd4f545c2892719bc1963d7d8,2021-04-28_16-16-09,1619619369,27.853816032409668,27.853816032409668,35036,volta1,147.96.21.176,27.853816032409668,0,1,[],[],6761.35,709.917,3040.149,1578.87,17738.075,270.604,7.571,4800,4800,6.722222222222222,24.327777777777772,0.0,4.120652711389484e-05,0.49277777777777776,0.37156772275197386,0.20000000298023224,4.999999873689376e-05,4.877669,-0.04598229,4.9175644,0.3147362,0.030432444,0.85361344,0.0
nan,nan,nan,nan,0,8,9600,False,0,2,313c5b4dd4f545c2892719bc1963d7d8,2021-04-28_16-16-34,1619619394,24.28993058204651,52.14374661445618,35036,volta1,147.96.21.176,52.14374661445618,0,2,[],[],6541.141,733.817,1812.819,2647.809,17459.483,274.922,7.27,9600,9600,6.948387096774193,25.274193548387093,0.0,4.120652711389485e-05,0.565483870967742,0.3800984312519227,0.30000001192092896,4.999999873689376e-05,6.3155813,-0.038094006,6.3460736,0.26882213,0.025339605,0.82671463,0.0
nan,nan,nan,nan,0,8,14400,False,0,3,313c5b4dd4f545c2892719bc1963d7d8,2021-04-28_16-16-59,1619619419,24.403486967086792,76.54723358154297,35036,volta1,147.96.21.176,76.54723358154297,0,3,[],[],6482.409,740.465,1394.359,3442.443,17378.913,276.197,7.535,14400,14400,6.803125,25.28125,0.0,4.120652711389484e-05,0.5543750000000001,0.3800984312519225,0.44999998807907104,4.999999873689376e-05,0.6917143,-0.05557703,0.73830354,0.45178455,0.019972878,0.8553518,0.0
-20.0,-21.0,-20.428571428571427,1178.857142857143,7,8,19200,False,7,4,313c5b4dd4f545c2892719bc1963d7d8,2021-04-28_16-17-23,1619619443,24.292847633361816,100.84008121490479,35036,volta1,147.96.21.176,100.84008121490479,0,4,"[-21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0]","[1091, 1132, 1259, 1118, 1262, 1187, 1203]",6438.434,745.523,1190.841,4030.763,17333.914,276.914,7.31,19200,19200,6.8999999999999995,25.035483870967745,0.0,4.120652711389485e-05,0.5796774193548387,0.3800984312519227,0.44999998807907104,4.999999873689376e-05,0.52857494,-0.086742714,0.6009828,0.55033493,0.031855136,0.8675929,0.0
-20.0,-21.0,-20.5,1168.5,1,8,24000,False,8,5,313c5b4dd4f545c2892719bc1963d7d8,2021-04-28_16-17-48,1619619468,24.26318120956421,125.103262424469,35036,volta1,147.96.21.176,125.103262424469,0,5,"[-21.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0]","[1096, 1091, 1132, 1259, 1118, 1262, 1187, 1203]",6414.814,748.268,1067.665,4495.794,17299.5,277.465,7.396,24000,24000,6.941935483870966,25.177419354838694,0.0,4.120652711389485e-05,0.5761290322580647,0.3800984312519227,0.675000011920929,4.999999873689376e-05,0.07019327,-0.089802116,0.14525183,0.5064758,0.021842306,0.9075266,0.0
-20.0,-21.0,-20.6,1132.2666666666667,7,8,28800,False,15,6,313c5b4dd4f545c2892719bc1963d7d8,2021-04-28_16-18-12,1619619492,24.283517599105835,149.38678002357483,35036,volta1,147.96.21.176,149.38678002357483,0,6,"[-20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0]","[1171, 1108, 1036, 1044, 1047, 1124, 1106, 1091, 1132, 1259, 1118, 1262, 1187, 1203, 1096]",6398.49,750.177,985.902,4868.636,17279.647,277.783,7.467,28800,28800,6.974193548387097,25.100000000000012,0.0,4.120652711389485e-05,0.5706451612903226,0.3800984312519227,1.0125000476837158,4.999999873689376e-05,0.07264795,-0.10841497,0.16369832,0.73214716,0.017150244,0.8952179,0.0
-20.0,-21.0,-20.5625,1151.625,1,8,33600,False,16,7,313c5b4dd4f545c2892719bc1963d7d8,2021-04-28_16-18-37,1619619517,24.290196180343628,173.67697620391846,35036,volta1,147.96.21.176,173.67697620391846,0,7,"[-20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0]","[1442, 1091, 1132, 1259, 1118, 1262, 1187, 1203, 1096, 1171, 1108, 1036, 1044, 1047, 1124, 1106]",6388.662,751.331,928.248,5171.034,17262.309,278.062,7.448,33600,33600,6.903225806451613,25.183870967741925,0.0,4.120652711389485e-05,0.5645161290322581,0.3800984312519227,1.0125000476837158,4.999999873689376e-05,-0.040042356,-0.089504525,0.03362546,0.80611444,0.015641198,0.87623554,0.0
-20.0,-21.0,-20.5,1150.4166666666667,8,8,38400,False,24,8,313c5b4dd4f545c2892719bc1963d7d8,2021-04-28_16-19-02,1619619542,24.349315643310547,198.026291847229,35036,volta1,147.96.21.176,198.026291847229,0,8,"[-20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0]","[1130, 1106, 1215, 1183, 1186, 1119, 1109, 1136, 1091, 1132, 1259, 1118, 1262, 1187, 1203, 1096, 1171, 1108, 1036, 1044, 1047, 1124, 1106, 1442]",6387.257,751.496,881.618,5444.533,17249.996,278.261,7.397,38400,38400,6.84375,25.153125,0.0,4.120652711389484e-05,0.553125,0.3800984312519225,1.0125000476837158,4.999999873689376e-05,-0.018952351,-0.11262025,0.0739,0.75919074,0.01952384,0.89976233,0.0
-20.0,-21.0,-20.5,1150.4166666666667,0,8,43200,False,24,9,313c5b4dd4f545c2892719bc1963d7d8,2021-04-28_16-19-26,1619619566,24.224684476852417,222.25097632408142,35036,volta1,147.96.21.176,222.25097632408142,0,9,"[-21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -20.0, -20.0]","[1091, 1132, 1259, 1118, 1262, 1187, 1203, 1096, 1171, 1108, 1036, 1044, 1047, 1124, 1106, 1442, 1130, 1106, 1215, 1183, 1186, 1119, 1109, 1136]",6375.882,752.837,847.885,5661.148,17239.336,278.433,7.355,43200,43200,6.838709677419355,25.209677419354833,0.0,4.120652711389485e-05,0.5906451612903226,0.3800984312519227,1.0125000476837158,4.999999873689376e-05,-0.05080094,-0.09014022,0.022327125,0.87554914,0.016802134,0.8593063,0.0
-20.0,-21.0,-20.5,1139.90625,8,8,48000,False,32,10,313c5b4dd4f545c2892719bc1963d7d8,2021-04-28_16-19-51,1619619591,24.288184642791748,246.53916096687317,35036,volta1,147.96.21.176,246.53916096687317,0,10,"[-20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -20.0, -20.0]","[1117, 1137, 1064, 1123, 1158, 1046, 1125, 1097, 1091, 1132, 1259, 1118, 1262, 1187, 1203, 1096, 1171, 1108, 1036, 1044, 1047, 1124, 1106, 1442, 1130, 1106, 1215, 1183, 1186, 1119, 1109, 1136]",6372.603,753.224,820.738,5848.396,17231.627,278.558,7.316,48000,48000,6.8999999999999995,25.183870967741925,0.0,4.120652711389485e-05,0.5709677419354839,0.3800984312519227,1.0125000476837158,4.999999873689376e-05,-0.0758794,-0.12417387,0.029847886,0.89753145,0.018218853,0.944833,0.0
