episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,16,6400,False,0,1,8c44922a43d144b8928d0dfdc7c02439,2021-04-13_00-27-08,1618266428,47.46732687950134,47.46732687950134,8915,volta1,147.96.21.176,47.46732687950134,0,1,[],[],5956.797,1074.403,1201.594,5326.257,40031.764,159.873,9.94,6400,6400,7.608955223880598,51.61044776119402,0.20000000298023224,4.999999873689376e-05,1.5050277,-0.00010259718,1.504559,0.71789145,0.0028563214,0.002795047,0.0
nan,nan,nan,nan,0,16,12800,False,0,2,8c44922a43d144b8928d0dfdc7c02439,2021-04-13_00-27-25,1618266445,17.095937728881836,64.56326460838318,8915,volta1,147.96.21.176,64.56326460838318,0,2,[],[],5186.48,1233.977,793.126,8069.336,26063.379,245.555,10.461,12800,12800,10.924000000000001,51.864000000000004,0.10000000149011612,4.999999873689376e-05,0.57789326,-4.0382147e-08,0.57789326,0.6418854,0.0,0.0,0.0
nan,nan,nan,nan,0,16,19200,False,0,3,8c44922a43d144b8928d0dfdc7c02439,2021-04-13_00-27-43,1618266463,17.217013835906982,81.78027844429016,8915,volta1,147.96.21.176,81.78027844429016,0,3,[],[],4856.916,1317.709,766.085,8354.16,21407.015,298.967,10.641,19200,19200,10.964,51.931999999999995,0.05000000074505806,4.999999873689376e-05,0.24681646,1.0505319e-07,0.24681637,0.30414638,0.0,0.0,0.0
nan,nan,nan,nan,0,16,25600,False,0,4,8c44922a43d144b8928d0dfdc7c02439,2021-04-13_00-27-59,1618266479,16.173056840896606,97.95333528518677,8915,volta1,147.96.21.176,97.95333528518677,0,4,[],[],4548.617,1407.021,624.62,10246.228,19090.699,335.242,10.66,25600,25600,11.4625,51.95000000000001,0.02500000037252903,4.999999873689376e-05,0.022856677,2.8610229e-08,0.022856647,0.81971514,0.0,0.0,0.0
-21.0,-21.0,-21.0,1016.875,8,16,32000,False,8,5,8c44922a43d144b8928d0dfdc7c02439,2021-04-13_00-28-16,1618266496,16.615520000457764,114.56885528564453,8915,volta1,147.96.21.176,114.56885528564453,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1030, 1012, 1008, 1019, 1011, 1008, 1028, 1019]",4369.413,1464.727,577.733,11077.784,17747.571,360.613,10.514,32000,32000,11.116666666666667,51.9625,0.012500000186264515,4.999999873689376e-05,0.035186004,-6.437302e-08,0.035186067,0.85265654,0.0,0.0,0.0
-21.0,-21.0,-21.0,1017.9375,8,16,38400,False,16,6,8c44922a43d144b8928d0dfdc7c02439,2021-04-13_00-28-33,1618266513,16.485400915145874,131.0542562007904,8915,volta1,147.96.21.176,131.0542562007904,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1018, 1017, 1017, 1019, 1035, 1012, 1024, 1010, 1030, 1012, 1008, 1019, 1011, 1008, 1028, 1019]",4248.059,1506.57,514.343,12443.051,16863.107,379.527,10.279,38400,38400,11.075000000000001,51.96666666666667,0.0062500000931322575,4.999999873689376e-05,0.03029081,-2.2351741e-10,0.030290809,0.84544873,0.0,0.0,0.0
-21.0,-21.0,-21.0,1017.9375,0,16,44800,False,16,7,8c44922a43d144b8928d0dfdc7c02439,2021-04-13_00-28-50,1618266530,16.531627655029297,147.5858838558197,8915,volta1,147.96.21.176,147.5858838558197,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1030, 1012, 1008, 1019, 1011, 1008, 1028, 1019, 1018, 1017, 1017, 1019, 1035, 1012, 1024, 1010]",4157.672,1539.323,469.775,13623.541,16242.142,394.037,10.097,44800,44800,11.070833333333333,51.96666666666667,0.0031250000465661287,4.999999873689376e-05,0.030019274,-6.7055224e-09,0.030019281,0.7646221,0.0,0.0,0.0
-21.0,-21.0,-21.0,1017.5625,16,16,51200,False,32,8,8c44922a43d144b8928d0dfdc7c02439,2021-04-13_00-29-06,1618266546,16.53342890739441,164.1193127632141,8915,volta1,147.96.21.176,164.1193127632141,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1018, 1029, 1023, 1011, 1005, 1011, 1023, 1014, 1020, 1019, 1007, 1022, 1009, 1019, 1012, 1033, 1030, 1012, 1008, 1019, 1011, 1008, 1028, 1019, 1018, 1017, 1017, 1019, 1035, 1012, 1024, 1010]",4099.349,1561.223,440.57,14526.622,15762.648,406.023,9.951,51200,51200,11.1,51.975,0.0015625000232830644,4.999999873689376e-05,0.02054855,-5.5134297e-09,0.020548554,0.9264219,0.0,0.0,0.0
-21.0,-21.0,-21.0,1017.5625,0,16,57600,False,32,9,8c44922a43d144b8928d0dfdc7c02439,2021-04-13_00-29-23,1618266563,16.747702836990356,180.86701560020447,8915,volta1,147.96.21.176,180.86701560020447,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1030, 1012, 1008, 1019, 1011, 1008, 1028, 1019, 1018, 1017, 1017, 1019, 1035, 1012, 1024, 1010, 1018, 1029, 1023, 1011, 1005, 1011, 1023, 1014, 1020, 1019, 1007, 1022, 1009, 1019, 1012, 1033]",4056.496,1577.716,437.153,14640.183,15392.371,415.79,9.796,57600,57600,10.995833333333332,51.979166666666664,0.0007812500116415322,4.999999873689376e-05,0.009541274,-2.2538007e-08,0.009541297,0.9078877,0.0,0.0,0.0
-21.0,-21.0,-21.0,1017.1578947368421,6,16,64000,False,38,10,8c44922a43d144b8928d0dfdc7c02439,2021-04-13_00-29-40,1618266580,16.32067346572876,197.18768906593323,8915,volta1,147.96.21.176,197.18768906593323,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1017, 1018, 1014, 1015, 1020, 1006, 1030, 1012, 1008, 1019, 1011, 1008, 1028, 1019, 1018, 1017, 1017, 1019, 1035, 1012, 1024, 1010, 1018, 1029, 1023, 1011, 1005, 1011, 1023, 1014, 1020, 1019, 1007, 1022, 1009, 1019, 1012, 1033]",4013.084,1594.783,413.061,15494.076,15083.898,424.293,9.594,64000,64000,11.147826086956524,51.97826086956522,0.0003906250058207661,4.999999873689376e-05,0.018654192,-4.3213366e-09,0.018654192,0.9058388,0.0,0.0,0.0
