episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-21.0,-21.0,-21.0,999.0,1,2,4000,False,1,1,f4257b6130ac47cbbb037751b73b0341,2021-04-21_20-10-14,1619028614,38.70208740234375,38.70208740234375,11826,volta1,147.96.21.176,38.70208740234375,0,1,[-21.0],[999],1.320352082488419,0.15348675607264728,3.858810183645665,0.07773267811742322,11277.519,354.688,684.205,5846.205,26505.378,150.913,6.239,4000,4000,3.952083333333333,12.387499999999998,0.09750000000000002,0.15519751661996595,0.02125,0.05419870808981852,0.20000000298023224,4.999999873689376e-05,3.0112615,-0.017021725,3.0208082,0.12883987,0.03737348,0.90669286,0.0
-21.0,-21.0,-21.0,1012.8,4,2,8000,False,5,2,f4257b6130ac47cbbb037751b73b0341,2021-04-21_20-10-33,1619028633,18.366594076156616,57.068681478500366,11826,volta1,147.96.21.176,57.068681478500366,0,2,"[-21.0, -21.0, -21.0, -21.0, -21.0]","[1028, 1020, 1007, 1010, 999]",1.3143174744460264,0.15395028184021045,3.493387381239868,0.07883661558457347,10634.334,376.14,404.58,9886.796,17290.585,231.34,5.966,8000,8000,4.752173913043479,12.517391304347827,0.2,0.17277896818856103,0.04956521739130435,0.05419870808981852,0.30000001192092896,4.999999873689376e-05,0.9012271,-0.03314056,0.9280764,0.12461667,0.020970957,0.86571586,0.0
-21.0,-21.0,-21.0,1016.1111111111111,4,2,12000,False,9,3,f4257b6130ac47cbbb037751b73b0341,2021-04-21_20-10-52,1619028652,18.34045386314392,75.40913534164429,11826,volta1,147.96.21.176,75.40913534164429,0,3,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1019, 1010, 1018, 1034, 999, 1028, 1020, 1007, 1010]",1.3132159453998398,0.15367853150899977,3.4232454849780702,0.07888679773517909,10381.112,385.315,307.9,12991.25,14252.186,280.659,5.956,12000,12000,4.791304347826086,12.521739130434785,0.2034782608695652,0.17277896818856103,0.049999999999999996,0.05419870808981852,0.44999998807907104,4.999999873689376e-05,0.17788517,-0.024963679,0.19274966,0.40024972,0.02244268,0.7826533,0.0
-21.0,-21.0,-21.0,1017.0,4,2,16000,False,13,4,f4257b6130ac47cbbb037751b73b0341,2021-04-21_20-11-10,1619028670,18.250097036361694,93.65923237800598,11826,volta1,147.96.21.176,93.65923237800598,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1014, 1025, 1020, 1017, 999, 1028, 1020, 1007, 1010, 1019, 1010, 1018, 1034]",1.312118062667302,0.15410265806680754,3.3882353467144166,0.07877263183063009,10271.638,389.422,260.018,15383.547,12691.112,315.181,6.083,16000,16000,4.786363636363635,12.518181818181818,0.19045454545454543,0.17277896818856103,0.05136363636363636,0.05419870808981852,0.675000011920929,4.999999873689376e-05,0.15171821,-0.033685617,0.17618239,0.6742614,0.013661393,0.7866465,0.0
-21.0,-21.0,-21.0,1016.7058823529412,4,2,20000,False,17,5,f4257b6130ac47cbbb037751b73b0341,2021-04-21_20-11-29,1619028689,18.400522232055664,112.05975461006165,11826,volta1,147.96.21.176,112.05975461006165,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1012, 1014, 1015, 1022, 999, 1028, 1020, 1007, 1010, 1019, 1010, 1018, 1034, 1014, 1025, 1020, 1017]",1.3114184677299097,0.1543018029086631,3.3674234608953935,0.07877655247532982,10218.846,391.434,230.516,17352.407,11772.287,339.781,6.06,20000,20000,4.717391304347825,12.517391304347827,0.21043478260869564,0.17277896818856103,0.04521739130434783,0.05419870808981852,0.675000011920929,4.999999873689376e-05,0.032611385,-0.022199636,0.046123248,0.7775238,0.012870782,0.76715136,0.0
-21.0,-21.0,-21.0,1017.2380952380952,4,2,24000,False,21,6,f4257b6130ac47cbbb037751b73b0341,2021-04-21_20-11-48,1619028708,18.53767466545105,130.5974292755127,11826,volta1,147.96.21.176,130.5974292755127,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1018, 1032, 1009, 1019, 999, 1028, 1020, 1007, 1010, 1019, 1010, 1018, 1034, 1014, 1025, 1020, 1017, 1012, 1014, 1015, 1022]",1.3108789234374711,0.15430653221527338,3.3523792295449266,0.07873467708814207,10181.805,392.858,210.752,18979.656,11175.201,357.935,6.023,24000,24000,4.7,12.520833333333334,0.1991666666666667,0.17277896818856106,0.043750000000000004,0.05419870808981852,0.675000011920929,4.999999873689376e-05,0.025128067,-0.033423953,0.05120945,0.8322675,0.01087787,0.8190673,0.0
-21.0,-21.0,-21.0,1017.64,4,2,28000,False,25,7,f4257b6130ac47cbbb037751b73b0341,2021-04-21_20-12-06,1619028726,18.344067096710205,148.9414963722229,11826,volta1,147.96.21.176,148.9414963722229,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1007, 1026, 1026, 1020, 999, 1028, 1020, 1007, 1010, 1019, 1010, 1018, 1034, 1014, 1025, 1020, 1017, 1012, 1014, 1015, 1022, 1018, 1032, 1009, 1019]",1.310314319922875,0.15441129462246164,3.3404907246568003,0.07872274575298906,10141.741,394.41,196.783,20326.952,10742.871,372.34,5.968,28000,28000,4.745454545454546,12.518181818181818,0.21227272727272728,0.17277896818856103,0.04863636363636363,0.05419870808981852,0.675000011920929,4.999999873689376e-05,0.01198971,-0.03852998,0.042531505,0.8697502,0.011834343,0.82345325,0.0
-21.0,-21.0,-21.0,1017.4827586206897,4,2,32000,False,29,8,f4257b6130ac47cbbb037751b73b0341,2021-04-21_20-12-25,1619028745,18.277409076690674,167.21890544891357,11826,volta1,147.96.21.176,167.21890544891357,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1017, 1019, 1019, 1011, 999, 1028, 1020, 1007, 1010, 1019, 1010, 1018, 1034, 1014, 1025, 1020, 1017, 1012, 1014, 1015, 1022, 1018, 1032, 1009, 1019, 1007, 1026, 1026, 1020]",1.3100994969377737,0.15443209078336986,3.330302729913282,0.07869544190255073,10113.233,395.521,187.628,21318.817,10407.447,384.34,6.09,32000,32000,4.730434782608695,12.517391304347827,0.1943478260869565,0.17277896818856103,0.04565217391304348,0.05419870808981852,0.675000011920929,4.999999873689376e-05,0.008276447,-0.03379828,0.033068202,0.8969327,0.013342997,0.8174873,0.0
-21.0,-21.0,-21.0,1017.3636363636364,4,2,36000,False,33,9,f4257b6130ac47cbbb037751b73b0341,2021-04-21_20-12-44,1619028764,18.43654441833496,185.65544986724854,11826,volta1,147.96.21.176,185.65544986724854,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1019, 1013, 1019, 1015, 999, 1028, 1020, 1007, 1010, 1019, 1010, 1018, 1034, 1014, 1025, 1020, 1017, 1012, 1014, 1015, 1022, 1018, 1032, 1009, 1019, 1007, 1026, 1026, 1020, 1017, 1019, 1019, 1011]",1.3100210775682335,0.15440029829225466,3.3220109612306383,0.07865640685128518,10093.692,396.287,184.029,21735.727,10158.175,393.772,6.095,36000,36000,4.721739130434782,12.521739130434785,0.20782608695652174,0.17277896818856103,0.046521739130434774,0.05419870808981852,0.675000011920929,4.999999873689376e-05,-0.008510758,-0.038069103,0.02185438,0.92386466,0.011413276,0.8218287,0.0
-21.0,-21.0,-21.0,1017.7297297297297,4,2,40000,False,37,10,f4257b6130ac47cbbb037751b73b0341,2021-04-21_20-13-02,1619028782,18.47550082206726,204.1309506893158,11826,volta1,147.96.21.176,204.1309506893158,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1025, 1034, 1008, 1016, 999, 1028, 1020, 1007, 1010, 1019, 1010, 1018, 1034, 1014, 1025, 1020, 1017, 1012, 1014, 1015, 1022, 1018, 1032, 1009, 1019, 1007, 1026, 1026, 1020, 1017, 1019, 1019, 1011, 1019, 1013, 1019, 1015]",1.3099984411250343,0.1543191235616505,3.315129374573979,0.07862884633723786,10080.215,396.817,181.471,22042.03,9958.989,401.647,6.138,40000,40000,4.708695652173913,12.52608695652174,0.2056521739130435,0.17277896818856103,0.04869565217391305,0.05419870808981852,0.675000011920929,4.999999873689376e-05,-0.022792319,-0.04504793,0.0130538335,0.94344294,0.013632273,0.8440441,0.0
-21.0,-21.0,-21.0,1017.6585365853658,4,2,44000,False,41,11,f4257b6130ac47cbbb037751b73b0341,2021-04-21_20-13-21,1619028801,18.227304458618164,222.35825514793396,11826,volta1,147.96.21.176,222.35825514793396,0,11,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1009, 1020, 1010, 1029, 999, 1028, 1020, 1007, 1010, 1019, 1010, 1018, 1034, 1014, 1025, 1020, 1017, 1012, 1014, 1015, 1022, 1018, 1032, 1009, 1019, 1007, 1026, 1026, 1020, 1017, 1019, 1019, 1011, 1019, 1013, 1019, 1015, 1025, 1034, 1008, 1016]",1.3099974743134462,0.15430630003694498,3.308736254884298,0.07860507950972967,9934.008,402.657,124.544,32117.089,8119.868,492.619,6.092,44000,44000,4.786363636363635,12.518181818181818,0.21636363636363634,0.17277896818856103,0.04954545454545454,0.05419870808981852,0.675000011920929,4.999999873689376e-05,-0.028993195,-0.054206878,0.015558915,0.9528262,0.014303357,0.86167884,0.0
