episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4800,False,0,1,612c0167f8d34baeabb4026aaef56e8a,2021-04-14_15-29-34,1618406974,36.16460704803467,36.16460704803467,18062,volta1,147.96.21.176,36.16460704803467,0,1,[],[],5472.561,877.103,779.769,6155.668,29673.263,161.762,9.434,4800,4800,5.665384615384614,29.040384615384603,0.20000000298023224,4.999999873689376e-05,1.3295481,0.0059698108,1.313049,0.63196063,0.052646816,0.011468665,0.0
nan,nan,nan,nan,0,8,9600,False,0,2,612c0167f8d34baeabb4026aaef56e8a,2021-04-14_15-29-47,1618406987,13.124711751937866,49.289318799972534,18062,volta1,147.96.21.176,49.289318799972534,0,2,[],[],4624.374,1037.978,465.848,10303.799,19343.59,248.144,8.668,9600,9600,8.926315789473684,29.252631578947366,0.30000001192092896,4.999999873689376e-05,0.80286217,6.4429e-05,0.8027978,0.61558974,0.0,0.0,0.0
nan,nan,nan,nan,0,8,14400,False,0,3,612c0167f8d34baeabb4026aaef56e8a,2021-04-14_15-30-01,1618407001,13.06297492980957,62.352293729782104,18062,volta1,147.96.21.176,62.352293729782104,0,3,[],[],4318.17,1111.582,353.494,13578.713,15912.834,301.643,8.421,14400,14400,8.678947368421053,29.273684210526312,0.15000000596046448,4.999999873689376e-05,0.3104335,-0.0033957958,0.31382933,0.60078245,0.0,0.0,0.0
-21.0,-21.0,-21.0,1019.875,8,8,19200,False,8,4,612c0167f8d34baeabb4026aaef56e8a,2021-04-14_15-30-14,1618407014,13.022170782089233,75.37446451187134,18062,volta1,147.96.21.176,75.37446451187134,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1016, 1046, 1015, 1018, 1015, 1003, 1030]",4178.308,1148.79,295.66,16234.89,14163.253,338.905,8.532,19200,19200,8.794736842105262,29.268421052631574,0.07500000298023224,4.999999873689376e-05,0.123438396,0.0017911568,0.12164723,0.625158,0.0,0.0,0.0
-21.0,-21.0,-21.0,1019.6,2,8,24000,False,10,5,612c0167f8d34baeabb4026aaef56e8a,2021-04-14_15-30-28,1618407028,12.996125221252441,88.37058973312378,18062,volta1,147.96.21.176,88.37058973312378,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1018, 1019, 1016, 1016, 1046, 1015, 1018, 1015, 1003, 1030]",4084.44,1175.192,261.807,18334.129,13123.463,365.757,8.289,24000,24000,8.389999999999999,29.269999999999992,0.03750000149011612,4.999999873689376e-05,0.040516745,0.0014094377,0.03910731,0.82437116,0.0,0.0,0.0
-21.0,-21.0,-21.0,1022.0625,6,8,28800,False,16,6,612c0167f8d34baeabb4026aaef56e8a,2021-04-14_15-30-41,1618407041,12.986114501953125,101.3567042350769,18062,volta1,147.96.21.176,101.3567042350769,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1032, 1026, 1018, 1042, 1021, 1018, 1016, 1016, 1046, 1015, 1018, 1015, 1003, 1030, 1018, 1019]",4023.312,1193.047,241.757,19854.667,12425.483,386.303,8.191,28800,28800,8.726315789473684,29.27894736842105,0.01875000074505806,4.999999873689376e-05,0.04932898,0.002373823,0.046955153,0.8010825,0.0,0.0,0.0
-21.0,-21.0,-21.0,1021.125,8,8,33600,False,24,7,612c0167f8d34baeabb4026aaef56e8a,2021-04-14_15-30-54,1618407054,13.013979196548462,114.37068343162537,18062,volta1,147.96.21.176,114.37068343162537,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1012, 1019, 1027, 1015, 1028, 1016, 1011, 1026, 1016, 1016, 1046, 1015, 1018, 1015, 1003, 1030, 1018, 1019, 1032, 1026, 1018, 1042, 1021, 1018]",3982.292,1205.336,225.558,21280.544,11929.085,402.378,8.12,33600,33600,8.6,29.268421052631574,0.00937500037252903,4.999999873689376e-05,0.049022213,0.0022921388,0.04673007,0.8252564,0.0,0.0,0.0
-21.0,-21.0,-21.0,1021.125,0,8,38400,False,24,8,612c0167f8d34baeabb4026aaef56e8a,2021-04-14_15-31-08,1618407068,13.068258285522461,127.43894171714783,18062,volta1,147.96.21.176,127.43894171714783,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1016, 1046, 1015, 1018, 1015, 1003, 1030, 1018, 1019, 1032, 1026, 1018, 1042, 1021, 1018, 1012, 1019, 1027, 1015, 1028, 1016, 1011, 1026]",3945.792,1216.486,212.059,22635.195,11571.475,414.813,8.032,38400,38400,8.58421052631579,29.268421052631574,0.004687500186264515,4.999999873689376e-05,0.01875562,-5.3844844e-05,0.018809462,0.85754645,0.0,0.0,0.0
-21.0,-21.0,-21.0,1020.46875,8,8,43200,False,32,9,612c0167f8d34baeabb4026aaef56e8a,2021-04-14_15-31-21,1618407081,13.146738529205322,140.58568024635315,18062,volta1,147.96.21.176,140.58568024635315,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1020, 1023, 1011, 1014, 1032, 1016, 1023, 1009, 1016, 1016, 1046, 1015, 1018, 1015, 1003, 1030, 1018, 1019, 1032, 1026, 1018, 1042, 1021, 1018, 1012, 1019, 1027, 1015, 1028, 1016, 1011, 1026]",3918.867,1224.844,201.683,23799.679,11299.788,424.787,8.014,43200,43200,8.465,29.274999999999995,0.0023437500931322575,4.999999873689376e-05,0.05339375,0.0006184258,0.05277533,0.79831076,0.0,0.0,0.0
-21.0,-21.0,-21.0,1020.0294117647059,2,8,48000,False,34,10,612c0167f8d34baeabb4026aaef56e8a,2021-04-14_15-31-35,1618407095,13.082091093063354,153.6677713394165,18062,volta1,147.96.21.176,153.6677713394165,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1009, 1017, 1016, 1016, 1046, 1015, 1018, 1015, 1003, 1030, 1018, 1019, 1032, 1026, 1018, 1042, 1021, 1018, 1012, 1019, 1027, 1015, 1028, 1016, 1011, 1026, 1020, 1023, 1011, 1014, 1032, 1016, 1023, 1009]",3899.732,1230.854,195.445,24559.334,11072.549,433.505,7.825,48000,48000,9.089473684210525,29.289473684210527,0.0011718750465661287,4.999999873689376e-05,0.025059965,-0.0009997934,0.026059758,0.8699786,0.0,0.0,0.0
