episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4800,False,0,1,99c060ae79fb4ee2b1738349d8bbad46,2021-04-19_10-24-41,1618820681,30.99854803085327,30.99854803085327,31926,volta1,147.96.21.176,30.99854803085327,0,1,[],[],2288.576,2097.374,809.398,5930.334,27659.142,173.541,8.202,4800,4800,6.7,10.158974358974357,0.12487179487179488,0.08956185839324128,0.0,0.0,0.20000000298023224,4.999999873689376e-05,1.0112659,-0.0044413363,1.0077099,0.64774257,0.03998637,0.55693763,0.0
nan,nan,nan,nan,0,8,9600,False,0,2,99c060ae79fb4ee2b1738349d8bbad46,2021-04-19_10-24-54,1618820694,12.193154096603394,43.191702127456665,31926,volta1,147.96.21.176,43.191702127456665,0,2,[],[],2234.532,2148.1,478.936,10022.224,18661.553,257.213,11.39,9600,9600,8.9625,10.375,0.294375,0.102274600296687,0.0,0.0,0.30000001192092896,4.999999873689376e-05,0.8566401,-0.020532034,0.8698487,0.52811146,0.024411324,0.5687377,0.0
nan,nan,nan,nan,0,8,14400,False,0,3,99c060ae79fb4ee2b1738349d8bbad46,2021-04-19_10-25-06,1618820706,11.971376180648804,55.16307830810547,31926,volta1,147.96.21.176,55.16307830810547,0,3,[],[],2180.644,2201.185,362.983,13223.763,15632.823,307.046,10.543,14400,14400,9.253333333333334,10.380000000000003,0.3133333333333334,0.102274600296687,0.0,0.0,0.44999998807907104,4.999999873689376e-05,0.22958699,-0.02584615,0.24797045,0.50926894,0.016583841,0.6116373,0.0
-21.0,-21.0,-21.0,1017.625,8,8,19200,False,8,4,99c060ae79fb4ee2b1738349d8bbad46,2021-04-19_10-25-18,1618820718,12.085973024368286,67.24905133247375,31926,volta1,147.96.21.176,67.24905133247375,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1022, 1024, 1009, 1022, 1023, 1017, 1008]",2163.185,2218.95,303.096,15836.576,14126.903,339.777,10.413,19200,19200,9.35,10.375,0.300625,0.102274600296687,0.0,0.0,0.44999998807907104,4.999999873689376e-05,0.10734147,-0.0280486,0.12675346,0.5019865,0.019192474,0.62914896,0.0
-21.0,-21.0,-21.0,1014.1818181818181,3,8,24000,False,11,5,99c060ae79fb4ee2b1738349d8bbad46,2021-04-19_10-25-31,1618820731,12.121692419052124,79.37074375152588,31926,volta1,147.96.21.176,79.37074375152588,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1017, 1011, 987, 1016, 1022, 1024, 1009, 1022, 1023, 1017, 1008]",2159.668,2222.564,273.245,17566.646,13227.562,362.879,9.905,24000,24000,9.206666666666669,10.380000000000003,0.32733333333333337,0.102274600296687,0.0,0.0,0.44999998807907104,4.999999873689376e-05,0.072130635,-0.017030617,0.08398046,0.8180185,0.011512869,0.6238786,0.0
-21.0,-21.0,-21.0,1015.1875,5,8,28800,False,16,6,99c060ae79fb4ee2b1738349d8bbad46,2021-04-19_10-25-43,1618820743,12.061071634292603,91.43181538581848,31926,volta1,147.96.21.176,91.43181538581848,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1017, 1024, 1008, 1025, 1013, 1016, 1022, 1024, 1009, 1022, 1023, 1017, 1008, 1017, 1011, 987]",2143.698,2239.121,247.97,19357.206,12628.088,380.105,9.707,28800,28800,9.3,10.381250000000001,0.29125,0.102274600296687,0.0,0.0,0.44999998807907104,4.999999873689376e-05,0.04323431,-0.05124978,0.08677461,0.6844571,0.017132169,0.6379957,0.0
-21.0,-21.0,-21.0,1015.7083333333334,8,8,33600,False,24,7,99c060ae79fb4ee2b1738349d8bbad46,2021-04-19_10-25-55,1618820755,12.038057088851929,103.46987247467041,31926,volta1,147.96.21.176,103.46987247467041,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1002, 1007, 1014, 1024, 1020, 1017, 1026, 1024, 1016, 1022, 1024, 1009, 1022, 1023, 1017, 1008, 1017, 1011, 987, 1017, 1024, 1008, 1025, 1013]",2141.445,2241.477,231.623,20723.324,12193.405,393.655,9.394,33600,33600,9.153333333333332,10.380000000000003,0.32,0.102274600296687,0.0,0.0,0.44999998807907104,4.999999873689376e-05,0.12332863,-0.060458917,0.1729995,0.5802021,0.023973444,0.70473886,0.0
-21.0,-21.0,-21.0,1015.7083333333334,0,8,38400,False,24,8,99c060ae79fb4ee2b1738349d8bbad46,2021-04-19_10-26-08,1618820768,12.14840292930603,115.61827540397644,31926,volta1,147.96.21.176,115.61827540397644,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1022, 1024, 1009, 1022, 1023, 1017, 1008, 1017, 1011, 987, 1017, 1024, 1008, 1025, 1013, 1002, 1007, 1014, 1024, 1020, 1017, 1026, 1024]",2133.521,2249.802,217.951,22023.305,11880.901,404.01,9.35,38400,38400,9.0625,10.381250000000001,0.314375,0.102274600296687,0.0,0.0,0.675000011920929,4.999999873689376e-05,0.06602752,-0.0569183,0.11282536,0.5570688,0.014993301,0.7524479,0.0
-20.0,-21.0,-20.9375,1026.21875,8,8,43200,False,32,9,99c060ae79fb4ee2b1738349d8bbad46,2021-04-19_10-26-20,1618820780,12.034161567687988,127.65243697166443,31926,volta1,147.96.21.176,127.65243697166443,0,9,"[-21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1004, 1056, 1119, 1022, 1013, 1127, 1032, 1089, 1016, 1022, 1024, 1009, 1022, 1023, 1017, 1008, 1017, 1011, 987, 1017, 1024, 1008, 1025, 1013, 1002, 1007, 1014, 1024, 1020, 1017, 1026, 1024]",2131.567,2251.865,206.905,23199.003,11627.988,412.797,9.178,43200,43200,9.246666666666668,10.380000000000003,0.318,0.102274600296687,0.0,0.0,0.675000011920929,4.999999873689376e-05,0.048351705,-0.06563215,0.10139616,0.7032303,0.018648429,0.7584322,0.0
-20.0,-21.0,-20.9375,1026.21875,0,8,48000,False,32,10,99c060ae79fb4ee2b1738349d8bbad46,2021-04-19_10-26-32,1618820792,11.93878984451294,139.59122681617737,31926,volta1,147.96.21.176,139.59122681617737,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0]","[1016, 1022, 1024, 1009, 1022, 1023, 1017, 1008, 1017, 1011, 987, 1017, 1024, 1008, 1025, 1013, 1002, 1007, 1014, 1024, 1020, 1017, 1026, 1024, 1004, 1056, 1119, 1022, 1013, 1127, 1032, 1089]",2123.754,2260.148,199.219,24094.089,11420.918,420.281,9.249,48000,48000,9.273333333333333,10.380000000000003,0.31266666666666665,0.102274600296687,0.0,0.0,0.675000011920929,4.999999873689376e-05,0.09935973,-0.059935473,0.14880148,0.52559435,0.015546269,0.75257045,0.0
