episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-21.0,-21.0,-21.0,1024.0,1,2,4000,False,1,1,1ca45dad4e534daf9f40e712c92e0ff7,2021-04-21_19-26-35,1619025995,20.844792127609253,20.844792127609253,40813,volta1,147.96.21.176,20.844792127609253,0,1,[-21.0],[1024],1.3151083035447608,0.1613313349886336,3.8116433392876927,0.08046942791421673,10965.016,364.797,681.422,5870.076,8968.14,446.023,6.782,4000,4000,4.52962962962963,9.52222222222222,0.0,4.120652711389485e-05,0.3418518518518518,0.12998735431832942,0.20000000298023224,4.999999873689376e-05,3.2716043,-0.012909806,3.2807264,0.4891423,0.018936925,0.35340086,0.0
-21.0,-21.0,-21.0,1019.0,5,2,8000,False,6,2,1ca45dad4e534daf9f40e712c92e0ff7,2021-04-21_19-26-55,1619026015,19.425508499145508,40.27030062675476,40813,volta1,147.96.21.176,40.27030062675476,0,2,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1013, 1010, 1026, 1016, 1025, 1024]",1.2958943226688617,0.16221761690914133,3.6392406157678896,0.07854145692065412,10836.005,369.14,396.824,10080.048,8697.487,459.903,7.013,8000,8000,4.584,9.728,0.0,4.120652711389484e-05,0.35839999999999994,0.14398646570286067,0.20000000298023224,4.999999873689376e-05,0.9136515,-0.025243303,0.93194664,0.5469971,0.03474095,0.48123652,0.0
-21.0,-21.0,-21.0,1017.8888888888889,3,2,12000,False,9,3,1ca45dad4e534daf9f40e712c92e0ff7,2021-04-21_19-27-15,1619026035,19.421435356140137,59.6917359828949,40813,volta1,147.96.21.176,59.6917359828949,0,3,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1002, 1021, 1024, 1024, 1013, 1010, 1026, 1016, 1025]",1.2961671010654925,0.16037550391289043,3.6445226816984047,0.07858929282394563,10784.706,370.896,301.998,13245.125,8610.677,464.54,7.231,12000,12000,4.7,9.728,0.0,4.120652711389484e-05,0.352,0.14398646570286067,0.30000001192092896,4.999999873689376e-05,0.14394009,-0.02572196,0.16330737,0.5944478,0.021182252,0.4670372,0.0
-21.0,-21.0,-21.0,1018.1538461538462,4,2,16000,False,13,4,1ca45dad4e534daf9f40e712c92e0ff7,2021-04-21_19-27-34,1619026054,19.349557161331177,79.04129314422607,40813,volta1,147.96.21.176,79.04129314422607,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1008, 1018, 1023, 1026, 1024, 1013, 1010, 1026, 1016, 1025, 1002, 1021, 1024]",1.293764102070226,0.15895974866594195,3.630144443655084,0.07843044145722469,10738.644,372.487,255.638,15647.122,8564.198,467.061,8.062,16000,16000,4.696,9.736,0.0,4.120652711389484e-05,0.3712,0.14398646570286067,0.44999998807907104,4.999999873689376e-05,0.041490305,-0.023557715,0.05933906,0.7169712,0.012686574,0.45969492,0.0
-21.0,-21.0,-21.0,1019.4705882352941,4,2,20000,False,17,5,1ca45dad4e534daf9f40e712c92e0ff7,2021-04-21_19-27-54,1619026074,19.36387872695923,98.4051718711853,40813,volta1,147.96.21.176,98.4051718711853,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1023, 1015, 1034, 1023, 1024, 1013, 1010, 1026, 1016, 1025, 1002, 1021, 1024, 1008, 1018, 1023, 1026]",1.2924588884944241,0.15794343923253978,3.6211838611133214,0.07838393426503473,10716.162,373.268,227.245,17602.144,8538.33,468.476,8.623,20000,20000,4.648,9.736,0.0,4.120652711389484e-05,0.3752000000000001,0.14398646570286067,0.44999998807907104,4.999999873689376e-05,0.012061578,-0.02591043,0.032902252,0.8481839,0.011266115,0.50306123,0.0
-21.0,-21.0,-21.0,1017.4090909090909,5,2,24000,False,22,6,1ca45dad4e534daf9f40e712c92e0ff7,2021-04-21_19-28-14,1619026094,19.49285650253296,117.89802837371826,40813,volta1,147.96.21.176,117.89802837371826,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1021, 1006, 1002, 1024, 999, 1024, 1013, 1010, 1026, 1016, 1025, 1002, 1021, 1024, 1008, 1018, 1023, 1026, 1023, 1015, 1034, 1023]",1.2908997482916449,0.15785446481383109,3.60744923183691,0.07843727257106164,10726.227,372.918,208.556,19179.536,8519.092,469.534,8.461,24000,24000,4.628,9.736,0.0,4.120652711389484e-05,0.37439999999999996,0.14398646570286067,0.44999998807907104,4.999999873689376e-05,0.008747186,-0.03083245,0.033296697,0.87723464,0.013962086,0.56925875,0.0
-21.0,-21.0,-21.0,1016.8461538461538,4,2,28000,False,26,7,1ca45dad4e534daf9f40e712c92e0ff7,2021-04-21_19-28-33,1619026113,19.40807843208313,137.3061068058014,40813,volta1,147.96.21.176,137.3061068058014,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1014, 1007, 1018, 1024, 1013, 1010, 1026, 1016, 1025, 1002, 1021, 1024, 1008, 1018, 1023, 1026, 1023, 1015, 1034, 1023, 1021, 1006, 1002, 1024, 999]",1.2903225909331726,0.15758133608443436,3.6037387667701632,0.0785220669854229,10719.593,373.149,195.4,20470.872,8507.173,470.191,8.237,28000,28000,4.66,9.736,0.0,4.120652711389484e-05,0.36920000000000003,0.14398646570286067,0.44999998807907104,4.999999873689376e-05,0.00086288265,-0.045032218,0.029685311,0.8820249,0.036021776,0.655269,0.0
-21.0,-21.0,-21.0,1017.1333333333333,4,2,32000,False,30,8,1ca45dad4e534daf9f40e712c92e0ff7,2021-04-21_19-28-53,1619026133,19.414652585983276,156.72075939178467,40813,volta1,147.96.21.176,156.72075939178467,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1005, 1021, 1030, 1020, 1024, 1013, 1010, 1026, 1016, 1025, 1002, 1021, 1024, 1008, 1018, 1023, 1026, 1023, 1015, 1034, 1023, 1021, 1006, 1002, 1024, 999, 1016, 1014, 1007, 1018]",1.2899737879218498,0.1572496869727703,3.6007172356303925,0.07854445992561773,10715.432,373.293,185.374,21577.965,8496.251,470.796,8.173,32000,32000,4.628,9.736,0.0,4.120652711389484e-05,0.37560000000000004,0.14398646570286067,0.675000011920929,4.999999873689376e-05,-0.0064476533,-0.037172504,0.023739226,0.8992481,0.01034907,0.65268534,0.0
-21.0,-21.0,-21.0,1017.8484848484849,3,2,36000,False,33,9,1ca45dad4e534daf9f40e712c92e0ff7,2021-04-21_19-29-13,1619026153,19.395727157592773,176.11648654937744,40813,volta1,147.96.21.176,176.11648654937744,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1017, 1027, 1031, 1024, 1013, 1010, 1026, 1016, 1025, 1002, 1021, 1024, 1008, 1018, 1023, 1026, 1023, 1015, 1034, 1023, 1021, 1006, 1002, 1024, 999, 1016, 1014, 1007, 1018, 1005, 1021, 1030, 1020]",1.2893901157023993,0.15703553469467782,3.594650869601353,0.07852920607403582,10704.001,373.692,180.942,22106.579,8488.165,471.244,7.974,36000,36000,4.628,9.74,0.0,4.120652711389484e-05,0.35080000000000006,0.14398646570286067,0.675000011920929,4.999999873689376e-05,-0.015491859,-0.04954883,0.027625432,0.8859458,0.009528193,0.63408244,0.0
-21.0,-21.0,-21.0,1019.918918918919,4,2,40000,False,37,10,1ca45dad4e534daf9f40e712c92e0ff7,2021-04-21_19-29-32,1619026172,19.34403896331787,195.4605255126953,40813,volta1,147.96.21.176,195.4605255126953,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1029, 1103, 1014, 1002, 1024, 1013, 1010, 1026, 1016, 1025, 1002, 1021, 1024, 1008, 1018, 1023, 1026, 1023, 1015, 1034, 1023, 1021, 1006, 1002, 1024, 999, 1016, 1014, 1007, 1018, 1005, 1021, 1030, 1020, 1017, 1027, 1031]",1.2890737880938272,0.15666405255629745,3.5926407748147677,0.07854524873075627,10693.561,374.057,174.203,22961.725,8483.489,471.504,7.95,40000,40000,4.675,9.733333333333333,0.0,4.120652711389484e-05,0.36333333333333334,0.14398646570286067,0.675000011920929,4.999999873689376e-05,-0.023111144,-0.04719803,0.01570383,0.9394611,0.012419347,0.65427005,0.0
