episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4800,False,0,1,70e16caa50484d87926601dddf4c40ae,2021-04-18_23-57-51,1618783071,17.169722080230713,17.169722080230713,33231,volta1,147.96.21.176,17.169722080230713,0,1,[],[],5831.434,823.125,801.066,5992.016,10250.514,468.269,6.857,4800,4800,9.369565217391303,23.85217391304348,0.0,4.120652711389485e-05,0.4969565217391304,0.37425675043130546,0.20000000298023224,4.999999873689376e-05,6.296304,-0.00031113706,6.296616,0.56611145,1.8992196e-08,3.0613154e-07,0.0
nan,nan,nan,nan,0,8,9600,False,0,2,70e16caa50484d87926601dddf4c40ae,2021-04-18_23-58-07,1618783087,15.727423429489136,32.89714550971985,33231,volta1,147.96.21.176,32.89714550971985,0,2,[],[],5724.363,838.521,466.439,10290.727,10008.304,479.602,7.397,9600,9600,9.425,24.154999999999994,0.0,4.120652711389485e-05,0.553,0.38452783758843434,0.10000000149011612,4.999999873689376e-05,2.373275,0.00037091362,2.3729043,0.40756488,4.2211403e-09,2.6618602e-07,0.0
nan,nan,nan,nan,0,8,14400,False,0,3,70e16caa50484d87926601dddf4c40ae,2021-04-18_23-58-23,1618783103,15.677164077758789,48.57430958747864,33231,volta1,147.96.21.176,48.57430958747864,0,3,[],[],5672.281,846.22,352.835,13604.08,9914.941,484.118,7.527,14400,14400,9.242857142857142,24.161904761904758,0.0,4.120652711389485e-05,0.5333333333333333,0.38452783758843434,0.05000000074505806,4.999999873689376e-05,0.53657067,0.0008489655,0.5344024,0.51524025,0.026387304,0.0199701,0.0
-21.0,-21.0,-21.0,1019.75,8,8,19200,False,8,4,70e16caa50484d87926601dddf4c40ae,2021-04-18_23-58-39,1618783119,15.666700839996338,64.24101042747498,33231,volta1,147.96.21.176,64.24101042747498,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1011, 1016, 1031, 1026, 1023, 1006, 1029, 1016]",5649.911,849.571,297.633,16127.264,9876.911,485.982,7.256,19200,19200,9.29,24.165,0.0,4.120652711389485e-05,0.5770000000000001,0.38452783758843434,0.07500000298023224,4.999999873689376e-05,0.1356338,0.001805896,0.13382791,0.6619758,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.2,2,8,24000,False,10,5,70e16caa50484d87926601dddf4c40ae,2021-04-18_23-58-55,1618783135,15.64296555519104,79.88397598266602,33231,volta1,147.96.21.176,79.88397598266602,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1008, 1011, 1016, 1031, 1026, 1023, 1006, 1029, 1016]",5633.431,852.056,262.52,18284.303,9842.847,487.664,7.435,24000,24000,9.347619047619048,24.161904761904758,0.0,4.120652711389485e-05,0.5414285714285714,0.38452783758843434,0.03750000149011612,4.999999873689376e-05,0.057178892,0.0017036719,0.055475216,0.82468873,0.0,0.0,0.0
-21.0,-21.0,-21.0,1019.3125,6,8,28800,False,16,6,70e16caa50484d87926601dddf4c40ae,2021-04-18_23-59-11,1618783151,15.677275896072388,95.5612518787384,33231,volta1,147.96.21.176,95.5612518787384,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1025, 1023, 1026, 1025, 1012, 1011, 1016, 1031, 1026, 1023, 1006, 1029, 1016, 1016, 1008]",5624.757,853.37,239.425,20048.063,9830.132,488.295,7.491,28800,28800,9.349999999999998,24.165,0.0,4.120652711389485e-05,0.5780000000000001,0.38452783758843434,0.01875000074505806,4.999999873689376e-05,0.036737904,0.0013408873,0.035397016,0.8362041,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.5833333333334,8,8,33600,False,24,7,70e16caa50484d87926601dddf4c40ae,2021-04-18_23-59-27,1618783167,15.774658918380737,111.33591079711914,33231,volta1,147.96.21.176,111.33591079711914,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1030, 1020, 1009, 1016, 1008, 1013, 1027, 1014, 1011, 1016, 1031, 1026, 1023, 1006, 1029, 1016, 1016, 1008, 1016, 1025, 1023, 1026, 1025, 1012]",5626.742,853.069,227.21,21125.868,9817.125,488.942,7.646,33600,33600,9.171428571428569,24.161904761904758,0.0,4.120652711389485e-05,0.5423809523809524,0.38452783758843434,0.00937500037252903,4.999999873689376e-05,0.03244311,-0.0020022988,0.034445412,0.9022074,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.5833333333334,0,8,38400,False,24,8,70e16caa50484d87926601dddf4c40ae,2021-04-18_23-59-43,1618783183,15.658576488494873,126.99448728561401,33231,volta1,147.96.21.176,126.99448728561401,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1011, 1016, 1031, 1026, 1023, 1006, 1029, 1016, 1016, 1008, 1016, 1025, 1023, 1026, 1025, 1012, 1030, 1020, 1009, 1016, 1008, 1013, 1027, 1014]",5621.815,853.817,214.601,22367.121,9808.182,489.387,7.765,38400,38400,9.309999999999999,24.179999999999996,0.0,4.120652711389485e-05,0.5650000000000001,0.38452783758843434,0.004687500186264515,4.999999873689376e-05,0.015245718,0.00090342,0.0143423015,0.885055,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.65625,8,8,43200,False,32,9,70e16caa50484d87926601dddf4c40ae,2021-04-18_23-59-59,1618783199,15.68928575515747,142.68377304077148,33231,volta1,147.96.21.176,142.68377304077148,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1014, 1030, 1018, 1013, 1019, 1023, 1013, 1021, 1011, 1016, 1031, 1026, 1023, 1006, 1029, 1016, 1016, 1008, 1016, 1025, 1023, 1026, 1025, 1012, 1030, 1020, 1009, 1016, 1008, 1013, 1027, 1014]",5618.974,854.249,204.122,23515.304,9799.133,489.839,7.903,43200,43200,9.209523809523809,24.17619047619047,0.0,4.120652711389485e-05,0.533809523809524,0.38452783758843434,0.0023437500931322575,4.999999873689376e-05,0.013897732,-0.0010082388,0.0149059715,0.9493961,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.2571428571429,3,8,48000,False,35,10,70e16caa50484d87926601dddf4c40ae,2021-04-19_00-00-15,1618783215,15.722920417785645,158.40669345855713,33231,volta1,147.96.21.176,158.40669345855713,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1005, 1014, 1023, 1011, 1016, 1031, 1026, 1023, 1006, 1029, 1016, 1016, 1008, 1016, 1025, 1023, 1026, 1025, 1012, 1030, 1020, 1009, 1016, 1008, 1013, 1027, 1014, 1014, 1030, 1018, 1013, 1019, 1023, 1013, 1021]",5617.46,854.479,196.943,24372.552,9797.637,489.914,7.836,48000,48000,9.41,24.174999999999997,0.0,4.120652711389485e-05,0.554,0.38452783758843434,0.0011718750465661287,4.999999873689376e-05,0.015434929,0.00057993195,0.014854998,0.945439,0.0,0.0,0.0
