episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1
nan,nan,nan,nan,0,8,4800,False,0,1,b0863a9dfdc64c19b86835f90460d251,2021-04-11_17-45-32,1618155932,520.1643057,520.1643057,2704,volta1,147.96.21.176,520.1643057,0,1,[],[],2193.537,2188.247,775.707,6187.901,516991.774,9.284,11.953,4800,4800,9.004716981,7.707277628,0.200000003,5.00E-05,5.551456,0.007561454,5.5339675,0.67258126,0.0496403,0.72086966,0,0,0,0,0
nan,nan,nan,nan,0,8,9600,False,0,2,b0863a9dfdc64c19b86835f90460d251,2021-04-11_17-54-12,1618156452,519.2532547,1039.41756,2704,volta1,147.96.21.176,1039.41756,0,2,[],[],2150.474,2232.066,456.374,10517.691,516919.758,9.286,11.933,9600,9600,8.526280323,7.893800539,0.300000012,5.00E-05,5.8321576,-0.023144072,5.849321,0.37445152,0.019936245,0.8182646,0,0,0,0,0
nan,nan,nan,nan,0,8,14400,False,0,3,b0863a9dfdc64c19b86835f90460d251,2021-04-11_18-02-51,1618156971,518.2273984,1557.644959,2704,volta1,147.96.21.176,1557.644959,0,3,[],[],2124.923,2258.905,347.389,13817.38,516568.222,9.292,11.15,14400,14400,8.471989175,7.892828146,0.300000012,5.00E-05,0.787165,-0.014834267,0.79675543,0.5437994,0.017479617,0.82406193,0,0,0,0,0
-21,-21,-21,1023.375,8,8,19200,False,8,4,b0863a9dfdc64c19b86835f90460d251,2021-04-11_18-11-30,1618157490,518.2867424,2075.931701,2704,volta1,147.96.21.176,2075.931701,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1019, 1018, 1019, 1006, 1029, 1033, 1037, 1026]",2131.166,2252.288,295.964,16218.195,516382.941,9.295,11.181,19200,19200,8.847432432,9.904324324,0.300000012,5.00E-05,0.32837257,-0.028420983,0.3491918,0.40933853,0.025338951,0.87037027,0,0,0,0,0
-21,-21,-21,1021.727273,3,8,24000,False,11,5,b0863a9dfdc64c19b86835f90460d251,2021-04-11_18-20-10,1618158010,519.4639604,2595.395662,2704,volta1,147.96.21.176,2595.395662,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1019, 1013, 1020, 1019, 1018, 1019, 1006, 1029, 1033, 1037, 1026]",2119.247,2264.955,262.724,18270.126,516526.879,9.293,11.21,24000,24000,8.608760108,8.637735849,0.449999988,5.00E-05,0.06138163,-0.022851128,0.07755502,0.6303068,0.014839402,0.79986125,0,0,0,0,0
-21,-21,-21,1027.5,5,8,28800,False,16,6,b0863a9dfdc64c19b86835f90460d251,2021-04-11_18-28-59,1618158539,528.9815533,3124.377215,2704,volta1,147.96.21.176,3124.377215,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1003, 1025, 1116, 1036, 1021, 1019, 1018, 1019, 1006, 1029, 1033, 1037, 1026, 1019, 1013, 1020]",2110.937,2273.872,238.61,20116.502,518210.621,9.263,10.968,28800,28800,15.77095491,7.89204244,0.449999988,5.00E-05,0.02426612,-0.044290386,0.060721822,0.70078003,0.01741043,0.8309178,0,0,0,0,0
-21,-21,-21,1024.083333,8,8,33600,False,24,7,b0863a9dfdc64c19b86835f90460d251,2021-04-11_18-37-43,1618159063,524.1410675,3648.518282,2704,volta1,147.96.21.176,3648.518282,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1014, 1019, 1021, 1019, 1021, 1012, 1022, 1010, 1019, 1018, 1019, 1006, 1029, 1033, 1037, 1026, 1019, 1013, 1020, 1003, 1025, 1116, 1036, 1021]",2112.621,2272.059,226.851,21159.268,518709.111,9.254,11.124,33600,33600,12.54812834,7.899064171,0.449999988,5.00E-05,0.007535881,-0.04127596,0.03935486,0.88428044,0.021015523,0.8666979,0,0,0,0,0
-21,-21,-21,1024.083333,0,8,38400,False,24,8,b0863a9dfdc64c19b86835f90460d251,2021-04-11_18-46-23,1618159583,519.0035903,4167.521873,2704,volta1,147.96.21.176,4167.521873,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1019, 1018, 1019, 1006, 1029, 1033, 1037, 1026, 1019, 1013, 1020, 1003, 1025, 1116, 1036, 1021, 1014, 1019, 1021, 1019, 1021, 1012, 1022, 1010]",2102.838,2282.629,215.713,22251.786,518454.284,9.258,11.229,38400,38400,8.483265857,7.895816464,0.675000012,5.00E-05,0.026104609,-0.02938464,0.047368463,0.64901984,0.012030801,0.7624834,0,0,0,0,0
-21,-21,-21,1025.0625,8,8,43200,False,32,9,b0863a9dfdc64c19b86835f90460d251,2021-04-11_18-55-02,1618160102,518.6748552,4686.196728,2704,volta1,147.96.21.176,4686.196728,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1107, 1000, 1012, 1013, 1022, 1020, 1016, 1034, 1019, 1018, 1019, 1006, 1029, 1033, 1037, 1026, 1019, 1013, 1020, 1003, 1025, 1116, 1036, 1021, 1014, 1019, 1021, 1019, 1021, 1012, 1022, 1010]",2100.322,2285.364,205.935,23308.373,518215.898,9.263,11.04,43200,43200,8.47462888,7.892712551,0.675000012,5.00E-05,-0.002631095,-0.04787116,0.03703333,0.8281101,0.012158133,0.7539663,0,0,0,0,0
-21,-21,-21,1025.0625,0,8,48000,False,32,10,b0863a9dfdc64c19b86835f90460d251,2021-04-11_19-03-42,1618160622,519.3482258,5205.544954,2704,volta1,147.96.21.176,5205.544954,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1019, 1018, 1019, 1006, 1029, 1033, 1037, 1026, 1019, 1013, 1020, 1003, 1025, 1116, 1036, 1021, 1014, 1019, 1021, 1019, 1021, 1012, 1022, 1010, 1107, 1000, 1012, 1013, 1022, 1020, 1016, 1034]",2093.895,2292.379,197.414,24314.324,518097.08,9.265,11.003,48000,48000,8.565721997,7.898110661,0.675000012,5.00E-05,-0.018979538,-0.041667014,0.01238259,0.9332487,0.015266499,0.8212851,0,0,0,0,0
