episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,16,6400,False,0,1,3619e9345d6e4604a500ae22a7a245ca,2021-04-19_09-35-52,1618817752,76.36090874671936,76.36090874671936,5527,volta1,147.96.21.176,76.36090874671936,0,1,[],[],8295.769,771.478,9026.59,709.016,58755.717,108.926,10.891,6400,6400,7.4195652173913045,57.79239130434783,0.23206521739130437,0.7078923040540057,0.04934782608695652,0.36188864964626255,0.20000000298023224,4.999999873689376e-05,0.5539143,1.7106532e-07,0.5539139,0.6162023,1.915711e-06,9.101568e-15,0.0
nan,nan,nan,nan,0,16,12800,False,0,2,3619e9345d6e4604a500ae22a7a245ca,2021-04-19_09-36-36,1618817796,43.15435862541199,119.51526737213135,5527,volta1,147.96.21.176,119.51526737213135,0,2,[],[],7479.689,855.651,5388.784,1187.652,46631.151,137.247,11.484,12800,12800,7.945283018867924,60.12264150943398,0.3950943396226416,0.7179825284325035,0.09,0.36188864964626277,0.10000000149011612,4.999999873689376e-05,0.18532401,-2.9802322e-10,0.18532401,0.6860495,-1.9900581e-16,2.7022596e-14,0.0
nan,nan,nan,nan,0,16,19200,False,0,3,3619e9345d6e4604a500ae22a7a245ca,2021-04-19_09-37-19,1618817839,43.31738781929016,162.8326551914215,5527,volta1,147.96.21.176,162.8326551914215,0,3,[],[],7241.44,883.802,4191.247,1526.992,42595.57,150.25,11.127,19200,19200,8.049999999999999,60.132692307692324,0.4278846153846153,0.7179825284325035,0.08826923076923077,0.36188864964626277,0.05000000074505806,4.999999873689376e-05,0.0434038,6.8545343e-09,0.043403797,0.8117247,2.392407e-19,2.7941027e-14,0.0
nan,nan,nan,nan,0,16,25600,False,0,4,3619e9345d6e4604a500ae22a7a245ca,2021-04-19_09-38-03,1618817883,43.12240433692932,205.95505952835083,5527,volta1,147.96.21.176,205.95505952835083,0,4,[],[],7085.406,903.265,3585.603,1784.916,40572.479,157.742,10.945,25600,25600,8.01153846153846,60.148076923076935,0.4084615384615385,0.7179825284325035,0.08673076923076922,0.36188864964626277,0.02500000037252903,4.999999873689376e-05,0.026129337,2.9429794e-08,0.026129307,0.7901113,2.8210416e-19,3.0537937e-14,0.0
-21.0,-21.0,-21.0,1011.0,10,16,32000,False,10,5,3619e9345d6e4604a500ae22a7a245ca,2021-04-19_09-38-46,1618817926,42.825340032577515,248.78039956092834,5527,volta1,147.96.21.176,248.78039956092834,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1030, 996, 1014, 1018, 1023, 1009, 1012, 1015, 1005, 988]",7017.67,911.984,3219.621,1987.812,39263.351,163.002,10.681,32000,32000,8.024999999999999,60.153846153846175,0.4286538461538462,0.7179825284325035,0.09250000000000001,0.36188864964626277,0.012500000186264515,4.999999873689376e-05,0.036783885,-9.23872e-09,0.036783885,0.8435471,2.1103564e-19,2.8064509e-14,0.0
-21.0,-21.0,-21.0,1014.4375,6,16,38400,False,16,6,3619e9345d6e4604a500ae22a7a245ca,2021-04-19_09-39-29,1618817969,43.4382700920105,292.21866965293884,5527,volta1,147.96.21.176,292.21866965293884,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1013, 1016, 1018, 1034, 1023, 1017, 1030, 996, 1014, 1018, 1023, 1009, 1012, 1015, 1005, 988]",6963.32,919.102,2992.487,2138.689,38495.223,166.254,10.674,38400,38400,7.828846153846153,60.20000000000001,0.42307692307692313,0.7179825284325035,0.09153846153846154,0.36188864964626277,0.0062500000931322575,4.999999873689376e-05,0.013994315,-2.1383165e-08,0.013994336,0.8925193,3.2066243e-19,3.196724e-14,0.0
-21.0,-21.0,-21.0,1014.4375,0,16,44800,False,16,7,3619e9345d6e4604a500ae22a7a245ca,2021-04-19_09-40-13,1618818013,43.3668749332428,335.58554458618164,5527,volta1,147.96.21.176,335.58554458618164,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1030, 996, 1014, 1018, 1023, 1009, 1012, 1015, 1005, 988, 1013, 1016, 1018, 1034, 1023, 1017]",6932.12,923.238,2815.861,2272.84,37937.441,168.699,10.873,44800,44800,7.821153846153845,60.167307692307695,0.41346153846153844,0.7179825284325035,0.08499999999999999,0.36188864964626277,0.0031250000465661287,4.999999873689376e-05,0.012941,-1.9967556e-08,0.012941021,0.8705156,2.4420354e-19,2.6865391e-14,0.0
-21.0,-21.0,-21.0,1016.21875,16,16,51200,False,32,8,3619e9345d6e4604a500ae22a7a245ca,2021-04-19_09-40-57,1618818057,43.329269886016846,378.9148144721985,5527,volta1,147.96.21.176,378.9148144721985,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1013, 1033, 1027, 1000, 1023, 1005, 1014, 1023, 1018, 1021, 1023, 1010, 1029, 1016, 1020, 1013, 1030, 996, 1014, 1018, 1023, 1009, 1012, 1015, 1005, 988, 1013, 1016, 1018, 1034, 1023, 1017]",6906.681,926.639,2686.241,2382.511,37513.206,170.607,10.979,51200,51200,7.871153846153846,60.19423076923078,0.4038461538461538,0.7179825284325035,0.08634615384615385,0.36188864964626277,0.0015625000232830644,4.999999873689376e-05,0.0054216315,4.4107438e-08,0.0054215877,0.98057294,2.4411018e-19,2.8374828e-14,0.0
-21.0,-21.0,-21.0,1016.21875,0,16,57600,False,32,9,3619e9345d6e4604a500ae22a7a245ca,2021-04-19_09-41-40,1618818100,43.47720122337341,422.3920156955719,5527,volta1,147.96.21.176,422.3920156955719,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1030, 996, 1014, 1018, 1023, 1009, 1012, 1015, 1005, 988, 1013, 1016, 1018, 1034, 1023, 1017, 1013, 1033, 1027, 1000, 1023, 1005, 1014, 1023, 1018, 1021, 1023, 1010, 1029, 1016, 1020, 1013]",6905.534,926.793,2581.415,2479.26,37189.145,172.093,11.01,57600,57600,7.853846153846154,60.228846153846156,0.4082692307692307,0.7179825284325035,0.08884615384615385,0.36188864964626277,0.0007812500116415322,4.999999873689376e-05,0.010448366,6.7055224e-09,0.010448361,0.89119333,2.7896524e-19,3.0341455e-14,0.0
-21.0,-21.0,-21.0,1017.5714285714286,10,16,64000,False,42,10,3619e9345d6e4604a500ae22a7a245ca,2021-04-19_09-42-24,1618818144,43.35406041145325,465.74607610702515,5527,volta1,147.96.21.176,465.74607610702515,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1031, 1029, 1020, 1013, 1024, 1003, 1022, 1029, 1021, 1027, 1030, 996, 1014, 1018, 1023, 1009, 1012, 1015, 1005, 988, 1013, 1016, 1018, 1034, 1023, 1017, 1013, 1033, 1027, 1000, 1023, 1005, 1014, 1023, 1018, 1021, 1023, 1010, 1029, 1016, 1020, 1013]",6888.823,929.041,2500.121,2559.876,36931.207,173.295,10.9,64000,64000,7.857692307692308,60.22115384615385,0.4138461538461539,0.7179825284325035,0.0773076923076923,0.36188864964626277,0.0003906250058207661,4.999999873689376e-05,0.0399144,2.0861625e-08,0.03991438,0.8208359,2.3791289e-19,2.7970885e-14,0.0
