episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,2,4000,False,0,1,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-18-41,1619029121,65.65993404388428,65.65993404388428,15818,volta1,147.96.21.176,65.65993404388428,0,1,[],[],15093.047,265.023,5741.112,696.729,44556.058,89.775,6.931,4000,4000,3.7085365853658545,14.247560975609755,0.1473170731707317,0.1785820532508935,0.017317073170731705,0.05758228237465396,0.20000000298023224,4.999999873689376e-05,15.581002,-0.023632806,15.599731,0.38094628,0.024515416,0.62437135,0.0
-21.0,-21.0,-21.0,1023.25,4,2,8000,False,4,2,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-19-17,1619029157,36.43357563018799,102.09350967407227,15818,volta1,147.96.21.176,102.09350967407227,0,2,"[-21.0, -21.0, -21.0, -21.0]","[1009, 1029, 1029, 1026]",14240.817,280.883,3434.468,1164.664,33089.285,120.885,6.947,8000,8000,4.070454545454545,15.597727272727267,0.2879545454545455,0.1924756881490028,0.029545454545454545,0.057582282374653945,0.30000001192092896,4.999999873689376e-05,3.9620423,-0.028013993,3.9857569,0.527849,0.014333727,0.672056,0.0
-21.0,-21.0,-21.0,1019.0,4,2,12000,False,8,3,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-19-54,1619029194,36.514350175857544,138.6078598499298,15818,volta1,147.96.21.176,138.6078598499298,0,3,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1024, 1009, 1010, 1016, 1009, 1029, 1029, 1026]",13938.062,286.984,2690.875,1486.505,29289.146,136.569,6.532,12000,12000,4.064444444444444,15.608888888888881,0.2768888888888889,0.1924756881490028,0.03377777777777778,0.057582282374653945,0.30000001192092896,4.999999873689376e-05,1.6309922,-0.04162905,1.6666647,0.54210407,0.01985477,0.69614834,0.0
-21.0,-21.0,-21.0,1022.5833333333334,4,2,16000,False,12,4,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-20-31,1619029231,36.612324476242065,175.22018432617188,15818,volta1,147.96.21.176,175.22018432617188,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1027, 1022, 1035, 1035, 1009, 1029, 1029, 1026, 1024, 1009, 1010, 1016]",13815.525,289.529,2318.992,1724.887,27387.392,146.053,6.218,16000,16000,4.033333333333332,15.617777777777771,0.27466666666666667,0.1924756881490028,0.034888888888888886,0.057582282374653945,0.30000001192092896,4.999999873689376e-05,0.6161555,-0.06632514,0.6733948,0.5801984,0.030286536,0.6948462,0.0
-21.0,-21.0,-21.0,1023.5625,4,2,20000,False,16,5,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-21-08,1619029268,36.70748996734619,211.92767429351807,15818,volta1,147.96.21.176,211.92767429351807,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1034, 1032, 1014, 1026, 1009, 1029, 1029, 1026, 1024, 1009, 1010, 1016, 1027, 1022, 1035, 1035]",13754.9,290.805,2098.49,1906.132,26250.614,152.377,6.192,20000,20000,3.988888888888888,15.704444444444443,0.2688888888888889,0.1924756881490028,0.030000000000000002,0.057582282374653945,0.44999998807907104,4.999999873689376e-05,0.29414323,-0.059493855,0.34441513,0.52196944,0.020493278,0.6685985,0.0
-21.0,-21.0,-21.0,1023.7,4,2,24000,False,20,6,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-21-45,1619029305,36.60325312614441,248.53092741966248,15818,volta1,147.96.21.176,248.53092741966248,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1020, 1016, 1042, 1019, 1009, 1029, 1029, 1026, 1024, 1009, 1010, 1016, 1027, 1022, 1035, 1035, 1034, 1032, 1014, 1026]",13700.904,291.952,1950.117,2051.159,25487.965,156.937,6.133,24000,24000,4.035555555555556,15.704444444444443,0.2811111111111111,0.1924756881490028,0.03222222222222222,0.057582282374653945,0.675000011920929,4.999999873689376e-05,0.015190935,-0.060689688,0.06556736,0.78502655,0.015278897,0.61483765,0.0
-21.0,-21.0,-21.0,1021.2083333333334,4,2,28000,False,24,7,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-22-21,1619029341,36.60139799118042,285.1323254108429,15818,volta1,147.96.21.176,285.1323254108429,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1007, 1013, 1010, 1005, 1009, 1029, 1029, 1026, 1024, 1009, 1010, 1016, 1027, 1022, 1035, 1035, 1034, 1032, 1014, 1026, 1020, 1016, 1042, 1019]",13665.733,292.703,1842.45,2171.022,24942.596,160.368,6.015,28000,28000,4.04,15.71333333333333,0.284,0.1924756881490028,0.03244444444444444,0.057582282374653945,0.675000011920929,4.999999873689376e-05,-0.036633767,-0.07307985,0.025154157,0.89261484,0.016728772,0.6342066,0.0
-21.0,-21.0,-21.0,1020.3571428571429,4,2,32000,False,28,8,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-22-58,1619029378,36.56264662742615,321.69497203826904,15818,volta1,147.96.21.176,321.69497203826904,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1014, 1004, 1023, 1020, 1009, 1029, 1029, 1026, 1024, 1009, 1010, 1016, 1027, 1022, 1035, 1035, 1034, 1032, 1014, 1026, 1020, 1016, 1042, 1019, 1007, 1013, 1010, 1005]",13624.238,293.594,1764.08,2267.471,24540.507,162.996,5.927,32000,32000,4.004444444444444,15.717777777777775,0.27555555555555555,0.1924756881490028,0.03244444444444444,0.057582282374653945,0.675000011920929,4.999999873689376e-05,-0.040332068,-0.07168369,0.01953123,0.9117115,0.017511683,0.6381156,0.0
-21.0,-21.0,-21.0,1020.8125,4,2,36000,False,32,9,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-23-35,1619029415,36.55041265487671,358.24538469314575,15818,volta1,147.96.21.176,358.24538469314575,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1045, 1008, 1026, 1017, 1009, 1029, 1029, 1026, 1024, 1009, 1010, 1016, 1027, 1022, 1035, 1035, 1034, 1032, 1014, 1026, 1020, 1016, 1042, 1019, 1007, 1013, 1010, 1005, 1014, 1004, 1023, 1020]",13598.313,294.154,1701.038,2351.505,24221.549,165.142,5.904,36000,36000,4.002222222222222,15.71333333333333,0.2788888888888889,0.1924756881490028,0.030444444444444448,0.057582282374653945,0.675000011920929,4.999999873689376e-05,-0.0459524,-0.071484365,0.014030599,0.9330996,0.017039068,0.6363095,0.0
-21.0,-21.0,-21.0,1020.0,4,2,40000,False,36,10,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-24-12,1619029452,36.578474044799805,394.82385873794556,15818,volta1,147.96.21.176,394.82385873794556,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1013, 1018, 1004, 1019, 1009, 1029, 1029, 1026, 1024, 1009, 1010, 1016, 1027, 1022, 1035, 1035, 1034, 1032, 1014, 1026, 1020, 1016, 1042, 1019, 1007, 1013, 1010, 1005, 1014, 1004, 1023, 1020, 1045, 1008, 1026, 1017]",13571.59,294.733,1648.692,2426.166,23981.744,166.794,6.218,40000,40000,4.028888888888888,15.719999999999997,0.2837777777777778,0.1924756881490028,0.03222222222222222,0.057582282374653945,0.675000011920929,4.999999873689376e-05,-0.061364215,-0.08249486,0.0077785132,0.96197724,0.019780917,0.6168331,0.0
-21.0,-21.0,-21.0,1020.1,4,2,44000,False,40,11,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-24-48,1619029488,36.38009071350098,431.20394945144653,15818,volta1,147.96.21.176,431.20394945144653,0,11,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1013, 1029, 1024, 1018, 1009, 1029, 1029, 1026, 1024, 1009, 1010, 1016, 1027, 1022, 1035, 1035, 1034, 1032, 1014, 1026, 1020, 1016, 1042, 1019, 1007, 1013, 1010, 1005, 1014, 1004, 1023, 1020, 1045, 1008, 1026, 1017, 1013, 1018, 1004, 1019]",13386.498,298.809,1192.29,3354.889,21694.854,184.376,6.073,44000,44000,4.044444444444443,15.719999999999997,0.2793333333333333,0.1924756881490028,0.03577777777777778,0.057582282374653945,0.675000011920929,4.999999873689376e-05,-0.05442503,-0.0732628,0.0063936277,0.9730682,0.018435769,0.59096193,0.0
-21.0,-21.0,-21.0,1020.0,4,2,48000,False,44,12,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-25-25,1619029525,36.60446786880493,467.80841732025146,15818,volta1,147.96.21.176,467.80841732025146,0,12,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1015, 1037, 1004, 1020, 1009, 1029, 1029, 1026, 1024, 1009, 1010, 1016, 1027, 1022, 1035, 1035, 1034, 1032, 1014, 1026, 1020, 1016, 1042, 1019, 1007, 1013, 1010, 1005, 1014, 1004, 1023, 1020, 1045, 1008, 1026, 1017, 1013, 1018, 1004, 1019, 1013, 1029, 1024, 1018]",13386.793,298.802,1200.681,3331.443,21706.364,184.278,7.613,48000,48000,4.026666666666666,15.72444444444444,0.2773333333333333,0.1924756881490028,0.030888888888888893,0.057582282374653945,0.675000011920929,4.999999873689376e-05,-0.05922666,-0.0761993,0.0047734715,0.97716624,0.018072844,0.5902195,0.0
-21.0,-21.0,-21.0,1019.9166666666666,4,2,52000,False,48,13,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-26-02,1619029562,36.57193613052368,504.38035345077515,15818,volta1,147.96.21.176,504.38035345077515,0,13,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1020, 1024, 1021, 1011, 1009, 1029, 1029, 1026, 1024, 1009, 1010, 1016, 1027, 1022, 1035, 1035, 1034, 1032, 1014, 1026, 1020, 1016, 1042, 1019, 1007, 1013, 1010, 1005, 1014, 1004, 1023, 1020, 1045, 1008, 1026, 1017, 1013, 1018, 1004, 1019, 1013, 1029, 1024, 1018, 1015, 1037, 1004, 1020]",13389.756,298.736,1201.404,3329.438,21709.572,184.251,7.586,52000,52000,4.028888888888888,15.711111111111109,0.2742222222222222,0.1924756881490028,0.03244444444444444,0.057582282374653945,0.675000011920929,4.999999873689376e-05,-0.043195404,-0.07250411,0.018148007,0.92192197,0.016534368,0.5867203,0.0
-21.0,-21.0,-21.0,1019.4423076923077,4,2,56000,False,52,14,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-26-39,1619029599,36.61723780632019,540.9975912570953,15818,volta1,147.96.21.176,540.9975912570953,0,14,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1024, 1001, 1016, 1014, 1009, 1029, 1029, 1026, 1024, 1009, 1010, 1016, 1027, 1022, 1035, 1035, 1034, 1032, 1014, 1026, 1020, 1016, 1042, 1019, 1007, 1013, 1010, 1005, 1014, 1004, 1023, 1020, 1045, 1008, 1026, 1017, 1013, 1018, 1004, 1019, 1013, 1029, 1024, 1018, 1015, 1037, 1004, 1020, 1020, 1024, 1021, 1011]",13385.311,298.835,1201.293,3329.744,21719.446,184.167,7.96,56000,56000,4.053333333333332,15.717777777777775,0.2713333333333333,0.1924756881490028,0.034444444444444444,0.057582282374653945,0.675000011920929,4.999999873689376e-05,-0.06728298,-0.08800001,0.007210997,0.9662929,0.020008918,0.58040345,0.0
-21.0,-21.0,-21.0,1019.4285714285714,4,2,60000,False,56,15,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-27-15,1619029635,36.60693311691284,577.6045243740082,15818,volta1,147.96.21.176,577.6045243740082,0,15,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1019, 1014, 1028, 1009, 1029, 1029, 1026, 1024, 1009, 1010, 1016, 1027, 1022, 1035, 1035, 1034, 1032, 1014, 1026, 1020, 1016, 1042, 1019, 1007, 1013, 1010, 1005, 1014, 1004, 1023, 1020, 1045, 1008, 1026, 1017, 1013, 1018, 1004, 1019, 1013, 1029, 1024, 1018, 1015, 1037, 1004, 1020, 1020, 1024, 1021, 1011, 1024, 1001, 1016, 1014]",13368.536,299.21,1199.088,3335.868,21729.622,184.081,8.907,60000,60000,4.035555555555557,15.72222222222222,0.2813333333333333,0.1924756881490028,0.03288888888888889,0.057582282374653945,1.0125000476837158,4.999999873689376e-05,-0.04403281,-0.08058695,0.022373173,0.9083703,0.014005899,0.5963255,0.0
-21.0,-21.0,-21.0,1018.6666666666666,4,2,64000,False,60,16,7ee8a46d1ff34d56a2ba874d26328e86,2021-04-21_20-27-52,1619029672,36.713923931121826,614.31844830513,15818,volta1,147.96.21.176,614.31844830513,0,16,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1015, 1008, 1009, 1000, 1009, 1029, 1029, 1026, 1024, 1009, 1010, 1016, 1027, 1022, 1035, 1035, 1034, 1032, 1014, 1026, 1020, 1016, 1042, 1019, 1007, 1013, 1010, 1005, 1014, 1004, 1023, 1020, 1045, 1008, 1026, 1017, 1013, 1018, 1004, 1019, 1013, 1029, 1024, 1018, 1015, 1037, 1004, 1020, 1020, 1024, 1021, 1011, 1024, 1001, 1016, 1014, 1016, 1019, 1014, 1028]",13376.359,299.035,1198.701,3336.946,21733.964,184.044,8.868,64000,64000,4.055555555555555,15.706666666666663,0.28266666666666673,0.1924756881490028,0.03422222222222222,0.057582282374653945,1.0125000476837158,4.999999873689376e-05,-0.074461654,-0.09797973,0.0042172284,0.9793431,0.01906257,0.60716236,0.0
