episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-21.0,-21.0,-21.0,1003.0,1,2,4000,False,1,1,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-40-38,1619170838,54.966755390167236,54.966755390167236,31995,volta1,147.96.21.176,54.966755390167236,0,1,[-21.0],[1003],1.5995502471923828,0.4061794709944832,4.528684296767632,0.07776818473240187,14724.397,271.658,5765.235,693.814,34136.65,117.176,8.091,4000,4000,4.366666666666666,14.755072463768112,0.25202898550724645,0.2510014977676812,0.0,0.0,0.20000000298023224,4.999999873689376e-05,9.648641,-0.005410581,9.648296,0.289233,0.028769033,0.13323861,0.0
-21.0,-21.0,-21.0,1019.8333333333334,5,2,8000,False,6,2,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-41-07,1619170867,28.636688470840454,83.60344386100769,31995,volta1,147.96.21.176,83.60344386100769,0,2,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1017, 1025, 1026, 1018, 1030, 1003]",1.584945356290678,0.4231484778692342,4.155675483976885,0.07707813463430851,13760.025,290.697,3439.573,1162.935,24315.897,164.501,7.352,8000,8000,4.861111111111112,16.166666666666664,0.48250000000000004,0.2675127740234053,0.0,0.0,0.30000001192092896,4.999999873689376e-05,1.8630427,-0.0023740372,1.8650998,0.45479515,0.0010574621,0.03975033,0.0
-21.0,-21.0,-21.0,1017.0,4,2,12000,False,10,3,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-41-36,1619170896,28.587017059326172,112.19046092033386,31995,volta1,147.96.21.176,112.19046092033386,0,3,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1019, 1009, 1007, 1016, 1003, 1017, 1025, 1026, 1018, 1030]",1.5824875650120505,0.41901595114418144,4.069507521257199,0.07697306423660172,13373.285,299.104,2668.992,1498.693,21087.222,189.688,7.152,12000,12000,4.808333333333334,16.158333333333328,0.48250000000000004,0.2675127740234053,0.0,0.0,0.15000000596046448,4.999999873689376e-05,0.15491045,-0.082876444,0.21297885,0.66976154,0.16538708,0.34112328,0.0
-21.0,-21.0,-21.0,1019.0,4,2,16000,False,14,4,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-42-04,1619170924,28.463271856307983,140.65373277664185,31995,volta1,147.96.21.176,140.65373277664185,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1030, 1026, 1020, 1020, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016]",1.5805208675769944,0.41503991814252217,4.009718272916767,0.07688854010433097,13165.04,303.835,2287.888,1748.337,19452.768,205.626,6.992,16000,16000,4.841666666666667,16.158333333333328,0.4947222222222222,0.2675127740234053,0.0,0.0,0.22499999403953552,4.999999873689376e-05,0.0154190045,-0.06050212,0.053860474,0.82742894,0.09804729,0.4908145,0.0
-21.0,-21.0,-21.0,1018.625,2,2,20000,False,16,5,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-42-33,1619170953,28.891995191574097,169.54572796821594,31995,volta1,147.96.21.176,169.54572796821594,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1013, 1019, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020]",1.5796813481209204,0.41268816687413723,3.984681981709277,0.07684475114156414,13078.484,305.846,2052.444,1948.896,18515.284,216.038,6.926,20000,20000,4.802702702702703,16.175675675675674,0.48594594594594603,0.2675127740234053,0.0,0.0,0.3375000059604645,4.999999873689376e-05,0.057310544,-0.054369833,0.104998775,0.621311,0.019797347,0.46370265,0.0
-20.0,-21.0,-20.9,1032.45,4,2,24000,False,20,6,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-43-02,1619170982,28.42568588256836,197.9714138507843,31995,volta1,147.96.21.176,197.9714138507843,0,6,"[-21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1047, 1116, 1034, 1154, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019]",1.5782796601251017,0.40839102813958794,3.943912319801412,0.07677952415975364,12981.505,308.131,1890.931,2115.361,17860.623,223.956,6.942,24000,24000,4.88,16.25142857142857,0.5000000000000001,0.2675127740234053,0.0,0.0,0.3375000059604645,4.999999873689376e-05,0.036401078,-0.065605156,0.095147416,0.7715611,0.020322446,0.49241906,0.0
-20.0,-21.0,-20.875,1045.3333333333333,4,2,28000,False,24,7,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-43-31,1619171011,28.6143696308136,226.5857834815979,31995,volta1,147.96.21.176,226.5857834815979,0,7,"[-21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0]","[1093, 1108, 1192, 1046, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154]",1.57719128760779,0.4048360803279625,3.914038218602165,0.07672030734070522,12923.801,309.506,1781.303,2245.548,17404.074,229.831,6.814,28000,28000,4.824999999999999,16.233333333333334,0.49583333333333335,0.2675127740234053,0.0,0.0,0.5062500238418579,4.999999873689376e-05,0.00010150118,-0.06713472,0.05446532,0.776317,0.025226481,0.48940837,0.0
-20.0,-21.0,-20.857142857142858,1050.3214285714287,4,2,32000,False,28,8,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-43-59,1619171039,28.467625379562378,255.05340886116028,31995,volta1,147.96.21.176,255.05340886116028,0,8,"[-21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0]","[1045, 1126, 1029, 1121, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154, 1093, 1108, 1192, 1046]",1.5762536675616128,0.40149991892633385,3.8901084745186623,0.07667008407299676,12862.485,310.982,1695.624,2359.013,17066.137,234.382,6.896,32000,32000,4.633333333333333,16.24722222222222,0.49777777777777793,0.2675127740234053,0.0,0.0,0.7593749761581421,4.999999873689376e-05,0.025377823,-0.07084368,0.08490361,0.6969171,0.014904213,0.5237108,0.0
-20.0,-21.0,-20.8125,1055.75,4,2,36000,False,32,9,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-44-28,1619171068,28.680259704589844,283.7336685657501,31995,volta1,147.96.21.176,283.7336685657501,0,9,"[-20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0]","[1146, 1069, 1037, 1123, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154, 1093, 1108, 1192, 1046, 1045, 1126, 1029, 1121]",1.5753911412025998,0.39848877693951995,3.870494140144622,0.07662547230398206,12816.211,312.105,1630.203,2453.681,16815.502,237.876,6.88,36000,36000,4.683783783783784,16.243243243243242,0.4927027027027027,0.2675127740234053,0.0,0.0,0.7593749761581421,4.999999873689376e-05,-0.02269259,-0.075884,0.042140026,0.8355251,0.014553251,0.5243192,0.0
-20.0,-21.0,-20.833333333333332,1053.7777777777778,4,2,40000,False,36,10,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-44-57,1619171097,28.861241817474365,312.5949103832245,31995,volta1,147.96.21.176,312.5949103832245,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0]","[1046, 1034, 1038, 1034, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154, 1093, 1108, 1192, 1046, 1045, 1126, 1029, 1121, 1146, 1069, 1037, 1123]",1.574611087897568,0.39572533144567956,3.8540634689670643,0.07658734195323064,12777.963,313.039,1574.036,2541.237,16645.523,240.305,6.858,40000,40000,4.697222222222223,16.28888888888889,0.4936111111111113,0.2675127740234053,0.0,0.0,0.7593749761581421,4.999999873689376e-05,0.022722265,-0.06927652,0.0814759,0.6742653,0.013857288,0.5315099,0.0
