episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4800,False,0,1,dba92362179642269d2ca0cfec4731d3,2021-04-14_11-19-27,1618391967,42.08925771713257,42.08925771713257,1861,volta1,147.96.21.176,42.08925771713257,0,1,[],[],8334.887,575.893,6547.139,733.145,26950.475,178.104,7.859,4800,4800,5.6850000000000005,26.329999999999988,0.20000000298023224,4.999999873689376e-05,0.6492669,-0.0024828166,0.6511461,0.66398597,0.003018082,0.0077599683,0.0
nan,nan,nan,nan,0,8,9600,False,0,2,dba92362179642269d2ca0cfec4731d3,2021-04-14_11-20-03,1618392003,35.31396842002869,77.40322613716125,1861,volta1,147.96.21.176,77.40322613716125,0,2,[],[],7924.218,605.738,3903.587,1229.638,26641.934,180.167,8.243,9600,9600,5.76530612244898,28.222448979591842,0.10000000149011612,4.999999873689376e-05,0.68194604,0.0020993568,0.6798463,0.61666584,3.5870364e-06,2.9566982e-06,0.0
nan,nan,nan,nan,0,8,14400,False,0,3,dba92362179642269d2ca0cfec4731d3,2021-04-14_11-20-38,1618392038,35.189961671829224,112.59318780899048,1861,volta1,147.96.21.176,112.59318780899048,0,3,[],[],7780.5,616.927,3030.794,1583.743,26492.175,181.186,8.822,14400,14400,5.758000000000001,28.208000000000006,0.05000000074505806,4.999999873689376e-05,0.13163848,-0.00033498748,0.13197254,0.64737105,1.9259329e-05,3.796997e-33,0.0
-21.0,-21.0,-21.0,1017.5,8,8,19200,False,8,4,dba92362179642269d2ca0cfec4731d3,2021-04-14_11-21-13,1618392073,35.01970672607422,147.6128945350647,1861,volta1,147.96.21.176,147.6128945350647,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1011, 1012, 1007, 1031, 1023, 1019, 1016, 1021]",7710.405,622.535,2587.934,1854.761,26379.4,181.96,8.613,19200,19200,5.718,28.214000000000006,0.02500000037252903,4.999999873689376e-05,0.07033493,-0.0007683792,0.07110331,0.7816358,-1.7673139e-36,3.9597155e-33,0.0
-21.0,-21.0,-21.0,1016.5833333333334,4,8,24000,False,12,5,dba92362179642269d2ca0cfec4731d3,2021-04-14_11-21-48,1618392108,35.03698492050171,182.6498794555664,1861,volta1,147.96.21.176,182.6498794555664,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1012, 1022, 1003, 1022, 1011, 1012, 1007, 1031, 1023, 1019, 1016, 1021]",7669.819,625.83,2321.364,2067.75,26315.042,182.405,8.762,24000,24000,5.682000000000001,28.244000000000007,0.012500000186264515,4.999999873689376e-05,0.02414928,-0.0010313994,0.025180679,0.88500494,0.0,4.324771e-33,0.0
-21.0,-21.0,-21.0,1017.25,4,8,28800,False,16,6,dba92362179642269d2ca0cfec4731d3,2021-04-14_11-22-24,1618392144,35.11209297180176,217.76197242736816,1861,volta1,147.96.21.176,217.76197242736816,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1023, 1013, 1023, 1018, 1011, 1012, 1007, 1031, 1023, 1019, 1016, 1021, 1012, 1022, 1003, 1022]",7639.74,628.294,2149.325,2233.259,26281.594,182.637,8.699,28800,28800,5.71,28.270000000000003,0.0062500000931322575,4.999999873689376e-05,0.01753636,-0.0010697916,0.018606152,0.86926484,0.0,4.0503862e-33,0.0
-21.0,-21.0,-21.0,1017.7083333333334,8,8,33600,False,24,7,dba92362179642269d2ca0cfec4731d3,2021-04-14_11-22-57,1618392177,33.256473541259766,251.01844596862793,1861,volta1,147.96.21.176,251.01844596862793,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1022, 1019, 1028, 1019, 1025, 1019, 1001, 1011, 1012, 1007, 1031, 1023, 1019, 1016, 1021, 1012, 1022, 1003, 1022, 1023, 1013, 1023, 1018]",7651.488,627.329,2023.644,2371.958,25958.182,184.913,8.726,33600,33600,5.919148936170211,28.278723404255317,0.0031250000465661287,4.999999873689376e-05,0.021711962,0.0009513751,0.020760586,0.9248407,0.0,4.3568625e-33,0.0
-21.0,-21.0,-21.0,1017.7083333333334,0,8,38400,False,24,8,dba92362179642269d2ca0cfec4731d3,2021-04-14_11-23-32,1618392212,35.041799545288086,286.060245513916,1861,volta1,147.96.21.176,286.060245513916,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1011, 1012, 1007, 1031, 1023, 1019, 1016, 1021, 1012, 1022, 1003, 1022, 1023, 1013, 1023, 1018, 1016, 1022, 1019, 1028, 1019, 1025, 1019, 1001]",7621.369,629.808,1930.743,2486.089,25979.355,184.762,8.604,38400,38400,5.718,28.34,0.0015625000232830644,4.999999873689376e-05,0.0068767867,-0.0024780899,0.009354878,0.9107229,0.0,4.1540512e-33,0.0
-21.0,-21.0,-21.0,1017.90625,8,8,43200,False,32,9,dba92362179642269d2ca0cfec4731d3,2021-04-14_11-24-08,1618392248,35.06348967552185,321.12373518943787,1861,volta1,147.96.21.176,321.12373518943787,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1025, 1004, 1014, 1026, 1016, 1013, 1018, 1032, 1011, 1012, 1007, 1031, 1023, 1019, 1016, 1021, 1012, 1022, 1003, 1022, 1023, 1013, 1023, 1018, 1016, 1022, 1019, 1028, 1019, 1025, 1019, 1001]",7603.711,631.271,1858.88,2582.2,25991.622,184.675,8.658,43200,43200,5.68,28.322,0.0007812500116415322,4.999999873689376e-05,0.015539775,0.0024473325,0.0130924415,0.9410321,0.0,4.2088193e-33,0.0
-21.0,-21.0,-21.0,1017.1111111111111,4,8,48000,False,36,10,dba92362179642269d2ca0cfec4731d3,2021-04-14_11-24-43,1618392283,35.01675891876221,356.1404941082001,1861,volta1,147.96.21.176,356.1404941082001,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[992, 1018, 1012, 1021, 1011, 1012, 1007, 1031, 1023, 1019, 1016, 1021, 1012, 1022, 1003, 1022, 1023, 1013, 1023, 1018, 1016, 1022, 1019, 1028, 1019, 1025, 1019, 1001, 1025, 1004, 1014, 1026, 1016, 1013, 1018, 1032]",7585.263,632.806,1801.107,2665.028,26001.902,184.602,8.57,48000,48000,5.676,28.34,0.0003906250058207661,4.999999873689376e-05,0.0068091475,0.00051971467,0.006289433,0.967463,0.0,4.837512e-33,0.0
-21.0,-21.0,-21.0,1016.95,4,8,52800,False,40,11,dba92362179642269d2ca0cfec4731d3,2021-04-14_11-25-18,1618392318,35.12714719772339,391.26764130592346,1861,volta1,147.96.21.176,391.26764130592346,0,11,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1010, 1015, 1020, 1017, 1011, 1012, 1007, 1031, 1023, 1019, 1016, 1021, 1012, 1022, 1003, 1022, 1023, 1013, 1023, 1018, 1016, 1022, 1019, 1028, 1019, 1025, 1019, 1001, 1025, 1004, 1014, 1026, 1016, 1013, 1018, 1032, 992, 1018, 1012, 1021]",7504.76,639.594,1272.578,3771.872,25918.103,185.199,8.552,52800,52800,5.6979999999999995,28.32,0.00019531250291038305,4.999999873689376e-05,0.01682413,2.2065801e-06,0.016821926,0.8982668,0.0,3.9905337e-33,0.0
-21.0,-21.0,-21.0,1018.1666666666666,8,8,57600,False,48,12,dba92362179642269d2ca0cfec4731d3,2021-04-14_11-25-53,1618392353,35.045095443725586,426.31273674964905,1861,volta1,147.96.21.176,426.31273674964905,0,12,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1022, 1030, 1015, 1026, 1027, 1039, 1015, 1020, 1011, 1012, 1007, 1031, 1023, 1019, 1016, 1021, 1012, 1022, 1003, 1022, 1023, 1013, 1023, 1018, 1016, 1022, 1019, 1028, 1019, 1025, 1019, 1001, 1025, 1004, 1014, 1026, 1016, 1013, 1018, 1032, 992, 1018, 1012, 1021, 1010, 1015, 1020, 1017]",7496.554,640.294,1276.114,3761.421,25894.667,185.366,8.562,57600,57600,5.594000000000001,28.318,9.765625145519152e-05,4.999999873689376e-05,0.008645177,0.001982647,0.006662529,0.9742109,0.0,4.3251683e-33,0.0
-21.0,-21.0,-21.0,1018.1666666666666,0,8,62400,False,48,13,dba92362179642269d2ca0cfec4731d3,2021-04-14_11-26-29,1618392389,35.02027153968811,461.33300828933716,1861,volta1,147.96.21.176,461.33300828933716,0,13,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1011, 1012, 1007, 1031, 1023, 1019, 1016, 1021, 1012, 1022, 1003, 1022, 1023, 1013, 1023, 1018, 1016, 1022, 1019, 1028, 1019, 1025, 1019, 1001, 1025, 1004, 1014, 1026, 1016, 1013, 1018, 1032, 992, 1018, 1012, 1021, 1010, 1015, 1020, 1017, 1022, 1030, 1015, 1026, 1027, 1039, 1015, 1020]",7496.365,640.31,1272.221,3772.93,25883.813,185.444,8.247,62400,62400,5.6240000000000006,28.33,4.882812572759576e-05,4.999999873689376e-05,0.002369108,-0.00088730815,0.003256415,0.96562254,0.0,4.1568533e-33,0.0
