episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4800,False,0,1,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-13-12,1618834392,54.97492814064026,54.97492814064026,32666,volta1,147.96.21.176,54.97492814064026,0,1,[],[],3788.577,1266.967,3116.495,1540.192,47680.756,100.67,9.703,4800,4800,7.3,13.387692307692308,0.10846153846153847,0.0771512976886308,0.10384615384615385,0.03729361379930435,0.20000000298023224,4.999999873689376e-05,17.009272,-0.03215176,17.03291,0.5823887,0.04256498,0.717872,0.0
nan,nan,nan,nan,0,8,9600,False,0,2,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-13-31,1618834411,18.860350847244263,73.83527898788452,32666,volta1,147.96.21.176,73.83527898788452,0,2,[],[],3630.133,1322.266,1828.855,2624.593,31108.57,154.298,9.478,9600,9600,10.97391304347826,14.30869565217391,0.2760869565217391,0.08323718477006761,0.2943478260869565,0.04321747154721623,0.30000001192092896,4.999999873689376e-05,7.821986,-0.06208848,7.8654346,0.5182777,0.0621313,0.5439375,0.0
nan,nan,nan,nan,0,8,14400,False,0,3,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-13-50,1618834430,18.696823835372925,92.53210282325745,32666,volta1,147.96.21.176,92.53210282325745,0,3,[],[],3569.985,1344.544,1397.737,3434.122,25541.618,187.929,8.743,14400,14400,10.882608695652175,14.352173913043474,0.288695652173913,0.08323718477006761,0.29695652173913045,0.04321747154721623,0.44999998807907104,4.999999873689376e-05,1.3297848,-0.037608303,1.3456151,0.48319575,0.048395265,0.57233447,0.0
-21.0,-21.0,-21.0,1016.0,8,8,19200,False,8,4,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-14-09,1618834449,19.05652356147766,111.58862638473511,32666,volta1,147.96.21.176,111.58862638473511,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1021, 1008, 1008, 1027, 1022, 1013, 1013]",3557.894,1349.113,1183.993,4054.078,22824.834,210.297,8.697,19200,19200,10.93913043478261,14.304347826086952,0.3117391304347826,0.08323718477006761,0.2821739130434783,0.04321747154721623,0.675000011920929,4.999999873689376e-05,0.1461976,-0.052679457,0.18044436,0.5727267,0.02730773,0.59160024,0.0
-21.0,-21.0,-21.0,1015.9285714285714,6,8,24000,False,14,5,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-14-29,1618834469,19.438666820526123,131.02729320526123,32666,volta1,147.96.21.176,131.02729320526123,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1007, 1016, 1018, 1003, 1026, 1025, 1016, 1021, 1008, 1008, 1027, 1022, 1013, 1013]",3547.832,1352.939,1064.886,4507.525,21267.119,225.701,8.553,24000,24000,10.741666666666667,14.154166666666663,0.29750000000000004,0.08323718477006758,0.27541666666666664,0.043217471547216245,1.0125000476837158,4.999999873689376e-05,-0.017654333,-0.059019934,0.020774782,0.91151994,0.020336611,0.6622476,0.0
-21.0,-21.0,-21.0,1018.125,2,8,28800,False,16,6,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-14-48,1618834488,18.690387725830078,149.7176809310913,32666,volta1,147.96.21.176,149.7176809310913,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1042, 1025, 1016, 1021, 1008, 1008, 1027, 1022, 1013, 1013, 1007, 1016, 1018, 1003, 1026, 1025]",3533.305,1358.502,975.526,4920.423,20120.72,238.56,8.662,28800,28800,11.03478260869565,14.326086956521735,0.31217391304347836,0.08323718477006761,0.2895652173913043,0.04321747154721623,1.5187499523162842,4.999999873689376e-05,-0.043575093,-0.086563624,0.022537885,0.8438021,0.013465447,0.84386426,0.0
-21.0,-21.0,-21.0,1018.125,8,8,33600,False,24,7,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-15-08,1618834508,19.05488157272339,168.7725625038147,32666,volta1,147.96.21.176,168.7725625038147,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1010, 1012, 1021, 1018, 1017, 1017, 1031, 1019, 1016, 1021, 1008, 1008, 1027, 1022, 1013, 1013, 1007, 1016, 1018, 1003, 1026, 1025, 1042, 1025]",3519.058,1364.001,918.999,5223.072,19349.691,248.066,8.59,33600,33600,10.839130434782607,14.304347826086952,0.25565217391304346,0.08323718477006761,0.22913043478260872,0.04321747154721623,1.5187499523162842,4.999999873689376e-05,-0.04871498,-0.07781537,0.011491645,0.9570933,0.011594241,0.75020313,0.0
-21.0,-21.0,-21.0,1018.125,0,8,38400,False,24,8,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-15-27,1618834527,19.194380283355713,187.9669427871704,32666,volta1,147.96.21.176,187.9669427871704,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1021, 1008, 1008, 1027, 1022, 1013, 1013, 1007, 1016, 1018, 1003, 1026, 1025, 1042, 1025, 1010, 1012, 1021, 1018, 1017, 1017, 1031, 1019]",3499.653,1371.565,876.263,5477.806,18793.165,255.412,8.746,38400,38400,10.839130434782609,14.4,0.26260869565217393,0.08323718477006761,0.328695652173913,0.04321747154721623,1.5187499523162842,4.999999873689376e-05,-0.038698196,-0.06699922,0.007832166,0.9265053,0.013477439,0.84570754,0.0
-21.0,-21.0,-21.0,1018.71875,8,8,43200,False,32,9,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-15-46,1618834546,19.07796883583069,207.0449116230011,32666,volta1,147.96.21.176,207.0449116230011,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1030, 1028, 1021, 1013, 1025, 1025, 997, 1025, 1016, 1021, 1008, 1008, 1027, 1022, 1013, 1013, 1007, 1016, 1018, 1003, 1026, 1025, 1042, 1025, 1010, 1012, 1021, 1018, 1017, 1017, 1031, 1019]",3499.222,1371.734,842.169,5699.571,18336.424,261.774,8.68,43200,43200,10.691304347826085,14.317391304347822,0.26130434782608697,0.08323718477006761,0.2643478260869565,0.04321747154721623,1.5187499523162842,4.999999873689376e-05,-0.07534864,-0.10092088,0.005197841,0.97790736,0.013415237,0.8218251,0.0
-21.0,-21.0,-21.0,1017.8378378378378,5,8,48000,False,37,10,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-16-06,1618834566,19.192928552627563,226.23784017562866,32666,volta1,147.96.21.176,226.23784017562866,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[999, 1015, 1016, 1023, 1008, 1016, 1021, 1008, 1008, 1027, 1022, 1013, 1013, 1007, 1016, 1018, 1003, 1026, 1025, 1042, 1025, 1010, 1012, 1021, 1018, 1017, 1017, 1031, 1019, 1030, 1028, 1021, 1013, 1025, 1025, 997, 1025]",3495.588,1373.16,810.546,5921.935,17989.877,266.817,8.693,48000,48000,10.665217391304349,14.226086956521737,0.24782608695652175,0.08323718477006761,0.2917391304347826,0.04321747154721623,1.5187499523162842,4.999999873689376e-05,-0.05888131,-0.08828536,0.0042713694,0.980777,0.016548265,0.7805444,0.0
-21.0,-21.0,-21.0,1018.15,3,8,52800,False,40,11,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-16-25,1618834585,18.99083662033081,245.22867679595947,32666,volta1,147.96.21.176,245.22867679595947,0,11,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1025, 1018, 1023, 1016, 1021, 1008, 1008, 1027, 1022, 1013, 1013, 1007, 1016, 1018, 1003, 1026, 1025, 1042, 1025, 1010, 1012, 1021, 1018, 1017, 1017, 1031, 1019, 1030, 1028, 1021, 1013, 1025, 1025, 997, 1025, 999, 1015, 1016, 1023, 1008]",3456.592,1388.651,550.037,8726.69,14697.291,326.591,8.779,52800,52800,10.691304347826087,14.299999999999994,0.2747826086956522,0.08323718477006761,0.2752173913043478,0.04321747154721623,1.5187499523162842,4.999999873689376e-05,-0.091139786,-0.121992484,0.004880524,0.96392226,0.017101025,0.9216547,0.0
-21.0,-21.0,-21.0,1019.1458333333334,8,8,57600,False,48,12,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-16-45,1618834605,19.299343824386597,264.52802062034607,32666,volta1,147.96.21.176,264.52802062034607,0,12,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1037, 1001, 1034, 1008, 1031, 1030, 1029, 1023, 1016, 1021, 1008, 1008, 1027, 1022, 1013, 1013, 1007, 1016, 1018, 1003, 1026, 1025, 1042, 1025, 1010, 1012, 1021, 1018, 1017, 1017, 1031, 1019, 1030, 1028, 1021, 1013, 1025, 1025, 997, 1025, 999, 1015, 1016, 1023, 1008, 1025, 1018, 1023]",3456.783,1388.574,548.597,8749.595,14741.09,325.62,8.726,57600,57600,10.713043478260868,14.2,0.27391304347826084,0.08323718477006761,0.2526086956521739,0.04321747154721623,1.5187499523162842,4.999999873689376e-05,-0.10677594,-0.13480183,0.0028183497,0.98814374,0.016597567,0.78665334,0.0
-21.0,-21.0,-21.0,1019.1458333333334,0,8,62400,False,48,13,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-17-04,1618834624,18.92842435836792,283.456444978714,32666,volta1,147.96.21.176,283.456444978714,0,13,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1016, 1021, 1008, 1008, 1027, 1022, 1013, 1013, 1007, 1016, 1018, 1003, 1026, 1025, 1042, 1025, 1010, 1012, 1021, 1018, 1017, 1017, 1031, 1019, 1030, 1028, 1021, 1013, 1025, 1025, 997, 1025, 999, 1015, 1016, 1023, 1008, 1025, 1018, 1023, 1037, 1001, 1034, 1008, 1031, 1030, 1029, 1023]",3456.932,1388.514,555.355,8643.117,14754.417,325.326,8.823,62400,62400,10.769565217391303,14.4,0.2891304347826087,0.08323718477006761,0.28565217391304343,0.04321747154721623,1.5187499523162842,4.999999873689376e-05,-0.072024934,-0.100183085,0.003959055,0.9607044,0.015933555,0.89803326,0.0
-21.0,-21.0,-21.0,1018.5,8,8,67200,False,56,14,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-17-24,1618834644,19.237958908081055,302.69440388679504,32666,volta1,147.96.21.176,302.69440388679504,0,14,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1009, 1010, 1015, 1008, 1032, 1024, 1010, 1009, 1016, 1021, 1008, 1008, 1027, 1022, 1013, 1013, 1007, 1016, 1018, 1003, 1026, 1025, 1042, 1025, 1010, 1012, 1021, 1018, 1017, 1017, 1031, 1019, 1030, 1028, 1021, 1013, 1025, 1025, 997, 1025, 999, 1015, 1016, 1023, 1008, 1025, 1018, 1023, 1037, 1001, 1034, 1008, 1031, 1030, 1029, 1023]",3442.124,1394.488,560.876,8558.036,14773.197,324.913,8.76,67200,67200,10.641666666666666,14.304166666666667,0.24625,0.08323718477006758,0.1975,0.043217471547216245,1.5187499523162842,4.999999873689376e-05,-0.068984546,-0.09673377,0.002737816,0.9881234,0.016468417,0.8224764,0.0
-21.0,-21.0,-21.0,1017.5081967213115,5,8,72000,False,61,15,7f3493b291894bc1964798c4ff4a32eb,2021-04-19_14-17-44,1618834664,19.293535947799683,321.9879398345947,32666,volta1,147.96.21.176,321.9879398345947,0,15,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1001, 1002, 999, 1020, 1010, 1016, 1021, 1008, 1008, 1027, 1022, 1013, 1013, 1007, 1016, 1018, 1003, 1026, 1025, 1042, 1025, 1010, 1012, 1021, 1018, 1017, 1017, 1031, 1019, 1030, 1028, 1021, 1013, 1025, 1025, 997, 1025, 999, 1015, 1016, 1023, 1008, 1025, 1018, 1023, 1037, 1001, 1034, 1008, 1031, 1030, 1029, 1023, 1009, 1010, 1015, 1008, 1032, 1024, 1010, 1009]",3434.813,1397.456,561.259,8552.209,14752.334,325.372,8.972,72000,72000,10.900000000000002,14.195652173913041,0.2465217391304348,0.08323718477006761,0.3234782608695652,0.04321747154721623,1.5187499523162842,4.999999873689376e-05,-0.07355939,-0.103490666,0.0028303512,0.9857155,0.01784423,0.8184043,0.0
