episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4800,False,0,1,099d43f3ce13448d955a8b34bc7e469a,2021-04-14_23-38-09,1618436289,102.66646265983582,102.66646265983582,35691,volta1,147.96.21.176,102.66646265983582,0,1,[],[],45458.677,105.59,3621.101,1325.564,52448.512,91.518,16.926,4800,4800,3.943835616438356,34.18493150684932,0.20000000298023224,4.999999873689376e-05,2.893165,0.0022389528,2.8909264,0.66507167,9.214367e-09,1.2858784e-19,0.0
nan,nan,nan,nan,0,8,9600,False,0,2,099d43f3ce13448d955a8b34bc7e469a,2021-04-14_23-39-03,1618436343,53.8054518699646,156.47191452980042,35691,volta1,147.96.21.176,156.47191452980042,0,2,[],[],38455.654,124.819,2194.238,2187.547,36579.233,131.222,13.627,9600,9600,3.8285714285714287,35.39480519480518,0.10000000149011612,4.999999873689376e-05,2.0833035,-0.0024385012,2.0857422,0.5771651,-4.552194e-23,1.2452462e-19,0.0
nan,nan,nan,nan,0,8,14400,False,0,3,099d43f3ce13448d955a8b34bc7e469a,2021-04-14_23-39-57,1618436397,53.46894979476929,209.9408643245697,35691,volta1,147.96.21.176,209.9408643245697,0,3,[],[],35988.79,133.375,1722.335,2786.914,31294.087,153.384,15.504,14400,14400,3.7883116883116883,35.401298701298686,0.05000000074505806,4.999999873689376e-05,0.3064908,0.001987798,0.30450296,0.5903932,-6.4688395e-28,1.2919545e-19,0.0
-21.0,-21.0,-21.0,1025.75,8,8,19200,False,8,4,099d43f3ce13448d955a8b34bc7e469a,2021-04-14_23-40-51,1618436451,53.79713749885559,263.7380018234253,35691,volta1,147.96.21.176,263.7380018234253,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1028, 1021, 1026, 1029, 1039, 1017, 1030, 1016]",34844.545,137.755,1481.955,3238.965,28649.333,167.543,15.003,19200,19200,3.867532467532467,35.279220779220765,0.02500000037252903,4.999999873689376e-05,0.1320963,-0.0025015406,0.13459784,0.55714905,-6.574356e-28,1.285789e-19,0.0
-21.0,-21.0,-21.0,1024.5,2,8,24000,False,10,5,099d43f3ce13448d955a8b34bc7e469a,2021-04-14_23-41-45,1618436505,53.43526291847229,317.1732647418976,35691,volta1,147.96.21.176,317.1732647418976,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1015, 1024, 1028, 1021, 1026, 1029, 1039, 1017, 1030, 1016]",34087.489,140.814,1338.976,3584.83,27060.503,177.38,14.348,24000,24000,3.8460526315789476,35.40921052631579,0.012500000186264515,4.999999873689376e-05,0.032025613,0.002666682,0.02935893,0.8490096,-1.0519315e-27,1.2286818e-19,0.0
-21.0,-21.0,-21.0,1023.9375,6,8,28800,False,16,6,099d43f3ce13448d955a8b34bc7e469a,2021-04-14_23-42-39,1618436559,53.79759883880615,370.97086358070374,35691,volta1,147.96.21.176,370.97086358070374,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1018, 1031, 1020, 1018, 1031, 1020, 1028, 1021, 1026, 1029, 1039, 1017, 1030, 1016, 1015, 1024]",33631.064,142.725,1243.907,3858.81,26007.286,184.564,13.75,28800,28800,3.815584415584415,35.293506493506484,0.0062500000931322575,4.999999873689376e-05,0.011997599,-0.0017146786,0.013712279,0.9129287,-1.3112542e-27,1.3437907e-19,0.0
-21.0,-21.0,-21.0,1021.9583333333334,8,8,33600,False,24,7,099d43f3ce13448d955a8b34bc7e469a,2021-04-14_23-43-33,1618436613,53.67007803916931,424.64094161987305,35691,volta1,147.96.21.176,424.64094161987305,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1023, 1002, 1008, 1013, 1021, 1018, 1035, 1024, 1028, 1021, 1026, 1029, 1039, 1017, 1030, 1016, 1015, 1024, 1018, 1031, 1020, 1018, 1031, 1020]",33293.334,144.173,1176.372,4080.342,25248.284,190.112,13.571,33600,33600,3.858441558441558,35.1857142857143,0.0031250000465661287,4.999999873689376e-05,0.027834548,-0.0010844328,0.028918976,0.92219627,-4.91464e-28,1.246813e-19,0.0
-21.0,-21.0,-21.0,1021.9583333333334,0,8,38400,False,24,8,099d43f3ce13448d955a8b34bc7e469a,2021-04-14_23-44-27,1618436667,53.33159875869751,477.97254037857056,35691,volta1,147.96.21.176,477.97254037857056,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1028, 1021, 1026, 1029, 1039, 1017, 1030, 1016, 1015, 1024, 1018, 1031, 1020, 1018, 1031, 1020, 1023, 1002, 1008, 1013, 1021, 1018, 1035, 1024]",33006.622,145.425,1125.46,4264.924,24671.687,194.555,13.323,38400,38400,3.833766233766234,35.39350649350648,0.0015625000232830644,4.999999873689376e-05,0.016781075,0.0010100162,0.015771063,0.85593724,-7.3438294e-28,1.2810593e-19,0.0
-21.0,-21.0,-21.0,1021.28125,8,8,43200,False,32,9,099d43f3ce13448d955a8b34bc7e469a,2021-04-14_23-45-21,1618436721,53.65058374404907,531.6231241226196,35691,volta1,147.96.21.176,531.6231241226196,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1025, 1008, 1025, 1024, 1013, 1012, 1019, 1028, 1028, 1021, 1026, 1029, 1039, 1017, 1030, 1016, 1015, 1024, 1018, 1031, 1020, 1018, 1031, 1020, 1023, 1002, 1008, 1013, 1021, 1018, 1035, 1024]",32816.299,146.269,1084.481,4426.081,24228.94,198.11,13.547,43200,43200,3.842105263157894,35.30526315789472,0.0007812500116415322,4.999999873689376e-05,0.029928684,0.000101313395,0.029827373,0.8599837,-6.939909e-28,1.286893e-19,0.0
-21.0,-21.0,-21.0,1021.1142857142858,3,8,48000,False,35,10,099d43f3ce13448d955a8b34bc7e469a,2021-04-14_23-46-14,1618436774,53.36377930641174,584.9869034290314,35691,volta1,147.96.21.176,584.9869034290314,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1010, 1030, 1018, 1028, 1021, 1026, 1029, 1039, 1017, 1030, 1016, 1015, 1024, 1018, 1031, 1020, 1018, 1031, 1020, 1023, 1002, 1008, 1013, 1021, 1018, 1035, 1024, 1025, 1008, 1025, 1024, 1013, 1012, 1019, 1028]",32637.431,147.07,1052.569,4560.273,23868.591,201.101,13.286,48000,48000,3.8337662337662337,35.41038961038961,0.0003906250058207661,4.999999873689376e-05,0.005520247,-0.001491375,0.007011618,0.9633978,-9.647273e-28,1.231096e-19,0.0
-21.0,-21.0,-21.0,1020.7,5,8,52800,False,40,11,099d43f3ce13448d955a8b34bc7e469a,2021-04-14_23-47-08,1618436828,53.51389288902283,638.5007963180542,35691,volta1,147.96.21.176,638.5007963180542,0,11,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1014, 1012, 1028, 1026, 1009, 1028, 1021, 1026, 1029, 1039, 1017, 1030, 1016, 1015, 1024, 1018, 1031, 1020, 1018, 1031, 1020, 1023, 1002, 1008, 1013, 1021, 1018, 1035, 1024, 1025, 1008, 1025, 1024, 1013, 1012, 1019, 1028, 1010, 1030, 1018]",31205.207,153.82,767.116,6257.202,20687.779,232.021,12.949,52800,52800,4.330263157894737,35.32105263157893,0.00019531250291038305,4.999999873689376e-05,0.0137681635,0.0016242061,0.012143955,0.9301592,-8.333927e-28,1.337148e-19,0.0
-21.0,-21.0,-21.0,1020.3958333333334,8,8,57600,False,48,12,099d43f3ce13448d955a8b34bc7e469a,2021-04-14_23-48-02,1618436882,53.709256649017334,692.2100529670715,35691,volta1,147.96.21.176,692.2100529670715,0,12,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1026, 1014, 1026, 1024, 1011, 1021, 1017, 1012, 1028, 1021, 1026, 1029, 1039, 1017, 1030, 1016, 1015, 1024, 1018, 1031, 1020, 1018, 1031, 1020, 1023, 1002, 1008, 1013, 1021, 1018, 1035, 1024, 1025, 1008, 1025, 1024, 1013, 1012, 1019, 1028, 1010, 1030, 1018, 1014, 1012, 1028, 1026, 1009]",31195.673,153.867,767.657,6252.795,20676.317,232.15,12.901,57600,57600,4.477922077922078,35.26623376623377,9.765625145519152e-05,4.999999873689376e-05,0.012367365,-0.0006189371,0.012986302,0.9544247,-6.9538594e-28,1.2564969e-19,0.0
-21.0,-21.0,-21.0,1020.3958333333334,0,8,62400,False,48,13,099d43f3ce13448d955a8b34bc7e469a,2021-04-14_23-48-56,1618436936,53.34263062477112,745.5526835918427,35691,volta1,147.96.21.176,745.5526835918427,0,13,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1028, 1021, 1026, 1029, 1039, 1017, 1030, 1016, 1015, 1024, 1018, 1031, 1020, 1018, 1031, 1020, 1023, 1002, 1008, 1013, 1021, 1018, 1035, 1024, 1025, 1008, 1025, 1024, 1013, 1012, 1019, 1028, 1010, 1030, 1018, 1014, 1012, 1028, 1026, 1009, 1026, 1014, 1026, 1024, 1011, 1021, 1017, 1012]",31185.905,153.916,766.605,6261.374,20669.144,232.23,12.193,62400,62400,3.8623376623376626,35.37012987012986,4.882812572759576e-05,4.999999873689376e-05,0.028498424,0.0025592644,0.025939161,0.79597545,-1.1327969e-27,1.2781679e-19,0.0
