episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-21.0,-21.0,-21.0,1019.0,1,2,4000,False,1,1,a7231bcde5ce4c5686a776468b5be613,2021-04-24_00-00-19,1619215219,45.21388554573059,45.21388554573059,40188,volta1,147.96.21.176,45.21388554573059,0,1,[-21.0],[1019],1.3126002020504641,0.2817490409458357,4.22876575837905,0.07544750573931784,12466.742,320.854,2618.118,1527.815,29856.024,133.976,8.338,4000,4000,5.684210526315789,15.036842105263156,0.24368421052631573,0.22042889488431808,0.0,0.0,0.20000000298023224,4.999999873689376e-05,2.9785926,0.011071851,2.9617343,0.24156739,0.028934661,0.34886128,0.0
-21.0,-21.0,-21.0,1021.0,4,2,8000,False,5,2,a7231bcde5ce4c5686a776468b5be613,2021-04-24_00-00-41,1619215241,21.499927759170532,66.71381330490112,40188,volta1,147.96.21.176,66.71381330490112,0,2,"[-21.0, -21.0, -21.0, -21.0, -21.0]","[1013, 1021, 1027, 1025, 1019]",1.2942059646779271,0.23988060471977085,3.9059575725020608,0.07435620054814777,11518.823,347.258,1566.963,2552.709,20028.327,199.717,8.153,8000,8000,6.314285714285716,15.660714285714288,0.5028571428571428,0.2387506180979067,0.0,0.0,0.30000001192092896,4.999999873689376e-05,0.8359082,-0.011095795,0.84392273,0.24830191,0.010270992,0.32270628,0.0
-21.0,-21.0,-21.0,1023.125,3,2,12000,False,8,3,a7231bcde5ce4c5686a776468b5be613,2021-04-24_00-01-02,1619215262,21.429253101348877,88.14306640625,40188,volta1,147.96.21.176,88.14306640625,0,3,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1030, 1026, 1024, 1019, 1013, 1021, 1027, 1025]",1.2907102756215731,0.2321462408830838,3.8266719687395296,0.07421315940048925,11209.355,356.845,1197.154,3341.258,16738.404,238.971,8.085,12000,12000,6.351851851851851,15.688888888888892,0.5270370370370371,0.2387506180979067,0.0,0.0,0.30000001192092896,4.999999873689376e-05,0.20840037,-0.008662821,0.21506347,0.36767483,0.006665708,0.3655056,0.0
-21.0,-21.0,-21.0,1024.5,4,2,16000,False,12,4,a7231bcde5ce4c5686a776468b5be613,2021-04-24_00-01-24,1619215284,21.507699251174927,109.65076565742493,40188,volta1,147.96.21.176,109.65076565742493,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1024, 1033, 1028, 1024, 1019, 1013, 1021, 1027, 1025, 1030, 1026, 1024]",1.2893340789812802,0.22890550487760064,3.7607093651974584,0.07415545259700276,11045.944,362.124,1013.902,3945.154,15111.626,264.697,7.899,16000,16000,6.239285714285713,15.646428571428572,0.49642857142857144,0.2387506180979067,0.0,0.0,0.30000001192092896,4.999999873689376e-05,0.04921262,-0.016716717,0.063314274,0.6669735,0.008716887,0.35703686,0.0
-21.0,-21.0,-21.0,1023.0625,4,2,20000,False,16,5,a7231bcde5ce4c5686a776468b5be613,2021-04-24_00-01-46,1619215306,21.464523553848267,131.1152892112732,40188,volta1,147.96.21.176,131.1152892112732,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1019, 1030, 1016, 1010, 1019, 1013, 1021, 1027, 1025, 1030, 1026, 1024, 1024, 1033, 1028, 1024]",1.288242548692105,0.22712205984516148,3.718415886205756,0.07412007395342748,10950.741,365.272,910.681,4392.32,14125.449,283.177,7.863,20000,20000,6.38148148148148,15.644444444444446,0.5255555555555556,0.2387506180979067,0.0,0.0,0.30000001192092896,4.999999873689376e-05,0.007670054,-0.025807139,0.028666973,0.84650403,0.016034057,0.35959926,0.0
-21.0,-21.0,-21.0,1023.5,4,2,24000,False,20,6,a7231bcde5ce4c5686a776468b5be613,2021-04-24_00-02-08,1619215328,21.48550009727478,152.60078930854797,40188,volta1,147.96.21.176,152.60078930854797,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1033, 1024, 1012, 1032, 1019, 1013, 1021, 1027, 1025, 1030, 1026, 1024, 1024, 1033, 1028, 1024, 1019, 1030, 1016, 1010]",1.2874145828898829,0.22607576489479458,3.6878210860939893,0.07409472877675588,10877.859,367.719,830.722,4815.086,13480.572,296.723,7.926,24000,24000,6.260714285714286,15.642857142857144,0.5035714285714286,0.2387506180979067,0.0,0.0,0.30000001192092896,4.999999873689376e-05,-0.0044793137,-0.027683815,0.018505028,0.9133267,0.015664909,0.39047548,0.0
-21.0,-21.0,-21.0,1023.5833333333334,4,2,28000,False,24,7,a7231bcde5ce4c5686a776468b5be613,2021-04-24_00-02-30,1619215350,21.785003662109375,174.38579297065735,40188,volta1,147.96.21.176,174.38579297065735,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1028, 1019, 1033, 1016, 1019, 1013, 1021, 1027, 1025, 1030, 1026, 1024, 1024, 1033, 1028, 1024, 1019, 1030, 1016, 1010, 1033, 1024, 1012, 1032]",1.2868665298144255,0.22553408103763026,3.664790113877246,0.07406512379454672,10850.801,368.636,776.89,5148.737,13031.633,306.945,8.257,28000,28000,6.160714285714286,15.660714285714286,0.5175,0.2387506180979067,0.0,0.0,0.30000001192092896,4.999999873689376e-05,-0.00044309036,-0.030499555,0.025616061,0.8976627,0.014801329,0.38492888,0.0
-21.0,-21.0,-21.0,1023.3214285714286,4,2,32000,False,28,8,a7231bcde5ce4c5686a776468b5be613,2021-04-24_00-02-52,1619215372,21.716751098632812,196.10254406929016,40188,volta1,147.96.21.176,196.10254406929016,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1017, 1027, 1021, 1022, 1019, 1013, 1021, 1027, 1025, 1030, 1026, 1024, 1024, 1033, 1028, 1024, 1019, 1030, 1016, 1010, 1033, 1024, 1012, 1032, 1028, 1019, 1033, 1016]",1.2864792633771216,0.2251568094929594,3.6465700454884384,0.07403783834126976,10820.823,369.658,734.842,5443.345,12700.777,314.941,8.275,32000,32000,6.146428571428571,15.664285714285715,0.5225,0.2387506180979067,0.0,0.0,0.30000001192092896,4.999999873689376e-05,-0.018151699,-0.03562258,0.012611514,0.9460885,0.016197894,0.40287915,0.0
-21.0,-21.0,-21.0,1022.46875,4,2,36000,False,32,9,a7231bcde5ce4c5686a776468b5be613,2021-04-24_00-03-14,1619215394,21.66795063018799,217.77049469947815,40188,volta1,147.96.21.176,217.77049469947815,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1019, 1009, 1020, 1018, 1019, 1013, 1021, 1027, 1025, 1030, 1026, 1024, 1024, 1033, 1028, 1024, 1019, 1030, 1016, 1010, 1033, 1024, 1012, 1032, 1028, 1019, 1033, 1016, 1017, 1027, 1021, 1022]",1.2861559649651886,0.22477295075221787,3.631619644108768,0.07400928820264994,10796.754,370.482,707.922,5650.339,12440.291,321.536,8.223,36000,36000,6.2444444444444445,15.65925925925926,0.5162962962962964,0.2387506180979067,0.0,0.0,0.30000001192092896,4.999999873689376e-05,-0.028049052,-0.042576972,0.00902154,0.95566887,0.018354613,0.40671825,0.0
-21.0,-21.0,-21.0,1022.3055555555555,4,2,40000,False,36,10,a7231bcde5ce4c5686a776468b5be613,2021-04-24_00-03-36,1619215416,21.732555389404297,239.50305008888245,40188,volta1,147.96.21.176,239.50305008888245,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1025, 1021, 1011, 1027, 1019, 1013, 1021, 1027, 1025, 1030, 1026, 1024, 1024, 1033, 1028, 1024, 1019, 1030, 1016, 1010, 1033, 1024, 1012, 1032, 1028, 1019, 1033, 1016, 1017, 1027, 1021, 1022, 1019, 1009, 1020, 1018]",1.2859445330945036,0.224488279963823,3.619023646021477,0.07398586211487462,10777.057,371.159,686.791,5824.187,12237.286,326.87,8.24,40000,40000,6.060714285714284,15.675000000000002,0.5028571428571429,0.2387506180979067,0.0,0.0,0.30000001192092896,4.999999873689376e-05,-0.023841335,-0.05049888,0.01867928,0.9119849,0.026594212,0.45423993,0.0
