episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4800,False,0,1,a43f9f33c3ee4ed8a95f3126db776bdc,2021-04-12_12-44-43,1618224283,651.9957344532013,651.9957344532013,21037,volta1,147.96.21.176,651.9957344532013,0,1,[],[],3656.08,1312.881,2933.917,1636.038,645161.862,7.44,10.337,4800,4800,11.466236559139784,9.860322580645164,0.20000000298023224,4.999999873689376e-05,0.526484,-0.017067846,0.5392443,0.60787106,0.021537388,0.6745435,0.0
nan,nan,nan,nan,0,8,9600,False,0,2,a43f9f33c3ee4ed8a95f3126db776bdc,2021-04-12_12-55-32,1618224932,648.5277347564697,1300.523469209671,21037,volta1,147.96.21.176,1300.523469209671,0,2,[],[],3500.73,1371.142,1749.068,2744.318,644789.893,7.444,10.125,9600,9600,11.461879049676027,10.514038876889849,0.30000001192092896,4.999999873689376e-05,0.5433066,-0.045062326,0.5816709,0.3015383,0.022327358,0.73188883,0.0
nan,nan,nan,nan,0,8,14400,False,0,3,a43f9f33c3ee4ed8a95f3126db776bdc,2021-04-12_13-06-20,1618225580,647.725466966629,1948.2489361763,21037,volta1,147.96.21.176,1948.2489361763,0,3,[],[],3433.136,1398.138,1344.425,3570.3,644426.591,7.448,9.682,14400,14400,11.338852813852814,10.511363636363637,0.44999998807907104,4.999999873689376e-05,0.3017878,-0.049737055,0.3417673,0.34343928,0.02168345,0.76338136,0.0
-20.0,-21.0,-20.875,1050.5,8,8,19200,False,8,4,a43f9f33c3ee4ed8a95f3126db776bdc,2021-04-12_13-17-10,1618226230,648.7510771751404,2597.0000133514404,21037,volta1,147.96.21.176,2597.0000133514404,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0]","[1020, 1029, 1021, 1011, 1029, 1125, 1078, 1091]",3419.527,1403.703,1145.391,4190.709,644476.889,7.448,9.535,19200,19200,11.396004319654429,10.516738660907128,0.675000011920929,4.999999873689376e-05,0.11704438,-0.06483991,0.16877003,0.47261903,0.01942852,0.80009437,0.0
-20.0,-21.0,-20.875,1050.5,0,8,24000,False,8,5,a43f9f33c3ee4ed8a95f3126db776bdc,2021-04-12_13-27-58,1618226878,647.89466381073,3244.8946771621704,21037,volta1,147.96.21.176,3244.8946771621704,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0]","[1020, 1029, 1021, 1011, 1029, 1125, 1078, 1091]",3389.73,1416.042,1030.571,4657.612,644353.062,7.449,9.497,24000,24000,11.446054054054052,10.516972972972974,0.675000011920929,4.999999873689376e-05,0.08516541,-0.0863766,0.15880787,0.4522767,0.018865371,0.82007146,0.0
-20.0,-21.0,-20.625,1075.75,8,8,28800,False,16,6,a43f9f33c3ee4ed8a95f3126db776bdc,2021-04-12_13-38-47,1618227527,647.820858001709,3892.7155351638794,21037,volta1,147.96.21.176,3892.7155351638794,0,6,"[-21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0]","[1022, 1112, 1128, 1109, 1133, 1132, 1119, 1053, 1020, 1029, 1021, 1011, 1029, 1125, 1078, 1091]",3384.534,1418.216,950.537,5049.779,644247.46,7.451,9.422,28800,28800,11.452756756756756,10.620648648648647,0.675000011920929,4.999999873689376e-05,0.023306178,-0.102956474,0.111106075,0.5971597,0.022454174,0.80270064,0.0
-20.0,-21.0,-20.625,1075.75,0,8,33600,False,16,7,a43f9f33c3ee4ed8a95f3126db776bdc,2021-04-12_13-49-35,1618228175,647.5302028656006,4540.24573802948,21037,volta1,147.96.21.176,4540.24573802948,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0]","[1020, 1029, 1021, 1011, 1029, 1125, 1078, 1091, 1022, 1112, 1128, 1109, 1133, 1132, 1119, 1053]",3370.227,1424.236,894.296,5367.352,644139.741,7.452,9.397,33600,33600,11.474756229685806,10.598374864572046,1.0125000476837158,4.999999873689376e-05,0.0246049,-0.092662126,0.09928451,0.5141715,0.017760513,0.8046137,0.0
-20.0,-21.0,-20.608695652173914,1105.9130434782608,7,8,38400,False,23,8,a43f9f33c3ee4ed8a95f3126db776bdc,2021-04-12_14-00-24,1618228824,648.0727474689484,5188.318485498428,21037,volta1,147.96.21.176,5188.318485498428,0,8,"[-20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0]","[1372, 1098, 1110, 1289, 1046, 1183, 1126, 1020, 1029, 1021, 1011, 1029, 1125, 1078, 1091, 1022, 1112, 1128, 1109, 1133, 1132, 1119, 1053]",3364.467,1426.675,850.536,5643.501,644123.374,7.452,9.395,38400,38400,11.482073434125269,10.613822894168464,1.0125000476837158,4.999999873689376e-05,-0.016283164,-0.11185173,0.0750056,0.7233802,0.020309117,0.77273667,0.0
-20.0,-21.0,-20.653846153846153,1108.0,3,8,43200,False,26,9,a43f9f33c3ee4ed8a95f3126db776bdc,2021-04-12_14-11-12,1618229472,647.7907481193542,5836.109233617783,21037,volta1,147.96.21.176,5836.109233617783,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0]","[1131, 1132, 1109, 1020, 1029, 1021, 1011, 1029, 1125, 1078, 1091, 1022, 1112, 1128, 1109, 1133, 1132, 1119, 1053, 1372, 1098, 1110, 1289, 1046, 1183, 1126]",3348.108,1433.646,816.291,5880.255,644091.412,7.452,9.419,43200,43200,11.495351351351351,10.612756756756754,1.5187499523162842,4.999999873689376e-05,-0.01113854,-0.0964569,0.06360505,0.75571495,0.014296828,0.7481509,0.0
-20.0,-21.0,-20.70967741935484,1116.483870967742,5,8,48000,False,31,10,a43f9f33c3ee4ed8a95f3126db776bdc,2021-04-12_14-22-01,1618230121,648.1171011924744,6484.226334810257,21037,volta1,147.96.21.176,6484.226334810257,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0]","[1340, 1133, 1096, 1086, 1148, 1020, 1029, 1021, 1011, 1029, 1125, 1078, 1091, 1022, 1112, 1128, 1109, 1133, 1132, 1119, 1053, 1372, 1098, 1110, 1289, 1046, 1183, 1126, 1131, 1132, 1109]",3334.727,1439.398,792.438,6057.259,644097.218,7.452,9.348,48000,48000,11.470454545454544,10.63647186147186,1.5187499523162842,4.999999873689376e-05,-0.020895945,-0.102623,0.056694437,0.79670465,0.016482387,0.7648094,0.0
