episode,total_model_time,num_steps,average_model_time_per_step,reward
0,2.9360299110412598,1009,0.0029098413389903465,-21.0
1,2.909867286682129,1020,0.002852811065374636,-21.0
2,2.850884199142456,997,0.0028594625869031655,-21.0
3,2.8254075050354004,1018,0.002775449415555403,-21.0
4,2.8720335960388184,1007,0.002852069112253047,-21.0
5,2.8542888164520264,1019,0.002801068514673235,-21.0
6,2.941990375518799,1024,0.002873037476092577,-21.0
7,2.8302106857299805,989,0.002861689267674399,-21.0
8,2.8533146381378174,1008,0.0028306692838668823,-21.0
9,2.8185105323791504,1009,0.0027933702005739844,-21.0
