episode,total_model_time,num_steps,average_model_time_per_step,reward
0,7.522002458572388,2235,0.003365549198466393,-18.0
1,8.186154127120972,2442,0.0033522334672895053,-18.0
2,6.821868419647217,2036,0.003350622995897454,-15.0
3,7.760687828063965,2339,0.003317951187714393,-15.0
4,6.472707748413086,1935,0.003345068603831052,-17.0
5,9.507522106170654,2844,0.0033430105858546603,-10.0
6,9.385128259658813,2826,0.003320993722455348,-15.0
7,7.455695629119873,2239,0.0033299221210897154,-15.0
8,7.867800235748291,2365,0.003326765427377713,-14.0
9,10.170791387557983,3116,0.003264053718728493,-13.0
