episode,total_model_time,num_steps,average_model_time_per_step,reward
0,4.201542854309082,3250,0.0012927824167104868,-10.0
1,4.012015104293823,3115,0.0012879663256159947,-10.0
2,4.230953693389893,3266,0.0012954542845651845,-8.0
3,4.480522632598877,3465,0.0012930801248481607,-7.0
4,3.9099831581115723,3034,0.0012887222010914872,-10.0
5,4.066372394561768,3134,0.001297502359464508,-8.0
6,3.8788278102874756,2995,0.0012951011052712773,-15.0
7,4.187764406204224,3226,0.0012981290781786186,-12.0
8,4.334190607070923,3355,0.0012918600915263556,-12.0
9,4.128113508224487,3191,0.0012936739292461572,-11.0
