episode,step_time_ms,steps,reward
0,1.7365929469188874,995,-21.0
1,1.7446505948901176,1001,-21.0
2,1.7531001752033393,990,-21.0
3,1.5483992521636067,993,-21.0
4,1.7461127016737354,1017,-21.0
5,1.734809655941043,1005,-21.0
6,1.7374321625728804,997,-21.0
7,1.7067959867417812,1001,-21.0
8,1.7541343601823207,1014,-21.0
9,1.5113480982116,1003,-21.0
10,1.6951264565987256,1013,-21.0
11,1.7790582785382867,1001,-21.0
12,1.7460367882684353,1024,-21.0
13,1.5494651471884306,1005,-21.0
14,1.4933155874423536,1013,-21.0
15,1.493722629280134,1014,-21.0
16,1.5232175824704592,999,-21.0
17,1.4948484024524507,990,-21.0
18,1.5033458115288745,1000,-21.0
19,1.4945798188819026,1025,-21.0
