episode,total_model_time,num_steps,average_model_time_per_step,reward
0,4.724079608917236,979,0.0048254132879644905,-21.0
1,2.936281681060791,988,0.00297194502131659,-21.0
2,2.9755876064300537,989,0.003008683120758396,-21.0
3,3.0316834449768066,999,0.0030347181631399465,-21.0
4,3.0216517448425293,1019,0.0029653108389033653,-21.0
5,2.9554569721221924,987,0.0029943839636496377,-21.0
6,2.8700616359710693,994,0.0028873859516811563,-21.0
7,2.820119619369507,1004,0.0028088840830373576,-21.0
8,2.8849008083343506,998,0.00289068217267971,-21.0
9,2.8231966495513916,1002,0.002817561526498395,-21.0
