episode,total_model_time,num_steps,average_model_time_per_step,reward
0,8.169208765029907,2533,0.0032251120272522335,-13.0
1,8.254907608032227,2554,0.0032321486327455858,-13.0
2,8.341776847839355,2534,0.0032919403503707005,-14.0
3,8.610598087310791,2616,0.0032915130303175807,-11.0
4,6.794793367385864,2103,0.003231000174696084,-17.0
5,8.152066946029663,2514,0.0032426678385161748,-15.0
6,6.949200868606567,2118,0.003281020240135301,-15.0
7,9.021497011184692,2756,0.0032734023988333426,-11.0
8,7.140406847000122,2213,0.0032265733605965304,-15.0
9,6.800453424453735,2117,0.003212306766392884,-16.0
