n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learner_dequeue_time_ms,learner_grad_time_ms,learner_overall_time_ms,time_this_iter_s
1,-21.0,-21.0,-21.0,1022.5,18452.381,2443.111,39347.925,39.64495801925659
2,-21.0,-21.0,-21.0,1020.4666666666667,0.009,1747.512,1747.556,46.58612656593323
3,-21.0,-21.0,-21.0,1020.3125,0.009,1741.239,1741.28,45.55838322639465
4,-21.0,-21.0,-21.0,1021.0909090909091,0.008,1762.235,1762.276,46.36884665489197
5,-21.0,-20.988888888888887,-20.0,1022.3333333333334,0.008,1752.902,1752.94,46.017218828201294
6,-21.0,-20.99,-20.0,1021.53,0.008,1702.766,1702.807,44.969414710998535
7,-21.0,-20.99,-20.0,1021.04,0.008,1727.886,1727.928,47.548378467559814
8,-21.0,-20.99,-20.0,1020.89,0.007,1715.686,1715.725,46.19197940826416
9,-21.0,-20.99,-20.0,1020.31,0.008,1724.89,1724.93,46.17657279968262
10,-21.0,-21.0,-21.0,1018.8,0.008,1746.516,1746.552,46.58699989318848
11,-21.0,-21.0,-21.0,1018.93,0.008,1737.4,1737.441,46.69096279144287
12,-21.0,-20.99,-20.0,1020.0,0.008,1740.333,1740.372,44.73018026351929
13,-21.0,-20.97,-20.0,1024.34,0.008,1745.098,1745.138,46.22963523864746
14,-21.0,-20.97,-20.0,1024.28,0.007,1754.655,1754.693,46.40521550178528
15,-21.0,-20.96,-20.0,1025.42,0.008,1746.601,1746.64,46.29880714416504
16,-21.0,-20.95,-20.0,1026.54,0.008,1726.513,1726.552,46.430493116378784
17,-21.0,-20.96,-20.0,1025.9,0.008,1784.446,1784.486,46.431944847106934
18,-21.0,-20.98,-20.0,1023.05,0.007,1760.088,1760.127,46.18184161186218
19,-21.0,-20.98,-20.0,1022.78,0.007,1723.703,1723.743,46.4976122379303
20,-21.0,-20.98,-20.0,1023.36,0.008,1732.135,1732.177,46.44775986671448
21,-21.0,-21.0,-21.0,1021.33,0.007,1758.296,1758.335,46.42784810066223
22,-21.0,-21.0,-21.0,1020.44,0.007,1747.665,1747.704,45.14586400985718
23,-21.0,-21.0,-21.0,1019.64,0.008,1785.32,1785.363,46.37475872039795
24,-21.0,-21.0,-21.0,1019.77,0.007,1775.019,1775.059,47.09844732284546
25,-21.0,-21.0,-21.0,1019.15,0.007,1700.743,1700.782,47.8045711517334
26,-21.0,-21.0,-21.0,1018.79,0.008,1732.139,1732.179,45.20826196670532
27,-21.0,-21.0,-21.0,1018.91,0.007,1752.374,1752.413,46.57949209213257
28,-21.0,-21.0,-21.0,1019.41,0.008,1742.026,1742.066,46.586379051208496
29,-21.0,-21.0,-21.0,1020.16,0.008,1754.769,1754.812,46.47348141670227
30,-21.0,-21.0,-21.0,1020.5,0.008,1707.05,1707.087,47.872196197509766
31,-21.0,-21.0,-21.0,1022.52,0.007,1685.169,1685.208,46.165156841278076
32,-21.0,-20.98,-20.0,1025.48,0.007,1692.888,1692.925,47.39524841308594
33,-21.0,-20.98,-20.0,1025.41,0.008,1772.309,1772.35,45.86238431930542
34,-21.0,-20.98,-20.0,1024.45,0.007,1730.337,1730.376,46.69126510620117
35,-21.0,-20.98,-20.0,1023.27,0.007,1751.271,1751.309,46.63214302062988
36,-21.0,-20.98,-20.0,1022.25,0.008,1729.701,1729.742,46.27872610092163
37,-21.0,-20.97,-20.0,1024.21,0.008,1714.075,1714.116,46.016294717788696
38,-21.0,-20.98,-20.0,1025.03,0.007,1772.949,1772.986,46.957213401794434
39,-21.0,-20.98,-20.0,1026.44,0.008,1750.269,1750.31,46.55808782577515
40,-21.0,-20.97,-20.0,1035.31,0.008,1829.191,1829.241,46.10704326629639
41,-21.0,-20.97,-20.0,1050.96,0.008,1787.116,1787.158,46.81338334083557
42,-21.0,-20.99,-20.0,1055.84,0.009,1773.299,1773.342,46.95539689064026
43,-21.0,-20.99,-20.0,1054.85,0.008,1772.286,1772.327,46.617613554000854
44,-21.0,-20.99,-20.0,1051.81,0.008,1809.767,1809.808,46.89100503921509
45,-21.0,-20.99,-20.0,1047.07,0.008,1756.592,1756.634,46.701069355010986
46,-21.0,-20.96,-19.0,1054.61,0.008,1742.49,1742.532,46.43319487571716
47,-21.0,-20.9,-19.0,1071.47,0.007,1731.551,1731.587,46.49013423919678
48,-21.0,-20.9,-19.0,1072.65,0.008,1759.674,1759.713,46.78411078453064
49,-21.0,-20.9,-19.0,1073.43,0.009,1779.009,1779.049,45.67657828330994
50,-21.0,-20.9,-19.0,1073.26,0.008,1734.128,1734.168,45.43568730354309
51,-21.0,-20.93,-19.0,1057.29,0.007,1736.841,1736.882,46.84797501564026
52,-21.0,-20.99,-20.0,1038.04,0.007,1764.96,1764.999,47.1791136264801
53,-21.0,-21.0,-21.0,1024.83,0.008,1767.648,1767.69,45.58390736579895
54,-21.0,-21.0,-21.0,1031.11,0.008,1742.903,1742.944,45.377492904663086
55,-21.0,-21.0,-21.0,1037.9,0.008,1755.417,1755.457,46.96005392074585
56,-21.0,-21.0,-21.0,1039.22,0.008,1722.506,1722.546,48.570459604263306
57,-21.0,-21.0,-21.0,1034.78,0.008,1789.528,1789.569,46.23182725906372
58,-21.0,-21.0,-21.0,1035.09,0.008,1713.097,1713.137,48.22820210456848
59,-21.0,-21.0,-21.0,1028.52,0.007,1753.472,1753.513,45.545615911483765
60,-21.0,-20.98,-20.0,1023.19,0.008,1772.983,1773.025,47.49251437187195
61,-21.0,-20.98,-20.0,1023.07,0.008,1730.21,1730.25,45.37430143356323
62,-21.0,-20.98,-20.0,1022.94,0.008,1803.699,1803.74,47.68568134307861
63,-21.0,-20.98,-20.0,1023.38,0.007,1773.925,1773.964,46.99367380142212
64,-21.0,-20.98,-20.0,1022.92,0.008,1707.996,1708.036,46.694711685180664
65,-21.0,-20.97,-20.0,1028.12,0.008,1758.485,1758.525,46.77237415313721
66,-21.0,-20.97,-20.0,1028.24,0.007,1739.235,1739.274,46.89077138900757
67,-21.0,-20.97,-20.0,1027.76,0.007,1776.504,1776.542,47.092413663864136
68,-21.0,-20.97,-20.0,1028.1,0.007,1754.002,1754.041,48.19707369804382
69,-21.0,-20.94,-20.0,1032.85,0.008,1786.55,1786.591,47.37719440460205
70,-21.0,-20.94,-19.0,1032.63,0.008,1742.094,1742.134,47.13683891296387
71,-21.0,-20.93,-19.0,1032.75,0.008,1812.974,1813.014,47.32766342163086
72,-21.0,-20.93,-19.0,1032.9,0.008,1751.832,1751.871,45.56045079231262
73,-21.0,-20.92,-19.0,1033.3,0.008,1731.151,1731.192,48.30266547203064
74,-21.0,-20.94,-19.0,1029.57,0.007,1759.756,1759.797,46.88207387924194
75,-21.0,-20.98,-20.0,1022.56,0.008,1746.566,1746.607,47.144498109817505
76,-21.0,-20.96,-20.0,1031.03,0.007,1710.619,1710.659,48.297815799713135
77,-21.0,-20.94,-20.0,1032.68,0.008,1747.098,1747.138,48.57862186431885
78,-21.0,-20.94,-20.0,1034.06,0.008,1764.595,1764.637,46.5816924571991
79,-21.0,-20.94,-20.0,1033.4,0.009,1768.887,1768.929,46.877025842666626
80,-21.0,-20.94,-20.0,1038.88,0.008,1762.083,1762.124,46.83589315414429
81,-21.0,-20.95,-20.0,1044.49,0.008,1772.077,1772.117,46.23925709724426
82,-21.0,-20.98,-20.0,1048.05,0.008,1709.649,1709.69,48.10946297645569
83,-21.0,-20.98,-20.0,1050.54,0.008,1755.568,1755.61,47.12895655632019
84,-21.0,-20.98,-20.0,1050.63,0.007,1752.942,1752.982,47.097264528274536
85,-21.0,-20.98,-20.0,1045.97,0.008,1767.336,1767.376,46.5227153301239
86,-21.0,-20.98,-20.0,1045.11,0.008,1722.695,1722.735,47.4268524646759
87,-21.0,-20.95,-20.0,1038.15,0.008,1754.683,1754.725,47.82714128494263
88,-21.0,-20.93,-19.0,1060.55,0.009,1748.216,1748.257,46.69688415527344
89,-21.0,-20.89,-19.0,1071.62,0.008,1754.866,1754.909,47.02023792266846
