n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,nan,nan,nan,nan,31325.937
2,nan,nan,nan,nan,19830.387
3,nan,nan,nan,nan,15979.746
4,-21.0,-20.75,-20.0,1062.25,14060.009
5,-21.0,-20.75,-20.0,1062.25,12919.193
6,-21.0,-20.5625,-20.0,1083.1875,12154.379
7,-21.0,-20.58823529411765,-20.0,1081.764705882353,11614.67
8,-21.0,-20.541666666666668,-20.0,1088.625,11213.965
9,-21.0,-20.551724137931036,-20.0,1087.0689655172414,10904.098
10,-21.0,-20.53125,-20.0,1087.0,10648.075
