n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,nan,nan,nan,nan,14684.853
2,nan,nan,nan,nan,14397.276
3,nan,nan,nan,nan,14313.592
4,-21.0,-20.875,-20.0,1044.75,14254.45
5,-21.0,-20.875,-20.0,1044.75,14228.328
6,-21.0,-20.785714285714285,-20.0,1086.7142857142858,14219.665
7,-21.0,-20.6875,-20.0,1100.3125,14202.905
8,-21.0,-20.571428571428573,-20.0,1138.1904761904761,14193.68
9,-21.0,-20.347826086956523,-18.0,1163.0869565217392,14189.52
10,-21.0,-20.296296296296298,-18.0,1179.888888888889,14187.697
11,-21.0,-20.06451612903226,-17.0,1216.5806451612902,14136.22
12,-21.0,-20.029411764705884,-17.0,1222.1764705882354,14125.153
13,-21.0,-19.973684210526315,-17.0,1236.5263157894738,14115.748
14,-21.0,-20.0,-17.0,1240.4878048780488,14103.764
15,-21.0,-19.869565217391305,-17.0,1256.9565217391305,14093.448
16,-21.0,-19.854166666666668,-17.0,1260.2708333333333,14094.59
17,-21.0,-19.76923076923077,-16.0,1276.7692307692307,14086.854
18,-21.0,-19.745454545454546,-16.0,1281.4363636363637,14085.647
19,-21.0,-19.728813559322035,-16.0,1291.915254237288,14079.176
20,-21.0,-19.70967741935484,-16.0,1296.5,14070.185
21,-21.0,-19.703125,-16.0,1298.703125,14066.791
22,-21.0,-19.691176470588236,-16.0,1307.75,14073.238
23,-21.0,-19.690140845070424,-16.0,1311.7605633802816,14082.805
24,-21.0,-19.589041095890412,-15.0,1324.2328767123288,14090.48
25,-21.0,-19.512820512820515,-15.0,1343.6025641025642,14103.153
26,-21.0,-19.49367088607595,-15.0,1346.0379746835442,14089.901
27,-21.0,-19.416666666666668,-15.0,1356.9642857142858,14100.038
28,-21.0,-19.402298850574713,-15.0,1361.7586206896551,14090.696
29,-21.0,-19.402298850574713,-15.0,1361.7586206896551,14091.877
30,-21.0,-19.340425531914892,-15.0,1375.7659574468084,14087.244
31,-21.0,-19.326315789473686,-15.0,1378.2631578947369,14083.749
32,-21.0,-19.298969072164947,-15.0,1382.4742268041236,14085.118
33,-21.0,-19.18,-15.0,1409.6,14088.469
34,-21.0,-19.18,-15.0,1411.28,14087.63
35,-21.0,-19.05,-15.0,1438.35,14083.264
36,-21.0,-19.03,-15.0,1441.64,14081.842
37,-21.0,-18.97,-15.0,1453.81,14070.388
38,-21.0,-18.92,-15.0,1458.31,14075.831
39,-21.0,-18.88,-15.0,1466.21,14079.221
40,-21.0,-18.82,-15.0,1478.91,14085.562
41,-21.0,-18.8,-15.0,1481.11,14087.743
42,-21.0,-18.81,-15.0,1481.16,14087.502
43,-21.0,-18.77,-15.0,1493.51,14076.594
44,-21.0,-18.77,-15.0,1492.77,14081.538
45,-21.0,-18.68,-15.0,1504.29,14071.303
46,-21.0,-18.7,-15.0,1504.11,14073.495
47,-21.0,-18.7,-15.0,1506.46,14076.177
48,-21.0,-18.69,-15.0,1517.43,14069.139
49,-21.0,-18.72,-15.0,1518.52,14064.605
50,-21.0,-18.69,-15.0,1521.41,14053.536
51,-21.0,-18.66,-15.0,1526.22,14049.189
52,-21.0,-18.66,-15.0,1526.31,14047.433
53,-21.0,-18.6,-15.0,1532.53,14045.938
54,-21.0,-18.54,-15.0,1540.93,14043.514
55,-21.0,-18.57,-15.0,1536.9,14054.51
56,-21.0,-18.6,-15.0,1533.01,14058.109
57,-21.0,-18.62,-15.0,1530.95,14051.074
58,-21.0,-18.63,-15.0,1529.2,14052.6
59,-21.0,-18.7,-15.0,1526.62,14041.336
60,-21.0,-18.68,-15.0,1528.82,14053.512
61,-21.0,-18.71,-15.0,1528.55,14049.005
62,-21.0,-18.67,-15.0,1530.37,14057.372
63,-21.0,-18.67,-15.0,1530.37,14053.776
64,-21.0,-18.71,-16.0,1528.72,14057.258
65,-21.0,-18.66,-16.0,1528.64,14057.119
66,-21.0,-18.65,-16.0,1534.46,14064.493
67,-21.0,-18.66,-16.0,1535.42,14072.527
68,-21.0,-18.66,-16.0,1535.48,14073.466
69,-21.0,-18.62,-16.0,1539.4,14086.821
70,-21.0,-18.62,-16.0,1542.03,14081.256
71,-21.0,-18.59,-16.0,1542.19,14078.973
72,-21.0,-18.55,-16.0,1547.33,14066.579
73,-21.0,-18.56,-16.0,1549.07,14068.306
74,-21.0,-18.56,-16.0,1558.1,14066.45
75,-21.0,-18.57,-16.0,1559.92,14060.34
76,-21.0,-18.56,-16.0,1557.62,14047.977
77,-21.0,-18.48,-15.0,1569.55,14047.266
78,-21.0,-18.45,-15.0,1572.37,14058.382
79,-21.0,-18.43,-15.0,1577.22,14052.304
80,-21.0,-18.37,-14.0,1582.43,14055.004
81,-21.0,-18.36,-14.0,1579.95,14059.733
82,-21.0,-18.31,-14.0,1584.91,14065.438
83,-21.0,-18.33,-14.0,1585.53,14066.349
84,-21.0,-18.31,-14.0,1589.28,14068.147
85,-21.0,-18.3,-14.0,1592.0,14075.535
86,-21.0,-18.33,-14.0,1591.21,14073.892
87,-21.0,-18.36,-14.0,1587.99,14075.722
88,-21.0,-18.34,-14.0,1587.71,14070.979
89,-21.0,-18.36,-14.0,1585.76,14065.223
90,-21.0,-18.28,-12.0,1595.37,14063.869
91,-21.0,-18.26,-12.0,1599.39,14071.994
92,-21.0,-18.21,-12.0,1602.71,14075.46
93,-21.0,-18.19,-12.0,1610.17,14078.253
94,-21.0,-18.2,-12.0,1616.01,14077.734
95,-21.0,-18.19,-12.0,1617.07,14068.762
