n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,nan,nan,nan,nan,27902.761
2,nan,nan,nan,nan,18163.209
3,nan,nan,nan,nan,14943.678
4,-21.0,-21.0,-21.0,1022.5,13322.054
5,-21.0,-21.0,-21.0,1019.6363636363636,12356.881
6,-21.0,-21.0,-21.0,1020.375,11730.594
7,-21.0,-21.0,-21.0,1021.1666666666666,11256.877
8,-21.0,-21.0,-21.0,1021.1666666666666,10911.102
9,-21.0,-21.0,-21.0,1020.96875,10634.942
10,-21.0,-21.0,-21.0,1020.1714285714286,10437.697
