n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,nan,nan,nan,nan,9805.447
2,nan,nan,nan,nan,9551.49
3,nan,nan,nan,nan,9467.78
4,-21.0,-20.625,-20.0,1090.25,9413.544
5,-21.0,-20.625,-20.0,1090.25,9388.459
6,-21.0,-20.6875,-20.0,1078.1875,9361.179
7,-21.0,-20.705882352941178,-20.0,1077.235294117647,9349.951
8,-21.0,-20.708333333333332,-20.0,1077.7916666666667,9353.349
9,-21.0,-20.678571428571427,-20.0,1079.357142857143,9353.813
10,-21.0,-20.625,-20.0,1084.03125,9349.804
