n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,nan,nan,nan,nan,28330.249
2,nan,nan,nan,nan,18593.579
3,nan,nan,nan,nan,15356.741
4,-21.0,-21.0,-21.0,1018.25,13752.351
5,-21.0,-21.0,-21.0,1020.0,12788.375
6,-21.0,-21.0,-21.0,1020.0,12136.487
7,-21.0,-21.0,-21.0,1018.625,11669.993
8,-21.0,-21.0,-21.0,1018.625,11324.299
9,-21.0,-21.0,-21.0,1018.3125,11059.311
10,-21.0,-21.0,-21.0,1019.1052631578947,10845.955
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,nan,nan,nan,nan,26147.167
2,nan,nan,nan,nan,17633.004
3,nan,nan,nan,nan,14797.079
4,-21.0,-21.0,-21.0,1021.75,13366.061
5,-21.0,-21.0,-21.0,1018.5,12497.284
6,-21.0,-21.0,-21.0,1019.5625,11946.89
7,-21.0,-21.0,-21.0,1020.7083333333334,11543.805
8,-21.0,-21.0,-21.0,1020.7083333333334,11230.109
9,-21.0,-21.0,-21.0,1020.84375,11027.252
10,-21.0,-21.0,-21.0,1019.8857142857142,10841.21
