n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-21.0,-20.5,-20.0,1248.0,12762.289,23.923706769943237
2,-21.0,-20.4,-20.0,1244.0,12836.464,24.315317392349243
3,-21.0,-20.375,-20.0,1246.25,12928.386,24.26589846611023
4,-21.0,-20.272727272727273,-19.0,1278.4545454545455,12647.074,22.938988208770752
5,-21.0,-20.214285714285715,-19.0,1273.142857142857,12501.058,22.91710114479065
6,-21.0,-20.22222222222222,-19.0,1278.111111111111,12518.497,23.602263927459717
7,-21.0,-20.285714285714285,-19.0,1256.4285714285713,12648.789,24.325044631958008
8,-21.0,-20.25,-19.0,1255.75,12853.31,25.501240491867065
9,-21.0,-20.22222222222222,-19.0,1267.4814814814815,12809.33,23.65334129333496
10,-21.0,-20.225806451612904,-19.0,1260.225806451613,12963.734,25.459941625595093
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-20.0,-20.0,-20.0,1192.0,12946.303,22.279006004333496
2,-20.0,-19.4,-18.0,1355.6,13324.014,22.77715539932251
3,-21.0,-19.875,-18.0,1280.75,13175.507,22.038897275924683
4,-21.0,-20.083333333333332,-18.0,1228.1666666666667,13326.51,22.977306604385376
5,-21.0,-20.133333333333333,-18.0,1240.5333333333333,13357.503,22.64875555038452
6,-21.0,-20.166666666666668,-18.0,1237.3333333333333,13551.883,23.75745153427124
7,-21.0,-20.047619047619047,-18.0,1252.8095238095239,13292.629,20.90373134613037
8,-21.0,-20.0,-18.0,1258.625,13354.216,22.96247410774231
9,-21.0,-20.037037037037038,-18.0,1255.2592592592594,13305.965,22.056806087493896
10,-21.0,-20.032258064516128,-18.0,1267.4516129032259,13363.986,23.14988899230957
