n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,-21.0,-21.0,-21.0,1012.0,384471.03
2,-21.0,-21.0,-21.0,1012.8333333333334,383917.277
3,-21.0,-21.0,-21.0,1016.9,383731.867
4,-21.0,-21.0,-21.0,1014.2857142857143,383604.791
5,-21.0,-21.0,-21.0,1013.6111111111111,383587.992
6,-21.0,-21.0,-21.0,1014.0952380952381,383641.798
7,-21.0,-21.0,-21.0,1015.88,383621.992
8,-21.0,-21.0,-21.0,1016.6896551724138,383604.793
9,-21.0,-21.0,-21.0,1017.7575757575758,383600.598
10,-21.0,-21.0,-21.0,1017.8918918918919,383602.903
11,-21.0,-21.0,-21.0,1017.6,383520.551
12,-21.0,-21.0,-21.0,1017.6,383595.466
13,-21.0,-21.0,-21.0,1017.2708333333334,383644.04
14,-21.0,-21.0,-21.0,1017.3461538461538,383704.283
15,-21.0,-21.0,-21.0,1017.875,383720.04
16,-21.0,-21.0,-21.0,1017.7666666666667,383690.744
17,-21.0,-21.0,-21.0,1018.015625,383692.734
18,-21.0,-21.0,-21.0,1017.8235294117648,383701.887
19,-21.0,-21.0,-21.0,1017.8055555555555,383728.034
20,-21.0,-21.0,-21.0,1017.5131578947369,383730.102
21,-21.0,-21.0,-21.0,1017.75,383720.323
22,-21.0,-21.0,-21.0,1017.564705882353,383677.257
23,-21.0,-21.0,-21.0,1017.5280898876405,383666.281
24,-21.0,-21.0,-21.0,1017.3369565217391,383667.499
25,-21.0,-21.0,-21.0,1017.5104166666666,383755.149
26,-21.0,-21.0,-21.0,1017.49,383786.163
27,-21.0,-21.0,-21.0,1017.75,383820.134
28,-21.0,-21.0,-21.0,1017.7,383835.018
29,-21.0,-21.0,-21.0,1017.98,383846.422
30,-21.0,-21.0,-21.0,1018.26,383874.392
31,-21.0,-21.0,-21.0,1018.27,383881.133
32,-21.0,-21.0,-21.0,1017.84,383900.336
33,-21.0,-21.0,-21.0,1018.04,383902.221
34,-21.0,-21.0,-21.0,1018.12,383893.328
35,-21.0,-21.0,-21.0,1018.07,383818.379
36,-21.0,-21.0,-21.0,1018.39,383832.873
37,-21.0,-21.0,-21.0,1018.41,383784.109
38,-21.0,-21.0,-21.0,1018.71,383783.54
39,-21.0,-21.0,-21.0,1018.92,383813.459
40,-21.0,-21.0,-21.0,1018.53,383795.979
41,-21.0,-21.0,-21.0,1018.48,383802.923
42,-21.0,-21.0,-21.0,1018.11,383765.527
43,-21.0,-21.0,-21.0,1018.31,383792.028
44,-21.0,-21.0,-21.0,1018.34,383766.745
45,-21.0,-21.0,-21.0,1018.34,383729.79
46,-21.0,-21.0,-21.0,1018.42,383714.291
47,-21.0,-21.0,-21.0,1018.59,383770.153
48,-21.0,-21.0,-21.0,1018.44,383771.001
49,-21.0,-21.0,-21.0,1018.92,383702.214
50,-21.0,-21.0,-21.0,1018.71,383717.858
