n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,46941.9,61.701956272125244
2,nan,nan,nan,nan,35304.224,30.77364444732666
3,nan,nan,nan,nan,31578.189,31.394474983215332
4,-21.0,-21.0,-21.0,1018.375,29720.815,31.391449689865112
5,-21.0,-21.0,-21.0,1017.3076923076923,28609.802,31.397565364837646
6,-21.0,-21.0,-21.0,1018.4375,27872.968,31.47658610343933
7,-21.0,-21.0,-21.0,1016.4166666666666,27345.774,31.41561484336853
8,-21.0,-21.0,-21.0,1016.4166666666666,26947.993,31.384403705596924
9,-21.0,-21.0,-21.0,1017.125,26644.257,31.355235815048218
10,-21.0,-21.0,-21.0,1016.3055555555555,26400.42,31.59892988204956
11,-21.0,-21.0,-21.0,1016.725,24124.548,31.42048192024231
12,-21.0,-21.0,-21.0,1017.5,24176.319,31.37594747543335
13,-21.0,-21.0,-21.0,1017.5,24071.261,30.29151487350464
14,-21.0,-21.0,-21.0,1018.0535714285714,24040.08,31.14274024963379
15,-21.0,-21.0,-21.0,1017.9322033898305,23977.394,30.849998950958252
16,-21.0,-21.0,-21.0,1018.46875,23941.971,31.09962248802185
17,-21.0,-21.0,-21.0,1018.0,23906.746,31.050079822540283
18,-21.0,-21.0,-21.0,1018.0,23872.093,30.926316738128662
19,-21.0,-21.0,-21.0,1018.1375,23833.197,30.93605613708496
20,-21.0,-21.0,-21.0,1018.277108433735,23784.048,30.884719371795654
