n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,607018.776,619.7044131755829
2,nan,nan,nan,nan,606789.841,613.1661493778229
3,nan,nan,nan,nan,606567.692,612.7468078136444
4,-21.0,-21.0,-21.0,1039.625,606372.956,612.2929651737213
5,-21.0,-21.0,-21.0,1035.7,606327.592,612.8314430713654
6,-21.0,-21.0,-21.0,1029.4375,606156.657,611.7671096324921
7,-21.0,-21.0,-21.0,1029.2173913043478,606130.528,612.5033481121063
8,-21.0,-20.958333333333332,-20.0,1033.2083333333333,606110.756,612.4614391326904
9,-21.0,-20.96875,-20.0,1041.84375,606133.395,612.6735184192657
10,-21.0,-20.96875,-20.0,1041.84375,606133.492,612.3967435359955
11,-21.0,-20.95,-20.0,1052.3,606027.448,612.3348152637482
12,-21.0,-20.952380952380953,-20.0,1054.6190476190477,605988.137,612.4623808860779
13,-21.0,-20.958333333333332,-20.0,1056.3541666666667,606001.751,612.4798386096954
14,-21.0,-20.942307692307693,-20.0,1058.5,606066.403,612.7295339107513
15,-21.0,-20.928571428571427,-20.0,1061.6607142857142,606087.32,612.6814143657684
16,-21.0,-20.936507936507937,-20.0,1066.920634920635,606246.038,613.3011951446533
17,-21.0,-20.9375,-20.0,1068.34375,606369.076,613.5013959407806
18,-21.0,-20.930555555555557,-20.0,1072.0,606486.124,613.6702690124512
19,-21.0,-20.930555555555557,-20.0,1072.0,606524.034,612.9530982971191
20,-21.0,-20.925,-20.0,1081.675,606622.617,613.6214852333069
