n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,nan,nan,nan,nan,17381.415
2,nan,nan,nan,nan,17148.988
3,nan,nan,nan,nan,17041.87
4,-21.0,-21.0,-21.0,1017.625,17013.239
5,-21.0,-21.0,-21.0,1014.3846153846154,16983.362
6,-21.0,-21.0,-21.0,1015.4375,16971.399
7,-21.0,-21.0,-21.0,1017.5,16939.374
8,-21.0,-21.0,-21.0,1017.5,16928.867
9,-21.0,-21.0,-21.0,1017.84375,16905.638
10,-21.0,-21.0,-21.0,1017.2162162162163,16898.786
11,-21.0,-21.0,-21.0,1017.175,16853.421
12,-21.0,-21.0,-21.0,1019.2978723404256,16845.597
13,-21.0,-21.0,-21.0,1019.25,16850.134
14,-21.0,-20.982142857142858,-20.0,1026.0357142857142,16831.791
15,-21.0,-20.982142857142858,-20.0,1026.0357142857142,16827.279
16,-21.0,-20.96875,-20.0,1031.828125,16809.616
17,-21.0,-20.96969696969697,-20.0,1033.2575757575758,16827.391
18,-21.0,-20.958333333333332,-20.0,1045.9583333333333,16822.476
19,-21.0,-20.96,-20.0,1047.28,16829.071
20,-21.0,-20.9125,-19.0,1055.675,16816.957
21,-21.0,-20.905882352941177,-19.0,1056.4352941176471,16799.736
22,-21.0,-20.886363636363637,-19.0,1059.625,16805.373
23,-21.0,-20.893617021276597,-19.0,1060.8085106382978,16805.946
24,-21.0,-20.885416666666668,-19.0,1062.3333333333333,16799.86
25,-21.0,-20.89,-19.0,1069.26,16802.401
26,-21.0,-20.89,-19.0,1072.16,16802.032
27,-21.0,-20.88,-19.0,1078.57,16802.016
28,-21.0,-20.87,-19.0,1081.53,16806.584
29,-21.0,-20.87,-19.0,1083.59,16821.56
30,-21.0,-20.87,-19.0,1086.92,16840.279
31,-21.0,-20.84,-19.0,1098.31,16858.243
32,-21.0,-20.84,-19.0,1104.61,16873.095
33,-21.0,-20.83,-19.0,1113.56,16868.232
34,-21.0,-20.83,-19.0,1118.03,16907.023
35,-21.0,-20.8,-19.0,1127.57,16907.865
