n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,nan,nan,nan,nan,39270.22
2,nan,nan,nan,nan,26282.152
3,nan,nan,nan,nan,21922.972
4,-21.0,-21.0,-21.0,1018.875,19727.589
5,-21.0,-21.0,-21.0,1017.5384615384615,18418.611
6,-21.0,-21.0,-21.0,1017.375,17538.849
7,-21.0,-21.0,-21.0,1018.0,16940.254
8,-21.0,-21.0,-21.0,1018.0,16472.676
9,-21.0,-21.0,-21.0,1019.0625,16109.498
10,-21.0,-21.0,-21.0,1018.5135135135135,15818.624
11,-21.0,-21.0,-21.0,1018.375,13206.652
12,-21.0,-21.0,-21.0,1017.2083333333334,13190.294
13,-21.0,-21.0,-21.0,1017.2083333333334,13185.673
14,-21.0,-21.0,-21.0,1017.3214285714286,13187.28
15,-21.0,-21.0,-21.0,1017.1333333333333,13193.607
16,-21.0,-21.0,-21.0,1017.40625,13196.206
17,-21.0,-21.0,-21.0,1017.8333333333334,13175.746
18,-21.0,-21.0,-21.0,1017.8333333333334,13183.135
19,-21.0,-21.0,-21.0,1018.4125,13194.672
20,-21.0,-21.0,-21.0,1018.2261904761905,13191.235
21,-21.0,-21.0,-21.0,1018.0,13195.236
22,-21.0,-21.0,-21.0,1018.34375,13187.776
23,-21.0,-21.0,-21.0,1018.34375,13194.906
24,-21.0,-21.0,-21.0,1018.53,13195.493
25,-21.0,-21.0,-21.0,1018.36,13196.36
26,-21.0,-21.0,-21.0,1018.54,13189.773
27,-21.0,-21.0,-21.0,1018.36,13209.86
28,-21.0,-21.0,-21.0,1018.36,13208.719
29,-21.0,-21.0,-21.0,1018.34,13213.876
30,-21.0,-21.0,-21.0,1018.19,13219.694
31,-21.0,-21.0,-21.0,1018.41,13215.052
32,-21.0,-21.0,-21.0,1018.84,13239.7
33,-21.0,-21.0,-21.0,1018.84,13234.501
34,-21.0,-21.0,-21.0,1019.27,13249.434
35,-21.0,-21.0,-21.0,1019.09,13241.639
36,-21.0,-21.0,-21.0,1019.38,13262.433
37,-21.0,-21.0,-21.0,1018.84,13261.649
38,-21.0,-21.0,-21.0,1018.84,13261.601
39,-21.0,-21.0,-21.0,1018.45,13263.67
40,-21.0,-21.0,-21.0,1018.36,13277.849
41,-21.0,-21.0,-21.0,1018.84,13290.38
42,-21.0,-21.0,-21.0,1018.87,13283.466
43,-21.0,-21.0,-21.0,1018.87,13289.79
44,-21.0,-21.0,-21.0,1018.83,13279.707
45,-21.0,-21.0,-21.0,1018.42,13310.657
46,-21.0,-21.0,-21.0,1018.69,13321.959
47,-21.0,-21.0,-21.0,1018.97,13323.589
48,-21.0,-21.0,-21.0,1018.97,13333.54
49,-21.0,-21.0,-21.0,1018.74,13339.655
50,-21.0,-21.0,-21.0,1018.85,13330.342
51,-21.0,-21.0,-21.0,1019.02,13339.903
52,-21.0,-21.0,-21.0,1018.69,13336.675
53,-21.0,-21.0,-21.0,1018.69,13339.922
54,-21.0,-21.0,-21.0,1018.94,13347.13
55,-21.0,-21.0,-21.0,1018.87,13320.416
56,-21.0,-21.0,-21.0,1019.45,13293.983
57,-21.0,-21.0,-21.0,1019.44,13288.519
58,-21.0,-21.0,-21.0,1019.44,13294.54
59,-21.0,-21.0,-21.0,1019.56,13288.24
60,-21.0,-21.0,-21.0,1019.6,13304.786
61,-21.0,-21.0,-21.0,1019.63,13319.307
