n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,37825.4,48.82182264328003
2,nan,nan,nan,nan,26391.884,21.426745653152466
3,nan,nan,nan,nan,22581.365,21.487061738967896
4,-21.0,-21.0,-21.0,1039.75,20671.052,21.415092945098877
5,-21.0,-21.0,-21.0,1036.6,19528.621,21.433680295944214
6,-21.0,-21.0,-21.0,1045.875,18763.686,21.46646022796631
7,-21.0,-21.0,-21.0,1040.0,18218.703,21.46771216392517
8,-21.0,-21.0,-21.0,1047.7916666666667,17792.525,21.319942474365234
9,-21.0,-20.933333333333334,-20.0,1056.5,17480.203,21.474735021591187
10,-21.0,-20.90625,-20.0,1060.21875,17221.938,21.35746479034424
11,-21.0,-20.871794871794872,-20.0,1065.7179487179487,14935.422,21.501697301864624
12,-21.0,-20.875,-20.0,1066.45,14905.934,21.227232217788696
13,-21.0,-20.851063829787233,-20.0,1076.276595744681,14907.691,21.4924213886261
14,-21.0,-20.854166666666668,-20.0,1081.0625,14908.903,21.41577696800232
15,-21.0,-20.833333333333332,-20.0,1084.9259259259259,14884.546,21.1767098903656
16,-21.0,-20.771929824561404,-19.0,1095.0,14886.217,21.446516036987305
17,-21.0,-20.758064516129032,-19.0,1103.0,14886.947,21.46850037574768
18,-21.0,-20.753846153846155,-19.0,1112.4,14900.8,21.44821858406067
19,-21.0,-20.760563380281692,-19.0,1123.5915492957747,14896.946,21.480990886688232
20,-21.0,-20.75,-19.0,1123.6805555555557,14876.952,21.168780088424683
