n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-893.0,-770.6,-668.0,200.0,2571.318,6.463725328445435
2,-893.0,-751.175,-287.0,197.3,3514.633,8.330763816833496
3,-893.0,-729.8333333333334,-287.0,196.68333333333334,3570.695,7.503092050552368
4,-893.0,-717.525,-287.0,197.5125,3542.547,7.416043043136597
5,-893.0,-697.66,-206.0,196.48,3879.625,9.112382650375366
6,-884.0,-663.46,-206.0,196.48,4067.223,8.823630094528198
7,-884.0,-622.04,-206.0,196.37,4027.406,7.619020462036133
8,-965.0,-590.86,-206.0,197.23,4138.591,8.781495571136475
9,-965.0,-545.81,-206.0,196.07,4149.898,8.232675313949585
10,-965.0,-496.33,-114.0,196.0,3997.159,6.618338346481323
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-902.0,-800.3,-713.0,200.0,5489.483,9.401346445083618
2,-902.0,-779.6,-641.0,200.0,5183.103,8.767105102539062
3,-902.0,-756.05,-569.0,200.0,4939.956,8.426772832870483
4,-902.0,-730.5625,-542.0,199.9375,4662.919,7.800619602203369
5,-902.0,-700.86,-461.0,199.95,4628.082,8.435993194580078
6,-866.0,-659.01,-452.0,199.95,4735.463,9.532742977142334
7,-866.0,-623.9,-190.0,198.62,4738.852,9.764745950698853
8,-839.0,-577.72,-73.0,197.11,4624.351,7.843708515167236
9,-839.0,-545.39,-73.0,196.46,4551.049,8.202889204025269
10,-839.0,-518.81,-73.0,196.19,4490.21,7.878126621246338
