episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-713.0,-902.0,-800.3,200.0,20,1,4000,0,4000,False,20,1,default,3c5b3e1b7c6b4e0eaa90b225e78ac2d9,2022-01-31_09-23-27,1643617407,9.392760992050171,9.392760992050171,147660,patones,147.96.27.50,9.392760992050171,0,1,"[-794.0, -866.0, -776.0, -776.0, -866.0, -848.0, -731.0, -776.0, -803.0, -839.0, -731.0, -785.0, -884.0, -794.0, -902.0, -713.0, -794.0, -776.0, -749.0, -803.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.05141027984962378,0.8315170028751359,0.038705209409317584,0.036248622075285605,0.0,3893.512,1027.35,0.197,20262338.164,5489.483,728.666,1.624,4000,4000,4000,4000,11.000000000000002,14.978571428571428,0.20000000298023224,4.999999873689376e-05,59464.633,-0.009674275,59464.637,0.00060265185,0.0036127188,1.7881713,0.0
-641.0,-902.0,-779.6,200.0,20,1,8000,0,8000,False,40,2,default,3c5b3e1b7c6b4e0eaa90b225e78ac2d9,2022-01-31_09-23-36,1643617416,8.758519887924194,18.151280879974365,147660,patones,147.96.27.50,18.151280879974365,0,2,"[-794.0, -866.0, -776.0, -776.0, -866.0, -848.0, -731.0, -776.0, -803.0, -839.0, -731.0, -785.0, -884.0, -794.0, -902.0, -713.0, -794.0, -776.0, -749.0, -803.0, -641.0, -740.0, -740.0, -740.0, -857.0, -785.0, -677.0, -722.0, -740.0, -794.0, -785.0, -722.0, -794.0, -812.0, -758.0, -866.0, -713.0, -794.0, -749.0, -749.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.05147873661988596,0.8316766434246947,0.03881304072143813,0.036352247260618906,0.0,6654.335,601.112,0.187,21440531.629,5183.103,771.738,1.61,8000,8000,8000,8000,10.924999999999999,15.0,0.10000000149011612,4.999999873689376e-05,47148.63,-0.030816967,47148.664,7.972801e-05,0.013631606,1.7546878,0.0
-569.0,-902.0,-756.05,200.0,20,1,12000,0,12000,False,60,3,default,3c5b3e1b7c6b4e0eaa90b225e78ac2d9,2022-01-31_09-23-44,1643617424,8.409958600997925,26.56123948097229,147660,patones,147.96.27.50,26.56123948097229,0,3,"[-794.0, -866.0, -776.0, -776.0, -866.0, -848.0, -731.0, -776.0, -803.0, -839.0, -731.0, -785.0, -884.0, -794.0, -902.0, -713.0, -794.0, -776.0, -749.0, -803.0, -641.0, -740.0, -740.0, -740.0, -857.0, -785.0, -677.0, -722.0, -740.0, -794.0, -785.0, -722.0, -794.0, -812.0, -758.0, -866.0, -713.0, -794.0, -749.0, -749.0, -695.0, -605.0, -785.0, -686.0, -866.0, -569.0, -659.0, -794.0, -713.0, -614.0, -749.0, -596.0, -596.0, -839.0, -722.0, -740.0, -668.0, -776.0, -803.0, -704.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.051592356330393954,0.8335281049668564,0.038940517167815394,0.036471281158206977,0.0,7385.399,541.609,0.187,21445099.276,4939.956,809.724,2.039,12000,12000,12000,12000,10.808333333333335,15.0,0.10000000149011612,4.999999873689376e-05,39825.535,-0.043167386,39825.58,0.00048732405,0.016964989,1.7151992,0.0
-542.0,-902.0,-730.5625,199.9375,20,1,16000,0,16000,False,80,4,default,3c5b3e1b7c6b4e0eaa90b225e78ac2d9,2022-01-31_09-23-52,1643617432,7.786691188812256,34.347930669784546,147660,patones,147.96.27.50,34.347930669784546,0,4,"[-794.0, -866.0, -776.0, -776.0, -866.0, -848.0, -731.0, -776.0, -803.0, -839.0, -731.0, -785.0, -884.0, -794.0, -902.0, -713.0, -794.0, -776.0, -749.0, -803.0, -641.0, -740.0, -740.0, -740.0, -857.0, -785.0, -677.0, -722.0, -740.0, -794.0, -785.0, -722.0, -794.0, -812.0, -758.0, -866.0, -713.0, -794.0, -749.0, -749.0, -695.0, -605.0, -785.0, -686.0, -866.0, -569.0, -659.0, -794.0, -713.0, -614.0, -749.0, -596.0, -596.0, -839.0, -722.0, -740.0, -668.0, -776.0, -803.0, -704.0, -632.0, -596.0, -623.0, -695.0, -560.0, -731.0, -560.0, -740.0, -785.0, -587.0, -596.0, -678.0, -686.0, -542.0, -812.0, -695.0, -695.0, -740.0, -542.0, -587.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 195, 200, 200, 200, 200, 200, 200, 200, 200]",0.051775726686333276,0.8350389610639649,0.03903476038056652,0.03655845413839541,0.0,7650.367,522.851,0.186,21481710.627,4662.919,857.832,2.158,16000,16000,16000,16000,10.916666666666666,15.0,0.10000000149011612,4.999999873689376e-05,28872.164,-0.04790048,28872.21,0.00020898305,0.017364822,1.6712343,0.0
-461.0,-902.0,-700.86,199.95,20,1,20000,0,20000,False,100,5,default,3c5b3e1b7c6b4e0eaa90b225e78ac2d9,2022-01-31_09-24-01,1643617441,8.407286882400513,42.75521755218506,147660,patones,147.96.27.50,42.75521755218506,0,5,"[-794.0, -866.0, -776.0, -776.0, -866.0, -848.0, -731.0, -776.0, -803.0, -839.0, -731.0, -785.0, -884.0, -794.0, -902.0, -713.0, -794.0, -776.0, -749.0, -803.0, -641.0, -740.0, -740.0, -740.0, -857.0, -785.0, -677.0, -722.0, -740.0, -794.0, -785.0, -722.0, -794.0, -812.0, -758.0, -866.0, -713.0, -794.0, -749.0, -749.0, -695.0, -605.0, -785.0, -686.0, -866.0, -569.0, -659.0, -794.0, -713.0, -614.0, -749.0, -596.0, -596.0, -839.0, -722.0, -740.0, -668.0, -776.0, -803.0, -704.0, -632.0, -596.0, -623.0, -695.0, -560.0, -731.0, -560.0, -740.0, -785.0, -587.0, -596.0, -678.0, -686.0, -542.0, -812.0, -695.0, -695.0, -740.0, -542.0, -587.0, -686.0, -632.0, -533.0, -569.0, -461.0, -569.0, -560.0, -713.0, -740.0, -578.0, -596.0, -569.0, -515.0, -641.0, -632.0, -506.0, -533.0, -524.0, -542.0, -542.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 195, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.052007093401485245,0.8357688394780163,0.03908067331729999,0.036607669030994286,0.0,7674.268,521.222,0.185,21675989.664,4628.082,864.289,2.697,20000,20000,20000,20000,10.808333333333335,15.0,0.10000000149011612,4.999999873689376e-05,19486.326,-0.039741516,19486.365,9.251718e-05,0.016654063,1.6140187,0.0
-452.0,-866.0,-659.01,199.95,20,1,24000,0,24000,False,120,6,default,3c5b3e1b7c6b4e0eaa90b225e78ac2d9,2022-01-31_09-24-10,1643617450,9.516110897064209,52.27132844924927,147660,patones,147.96.27.50,52.27132844924927,0,6,"[-641.0, -740.0, -740.0, -740.0, -857.0, -785.0, -677.0, -722.0, -740.0, -794.0, -785.0, -722.0, -794.0, -812.0, -758.0, -866.0, -713.0, -794.0, -749.0, -749.0, -695.0, -605.0, -785.0, -686.0, -866.0, -569.0, -659.0, -794.0, -713.0, -614.0, -749.0, -596.0, -596.0, -839.0, -722.0, -740.0, -668.0, -776.0, -803.0, -704.0, -632.0, -596.0, -623.0, -695.0, -560.0, -731.0, -560.0, -740.0, -785.0, -587.0, -596.0, -678.0, -686.0, -542.0, -812.0, -695.0, -695.0, -740.0, -542.0, -587.0, -686.0, -632.0, -533.0, -569.0, -461.0, -569.0, -560.0, -713.0, -740.0, -578.0, -596.0, -569.0, -515.0, -641.0, -632.0, -506.0, -533.0, -524.0, -542.0, -542.0, -569.0, -533.0, -677.0, -569.0, -839.0, -560.0, -596.0, -506.0, -605.0, -497.0, -632.0, -632.0, -560.0, -632.0, -632.0, -731.0, -551.0, -452.0, -506.0, -542.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 195, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.05251923520800812,0.839502815898369,0.039299587500499514,0.03681561339989978,0.0,7861.799,508.789,0.183,21816925.878,4735.463,844.69,2.661,24000,24000,24000,24000,10.8,15.0,0.10000000149011612,4.999999873689376e-05,17266.846,-0.044936236,17266.889,7.239068e-05,0.018311765,1.5828822,0.0
-190.0,-866.0,-623.9,198.62,20,1,28000,0,28000,False,140,7,default,3c5b3e1b7c6b4e0eaa90b225e78ac2d9,2022-01-31_09-24-20,1643617460,9.749500513076782,62.02082896232605,147660,patones,147.96.27.50,62.02082896232605,0,7,"[-695.0, -605.0, -785.0, -686.0, -866.0, -569.0, -659.0, -794.0, -713.0, -614.0, -749.0, -596.0, -596.0, -839.0, -722.0, -740.0, -668.0, -776.0, -803.0, -704.0, -632.0, -596.0, -623.0, -695.0, -560.0, -731.0, -560.0, -740.0, -785.0, -587.0, -596.0, -678.0, -686.0, -542.0, -812.0, -695.0, -695.0, -740.0, -542.0, -587.0, -686.0, -632.0, -533.0, -569.0, -461.0, -569.0, -560.0, -713.0, -740.0, -578.0, -596.0, -569.0, -515.0, -641.0, -632.0, -506.0, -533.0, -524.0, -542.0, -542.0, -569.0, -533.0, -677.0, -569.0, -839.0, -560.0, -596.0, -506.0, -605.0, -497.0, -632.0, -632.0, -560.0, -632.0, -632.0, -731.0, -551.0, -452.0, -506.0, -542.0, -641.0, -632.0, -641.0, -686.0, -533.0, -515.0, -677.0, -596.0, -515.0, -560.0, -190.0, -695.0, -650.0, -434.0, -668.0, -677.0, -596.0, -560.0, -596.0, -605.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 195, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 67, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.05344939039113697,0.8494168854530472,0.03975209085000822,0.03724486181042684,0.0,8209.566,487.236,0.182,21967922.185,4738.852,844.086,2.716,28000,28000,28000,28000,11.007142857142854,15.0,0.10000000149011612,4.999999873689376e-05,13520.272,-0.048065767,13520.318,1.2479161e-05,0.019140648,1.5512118,0.0
-73.0,-839.0,-577.72,197.11,21,1,32000,0,32000,False,161,8,default,3c5b3e1b7c6b4e0eaa90b225e78ac2d9,2022-01-31_09-24-28,1643617468,7.834828853607178,69.85565781593323,147660,patones,147.96.27.50,69.85565781593323,0,8,"[-596.0, -623.0, -695.0, -560.0, -731.0, -560.0, -740.0, -785.0, -587.0, -596.0, -678.0, -686.0, -542.0, -812.0, -695.0, -695.0, -740.0, -542.0, -587.0, -686.0, -632.0, -533.0, -569.0, -461.0, -569.0, -560.0, -713.0, -740.0, -578.0, -596.0, -569.0, -515.0, -641.0, -632.0, -506.0, -533.0, -524.0, -542.0, -542.0, -569.0, -533.0, -677.0, -569.0, -839.0, -560.0, -596.0, -506.0, -605.0, -497.0, -632.0, -632.0, -560.0, -632.0, -632.0, -731.0, -551.0, -452.0, -506.0, -542.0, -641.0, -632.0, -641.0, -686.0, -533.0, -515.0, -677.0, -596.0, -515.0, -560.0, -190.0, -695.0, -650.0, -434.0, -668.0, -677.0, -596.0, -560.0, -596.0, -605.0, -488.0, -73.0, -452.0, -560.0, -551.0, -560.0, -515.0, -371.0, -470.0, -524.0, -452.0, -596.0, -569.0, -398.0, -416.0, -524.0, -632.0, -479.0, -479.0, -596.0, -488.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 195, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 67, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 49, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.054369261688099774,0.858081321371582,0.04012831085044133,0.03760543575319684,0.0,8284.283,482.842,0.181,22100729.129,4624.351,864.986,2.567,32000,32000,32000,32000,10.881818181818181,15.0,0.10000000149011612,4.999999873689376e-05,4241.602,-0.060239494,4241.6597,-4.552654e-05,0.021332724,1.4697455,0.0
-73.0,-839.0,-545.39,196.46,20,1,36000,0,36000,False,181,9,default,3c5b3e1b7c6b4e0eaa90b225e78ac2d9,2022-01-31_09-24-36,1643617476,8.177792310714722,78.03345012664795,147660,patones,147.96.27.50,78.03345012664795,0,9,"[-632.0, -533.0, -569.0, -461.0, -569.0, -560.0, -713.0, -740.0, -578.0, -596.0, -569.0, -515.0, -641.0, -632.0, -506.0, -533.0, -524.0, -542.0, -542.0, -569.0, -533.0, -677.0, -569.0, -839.0, -560.0, -596.0, -506.0, -605.0, -497.0, -632.0, -632.0, -560.0, -632.0, -632.0, -731.0, -551.0, -452.0, -506.0, -542.0, -641.0, -632.0, -641.0, -686.0, -533.0, -515.0, -677.0, -596.0, -515.0, -560.0, -190.0, -695.0, -650.0, -434.0, -668.0, -677.0, -596.0, -560.0, -596.0, -605.0, -488.0, -73.0, -452.0, -560.0, -551.0, -560.0, -515.0, -371.0, -470.0, -524.0, -452.0, -596.0, -569.0, -398.0, -416.0, -524.0, -632.0, -479.0, -479.0, -596.0, -488.0, -479.0, -542.0, -686.0, -497.0, -515.0, -497.0, -443.0, -506.0, -632.0, -542.0, -533.0, -515.0, -560.0, -515.0, -479.0, -407.0, -398.0, -488.0, -226.0, -443.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 67, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 49, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 130, 200]",0.05522296306220456,0.8663448313959069,0.04049248813395012,0.037955495231428577,0.0,8257.76,484.393,0.18,22208404.765,4551.049,878.918,2.652,36000,36000,36000,36000,10.408333333333333,15.0,0.15000000596046448,4.999999873689376e-05,4400.064,-0.052799422,4400.113,3.197033e-05,0.023351721,1.4462633,0.0
-73.0,-839.0,-518.81,196.19,20,1,40000,0,40000,False,201,10,default,3c5b3e1b7c6b4e0eaa90b225e78ac2d9,2022-01-31_09-24-44,1643617484,7.864753246307373,85.89820337295532,147660,patones,147.96.27.50,85.89820337295532,0,10,"[-533.0, -677.0, -569.0, -839.0, -560.0, -596.0, -506.0, -605.0, -497.0, -632.0, -632.0, -560.0, -632.0, -632.0, -731.0, -551.0, -452.0, -506.0, -542.0, -641.0, -632.0, -641.0, -686.0, -533.0, -515.0, -677.0, -596.0, -515.0, -560.0, -190.0, -695.0, -650.0, -434.0, -668.0, -677.0, -596.0, -560.0, -596.0, -605.0, -488.0, -73.0, -452.0, -560.0, -551.0, -560.0, -515.0, -371.0, -470.0, -524.0, -452.0, -596.0, -569.0, -398.0, -416.0, -524.0, -632.0, -479.0, -479.0, -596.0, -488.0, -479.0, -542.0, -686.0, -497.0, -515.0, -497.0, -443.0, -506.0, -632.0, -542.0, -533.0, -515.0, -560.0, -515.0, -479.0, -407.0, -398.0, -488.0, -226.0, -443.0, -623.0, -416.0, -380.0, -803.0, -299.0, -389.0, -515.0, -434.0, -416.0, -362.0, -524.0, -434.0, -407.0, -524.0, -542.0, -335.0, -350.0, -263.0, -488.0, -362.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 67, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 49, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 130, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 173, 200, 200, 200]",0.055939959005214195,0.8737738003375028,0.04083130327999963,0.038273687544016076,0.0,8226.163,486.253,0.18,22253901.048,4490.21,890.827,2.621,40000,40000,40000,40000,10.836363636363636,15.0,0.22499999403953552,4.999999873689376e-05,5784.7676,-0.043895993,5784.8076,4.9755396e-05,0.017025772,1.3857065,0.0
