n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-893.0,-770.6,-668.0,200.0,2571.318,6.463725328445435
2,-893.0,-751.175,-287.0,197.3,3514.633,8.330763816833496
3,-893.0,-729.8333333333334,-287.0,196.68333333333334,3570.695,7.503092050552368
4,-893.0,-717.525,-287.0,197.5125,3542.547,7.416043043136597
5,-893.0,-697.66,-206.0,196.48,3879.625,9.112382650375366
6,-884.0,-663.46,-206.0,196.48,4067.223,8.823630094528198
7,-884.0,-622.04,-206.0,196.37,4027.406,7.619020462036133
8,-965.0,-590.86,-206.0,197.23,4138.591,8.781495571136475
9,-965.0,-545.81,-206.0,196.07,4149.898,8.232675313949585
10,-965.0,-496.33,-114.0,196.0,3997.159,6.618338346481323
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-902.0,-800.3,-713.0,200.0,5489.483,9.401346445083618
2,-902.0,-779.6,-641.0,200.0,5183.103,8.767105102539062
3,-902.0,-756.05,-569.0,200.0,4939.956,8.426772832870483
4,-902.0,-730.5625,-542.0,199.9375,4662.919,7.800619602203369
5,-902.0,-700.86,-461.0,199.95,4628.082,8.435993194580078
6,-866.0,-659.01,-452.0,199.95,4735.463,9.532742977142334
7,-866.0,-623.9,-190.0,198.62,4738.852,9.764745950698853
8,-839.0,-577.72,-73.0,197.11,4624.351,7.843708515167236
9,-839.0,-545.39,-73.0,196.46,4551.049,8.202889204025269
10,-839.0,-518.81,-73.0,196.19,4490.21,7.878126621246338
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-920.0,-747.7,-291.0,194.35,3596.032,7.474529027938843
2,-920.0,-716.9,-291.0,195.725,4240.591,8.659173488616943
3,-920.0,-701.05,-291.0,197.15,3830.577,7.293977975845337
4,-920.0,-674.0853658536586,-125.0,194.6341463414634,3707.125,7.778702974319458
5,-920.0,-654.67,-125.0,195.4,3866.375,8.35298752784729
6,-830.0,-606.22,-125.0,193.54,3962.815,9.566411256790161
7,-785.0,-564.68,-125.0,193.52,3843.105,7.220056533813477
8,-776.0,-499.36,-61.0,187.81,3768.15,7.574686765670776
9,-677.0,-463.16,-61.0,187.43,3952.272,9.289734125137329
10,-668.0,-412.75,-26.0,180.64,4059.365,8.826020956039429
11,-632.0,-376.07,-26.0,177.11,4071.991,7.495086431503296
12,-632.0,-347.86,-16.0,171.79,3887.305,6.821305751800537
13,-632.0,-315.17,-16.0,169.97,4008.874,8.100349426269531
14,-596.0,-280.53,-7.0,162.48,3911.286,6.284930944442749
15,-596.0,-254.17,-7.0,157.72,3809.228,7.863272666931152
16,-497.0,-234.43,3.0,154.93,3814.395,8.315915822982788
17,-524.0,-200.45,3.0,135.47,3842.252,7.918500661849976
18,-524.0,-199.07,4.0,139.07,3856.663,7.483479976654053
19,-524.0,-170.25,4.0,126.06,3804.323,8.777126789093018
20,-407.0,-159.4,8.0,126.58,3772.27,8.441848278045654
21,-407.0,-152.52,8.0,125.01,3894.469,8.728464365005493
22,-407.0,-153.89,8.0,130.13,4136.648,9.997196912765503
23,-344.0,-141.04,7.0,122.32,4237.022,9.289427042007446
24,-326.0,-110.76,13.0,102.39,4205.614,5.885413646697998
25,-308.0,-100.85,13.0,96.26,4367.197,9.783565282821655
26,-308.0,-98.73,13.0,96.69,4101.293,5.701527833938599
27,-308.0,-103.58,12.0,102.98,4125.049,7.476345539093018
28,-272.0,-110.83,12.0,109.96,4131.735,7.554596662521362
29,-263.0,-84.28,12.0,89.5,3988.474,7.417399644851685
30,-254.0,-64.0,14.0,73.63,3922.524,8.68003249168396
31,-254.0,-63.39,14.0,74.52,3869.752,8.418171167373657
32,-254.0,-70.76,12.0,80.93,3722.243,7.803366422653198
33,-254.0,-83.01,15.0,90.63,3555.567,7.344155311584473
34,-254.0,-97.0,15.0,101.83,3883.294,9.464335918426514
35,-254.0,-104.6,15.0,108.38,3862.913,9.326492547988892
36,-245.0,-97.7,14.0,103.58,4186.071,9.596236944198608
37,-236.0,-82.66,14.0,91.63,4389.597,9.455227375030518
38,-281.0,-72.17,14.0,82.31,4489.575,8.770145177841187
39,-281.0,-71.78,14.0,81.11,4683.434,9.234663248062134
40,-281.0,-81.56,12.0,91.49,4747.282,9.169251203536987
41,-245.0,-71.84,11.0,84.23,4644.811,7.962663173675537
42,-245.0,-55.94,11.0,68.75,4735.556,8.70341420173645
43,-254.0,-54.04,12.0,67.27,4722.848,7.17958402633667
