n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-21.0,-21.0,-21.0,1060.0,15718.717,29.818838357925415
2,-21.0,-21.0,-21.0,1034.6666666666667,15525.699,24.91517400741577
3,-21.0,-21.0,-21.0,1029.9,15394.755,25.45125102996826
4,-21.0,-20.928571428571427,-20.0,1040.5714285714287,15417.255,26.16796040534973
5,-21.0,-20.944444444444443,-20.0,1036.611111111111,15399.591,24.936664581298828
6,-21.0,-20.954545454545453,-20.0,1033.7727272727273,15339.435,26.164987564086914
7,-21.0,-20.923076923076923,-20.0,1038.7692307692307,15355.166,25.96389603614807
8,-21.0,-20.9,-20.0,1045.1,15326.578,25.497974634170532
9,-21.0,-20.87878787878788,-20.0,1049.0,15356.622,26.329797744750977
10,-21.0,-20.89189189189189,-20.0,1054.4324324324325,15379.504,25.696462154388428
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-21.0,-20.5,-20.0,1244.5,15514.837,26.977269411087036
2,-21.0,-20.4,-19.0,1279.8,15376.065,31.254196643829346
